query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,3.344,3.313,3.389,3.336,3.34,3.389,3.456
1b,3.328,3.342,3.317,3.368,3.389,3.317,3.479
1c,3.358,3.319,3.308,3.364,3.382,3.308,3.444
1d,3.333,4.391,3.318,3.296,3.324,3.318,3.45
2a,3.388,4.438,3.346,3.1,3.443,3.346,3.419
2b,3.376,3.154,3.467,3.1,4.951,3.467,3.423
2c,3.383,3.431,3.918,3.392,3.448,3.918,3.501
2d,3.365,3.301,4.78,3.352,4.926,4.78,3.48
3a,2.452,3.488,3.488,2.542,2.371,3.488,2.6
3b,2.393,2.404,3.258,2.295,3.307,3.258,2.397
3c,2.78,2.693,2.826,2.692,2.749,2.826,2.707
4a,3.328,3.3,3.235,3.27,3.303,3.235,3.943
4b,3.329,3.299,3.283,3.283,3.297,3.283,3.444
4c,3.31,3.34,3.283,3.256,3.327,3.283,3.392
5a,3.3,3.501,3.577,3.483,3.529,3.577,3.493
5b,3.665,3.6,3.555,3.557,3.627,3.555,3.595
5c,3.514,3.636,3.598,3.532,3.563,3.598,3.517
6a,3.334,5.009,3.42,3.426,5.008,3.42,3.593
6b,3.237,4.756,4.717,3.25,3.281,4.717,3.415
6c,3.504,3.524,5.038,3.486,3.579,5.038,3.746
6d,3.541,3.537,5.101,5.079,5.12,5.101,3.645
6e,3.366,3.369,4.916,3.37,4.145,4.916,3.587
6f,3.575,3.556,5.239,3.574,5.234,5.239,3.651
8a,13.717,13.74,18.333,14.02,13.728,13.728,13.772
8b,14.453,14.4,14.385,14.427,14.367,14.367,14.713
8c,11.309,14.202,11.21,12.224,12.015,11.21,14.564
8d,13.103,11.163,13.172,13.142,13.126,13.172,14.671
9a,15.967,18.28,15.953,15.873,15.952,15.952,15.725
9b,16.066,16.103,16.198,16.064,18.844,18.844,16.095
9c,15.355,15.387,15.517,15.301,21.517,15.517,15.326
9d,15.006,15.194,21.962,14.948,15.084,21.962,16.156
10a,12.194,12.184,12.48,17.569,12.187,12.48,19.958
10b,12.525,12.415,12.693,14.984,12.414,12.693,12.785
10c,12.101,10.293,15.79,10.278,11.744,11.744,10.245
17a,13.408,14.689,19.774,22.091,18.462,19.774,15.483
17b,15.591,13.862,15.515,14.129,18.075,15.515,16.012
17c,15.078,13.945,20.623,13.883,16.035,20.623,16.883
17d,15.174,13.875,14.08,13.978,17.337,14.08,22.829
17e,13.957,15.135,16.128,15.779,20.108,16.128,15.542
17f,13.379,13.74,13.768,17.282,19.725,13.768,15.547
18a,14.159,14.285,14.184,14.192,18.228,14.184,14.925
18b,15.368,21.845,15.442,15.484,19.912,15.442,15.349
18c,14.758,14.838,14.837,18.76,21.983,14.837,15.204
32a,6.24,6.05,6.083,6.092,6.049,6.083,6.093
32b,6.134,6.09,6.156,6.072,6.175,6.156,6.132
7a,18.169,18.173,21.658,20.515,20.542,21.658,20.277
7b,17.51,17.376,22.765,17.353,17.553,22.765,20.284
7c,18.094,19.4,18.206,15.696,18.138,18.206,20.211
11a,17.451,17.59,17.712,17.457,17.567,17.712,18.245
11b,15.416,15.347,15.335,15.284,15.325,15.335,16.004
11c,16.321,14.855,14.941,16.378,15.063,15.063,18.122
