query name,Exhaustive,Kruskal,Kruskal Ensemble,Prim,Prim Ensemble,Ensemble MST,GOO
1a,158897.2,215927.2,215927.2,215927.2,215927.2,215927.2,215927.2
1b,276174.4,276174.4,276174.4,276174.4,276174.4,276174.4,276174.4
1c,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999,71749.59999999999
1d,276199.40000000026,276199.4,276199.4,276199.4,276199.4,276199.4,276199.4
2a,1278963.2000000002,1346975.2000000002,1346975.2000000002,1346975.2000000002,1346975.2000000002,1346975.2000000002,1346975.2000000002
2b,1262223.2000000002,1335447.2000000002,1335447.2000000002,1335447.2000000002,1335447.2000000002,1335447.2000000002,1335447.2000000002
2c,1243926.8000000003,1327598.8000000003,1327598.8000000003,1327598.8000000003,1327598.8000000003,1327598.8000000003,1327598.8000000003
2d,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003,1497538.8000000003
3a,947206.9999999999,1366351.4,947207.0,769885.4,948145.0,947207.0,769885.4
3b,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001,83184.40000000001
3c,959422.9999999998,959423.0,959423.0,959423.0,959423.0,959423.0,959423.0
4a,43624.4,43624.4,43624.4,43624.4,43624.4,43624.4,43624.4
4b,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2,1036.2
4c,9295.6,9295.6,9295.6,9295.6,9295.6,9295.6,9295.6
5a,671922.2,783274.2,688252.2,637636.2,688252.2,688252.2,783274.2
5b,92478.19999999995,92478.20000000001,92478.20000000001,92478.20000000001,92478.20000000001,92478.20000000001,92478.20000000001
5c,63859.400000000045,63859.4,63859.4,63859.4,63859.4,63859.4,63859.4
6a,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001
6b,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001,907191.6000000001
6c,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001,904899.6000000001
6d,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0,2582484.0
6e,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001,907285.6000000001
6f,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6,4153347.6
8a,172102.2000000001,172102.2,172102.2,172102.2,268634.2,172102.2,172102.2
8b,19360.599999999995,20008.600000000002,20008.600000000002,19360.600000000002,19544.600000000002,20008.600000000002,19132.600000000002
8c,23392707.199999996,23392707.2,23392707.2,54258125.0,34735320.0,23392707.2,54258125.0
8d,15597241.199999996,15597241.2,15597241.2,46279552.4,11102118.4,15597241.2,46279552.4
9a,195600.3999999999,196162.40000000002,196162.40000000002,195724.40000000002,195204.40000000002,195204.40000000002,196104.40000000002
9b,191735.60000000003,192241.60000000003,192241.60000000003,192165.60000000003,191783.60000000003,191783.60000000003,192078.60000000003
9c,392362.0,389108.00000000006,389108.00000000006,389108.00000000006,389370.00000000006,389108.00000000006,422127.00000000006
9d,3864507.8,5534537.8,5534537.8,5554551.8,5544383.8,5544383.8,5988977.8
10a,115144.79999999981,166286.8,166286.8,125272.8,125272.8,125272.8,143898.8
10b,622030.9999999981,629562.0,629562.0,629562.0,629562.0,629562.0,629562.0
10c,8192113.0,9696195.8,9696195.8,8941627.0,8941627.0,8941627.0,9696195.8
17a,8229085.000000003,8229085.000000001,8229085.000000001,8229085.000000001,8229085.000000001,8229085.000000001,14745605.799999999
17b,3295972.000000003,16914576.8,16914576.8,16914576.8,16914576.8,16914576.8,12664564.8
17c,3035032.000000003,16823976.8,16823976.8,16823976.8,16823976.8,16823976.8,12473188.8
17d,3081740.400000003,16836659.2,16836659.2,16836659.2,16836659.2,16836659.2,12505111.2
17e,12827758.800000004,12827758.8,12827758.8,12827758.8,12827758.8,12827758.8,28196519.8
17f,7080202.600000003,18576041.2,18576041.2,18576041.2,18576041.2,18576041.2,15616533.6
18a,2633973.799999998,3553003.8000000003,3553003.8000000003,3553003.8000000003,3553003.8000000003,3553003.8000000003,23910966.799999997
18b,11002.0,10916.0,10916.0,12920.0,12920.0,10916.0,10916.0
18c,1141431.5999999999,1354035.5999999999,1354035.5999999999,1354035.5999999999,1354035.5999999999,1354035.5999999999,1649323.5999999999
32a,905785.6000000001,905785.6000000001,905785.6000000001,905785.6000000001,905785.6000000001,905785.6000000001,905785.6000000001
32b,1083877.2000000002,1083877.2000000002,1083877.2000000002,1083877.2000000002,1083877.2000000002,1083877.2000000002,1083877.2000000002
7a,917831.7999999999,917831.7999999999,917831.7999999999,917831.7999999999,917831.7999999999,917831.7999999999,1444053.8
7b,164075.9999999996,164076.0,164076.0,164076.0,164076.0,164076.0,236058.0
7c,2840609.599999999,5680104.800000001,4254295.600000001,5680104.800000001,4617437.600000001,4254295.600000001,9196010.8
11a,936128.2,935856.2000000001,935856.2000000001,951058.8,951058.8,935856.2000000001,937618.2000000001
11b,6366.200000000046,6296.2,6296.2,6958.2,6706.2,6296.2,6296.2
11c,1055531.0,1039073.0000000001,1039073.0000000001,1130959.0000000002,1130959.0000000002,1039073.0000000001,1050045.0
11d,1024255.8000000002,1026853.8,1026853.8,1118739.8,1118739.8,1026853.8,1054953.8
12a,13103.2,25815.2,25815.2,13277.2,13277.2,25815.2,25815.2
12b,276650.8000000004,278636.80000000005,278636.80000000005,278636.80000000005,278636.80000000005,278636.80000000005,278613.80000000005
12c,85935.79999999986,85935.8,85935.8,84694.8,84694.8,85935.8,142064.80000000002
13a,4845021.599999994,4845021.600000001,4845021.600000001,4845021.600000001,4845021.600000001,4845021.600000001,4591051.600000001
13b,7316.400000000186,7316.4,7316.4,7316.4,7316.4,7316.4,7652.4
13c,1134.6000000003726,1134.6000000000001,1134.6000000000001,1134.6000000000001,1134.6000000000001,1134.6000000000001,1242.6000000000001
13d,11903582.199999994,11903582.2,11903582.2,11903582.2,11903582.2,11903582.2,11866211.2
14a,7712.199999999628,11120.400000000001,11120.400000000001,12084.400000000001,11509.400000000001,11120.400000000001,7226.4
14b,1592.1999999999769,2191.2,2191.2,2357.2,1592.2,1592.2,2191.2
14c,40647.59999999981,22714.6,22714.6,46110.6,21512.6,22714.6,21835.6
15a,19594.20000000037,7544.2,7544.2,12036.199999999999,12036.199999999999,12036.199999999999,10867.199999999999
15b,9908.400000000558,6210.599999999999,6210.599999999999,10294.4,10294.4,10294.4,9324.4
15c,67678.59999999982,17035.6,17035.6,20359.6,20359.6,20359.6,29380.6
15d,255075.8,111533.8,111533.8,111533.8,111533.8,111533.8,241506.4
16a,1004724.200000003,1004724.2000000001,1004724.2000000001,1004724.2000000001,1004724.2000000001,1004724.2000000001,1012482.2000000001
16b,17619962.400000006,17619962.4,17619962.4,17619962.4,17619962.4,17619962.4,22550372.200000003
16c,2602231.200000003,2602231.2,2602231.2,2602231.2,2602231.2,2602231.2,3295404.8000000003
16d,2240953.200000003,2240953.2,2240953.2,2240953.2,2240953.2,2240953.2,2764395.8000000003
19a,1453810.0000000007,1454668.0,1454668.0,1453978.0,2473709.6,1454668.0,1454668.0
19b,14622.399999999994,84293.4,14830.400000000001,84303.4,15346.400000000001,14830.400000000001,84293.4
19c,1706966.6,2008126.5999999999,2008126.5999999999,1718492.5999999999,2549848.6000000006,2008126.5999999999,4255476.2
19d,14523748.799999993,20286905.4,20286905.4,20091437.4,20296751.4,20296751.4,56987917.00000001
20a,3474338.6,3474302.6,3474302.6,3474302.6,3474302.6,3474302.6,93903055.6
20b,1167625.0000000075,1167625.0,1167625.0,1167625.0,1167625.0,1167625.0,43613863.0
20c,1593184.4000000074,4602374.4,4602374.4,5351844.4,5351844.4,4602374.4,50505711.4
21a,949095.2000000004,963054.8,963054.8,965494.8,965494.8,963054.8,958510.8
21b,933487.2,942268.8,942268.8,943920.8,943920.8,942268.8,945498.8
21c,941402.2,957701.2000000001,957701.2000000001,975123.2000000001,975123.2000000001,957701.2000000001,944310.2000000001
22a,53369.60000000074,68316.40000000001,68316.40000000001,53711.4,53711.4,53711.4,88917.40000000001
22b,50411.39999999981,67524.80000000002,67524.80000000002,50417.4,50417.4,50417.4,88913.00000000001
22c,136968.39999999982,12811.4,12811.4,133348.00000000003,15261.4,12811.4,15041.4
22d,24580.39999999702,94952.40000000002,94952.40000000002,307468.99999999994,86889.4,94952.40000000002,81332.4
23a,15368.0,8244.0,8244.0,11287.0,9413.0,8244.0,11954.0
23b,7262.399999998509,6985.4,6985.4,7026.4,7399.4,6985.4,10055.399999999998
23c,12279.599999999442,8291.6,8291.6,8288.6,8629.6,8291.6,12017.599999999999
24a,1068963.6000000043,1207639.5999999999,1207639.5999999999,1131753.6,1514051.7999999998,1514051.7999999998,3451715.4000000004
24b,135529.20000000298,114132.2,114132.2,65412.19999999999,72918.2,114132.2,114132.2
25a,445670.5999999996,485583.60000000003,485583.60000000003,485583.60000000003,485583.60000000003,485583.60000000003,2830174.6
25b,6883.200000000745,6638.2,6638.2,6536.2,6658.2,6638.2,6835.2
25c,3037664.9999999995,3254108.9999999995,3254108.9999999995,3254108.9999999995,3254108.9999999995,3254108.9999999995,12844630.799999999
26a,526771.1999999881,526771.2,526771.2,351681.20000000007,349439.20000000007,526771.2,9767110.2
26b,116359.3999999881,117355.40000000001,117355.40000000001,74144.40000000001,72769.40000000001,72769.40000000001,5023025.800000001
26c,4588949.599999988,4608279.6,4608279.6,5339987.6,5339987.6,4608279.6,151583339.79999998
33a,12893.399999999441,18312.400000000005,18312.400000000005,18312.400000000005,15850.400000000003,18312.400000000005,91953.4
33b,13692.599999999395,25547.600000000002,25547.600000000002,25963.600000000002,17625.600000000002,17625.600000000002,57128.59999999999
33c,31610.800000000745,37100.8,37100.8,98976.8,94582.8,37100.8,117114.79999999999
27a,945633.7999999999,951272.4,951272.4,956884.4,942067.8,942067.8,951549.4
27b,942492.0000000001,949550.4,949550.4,937194.0,938526.8,938526.8,949827.4
27c,950249.8000000004,945962.8,945962.8,960716.8,944063.8,945962.8,945962.8
28a,212198.20000000042,47048.2,47048.2,14888.2,55968.2,47048.2,183829.2
28b,51939.3999999996,53180.399999999994,53180.399999999994,48406.399999999994,73622.40000000001,53180.399999999994,123420.4
28c,178323.79999999984,8880.0,8880.0,12273.000000000002,16046.800000000001,8880.0,35006.4
29a,27699.800000000745,6659612.2,6659612.2,94933.99999999999,429583.2,6659612.2,6659612.2
29b,27699.800000000745,3604174.0000000005,3604174.0000000005,29295.800000000007,44840.999999999985,3604174.0000000005,3604174.0000000005
29c,27699.800000000745,40783919.800000004,40783919.800000004,705098.0,3244712.0,40783919.800000004,48775557.00000001
30a,590178.0000000006,297404.0,297404.0,300820.0,383793.00000000006,297404.0,3152534.6
30b,59599.39999999925,29324.4,29324.4,18703.400000000005,22655.400000000005,29324.4,29324.4
30c,1242197.5999999973,1220657.5999999999,1220657.5999999999,1203988.5999999999,1579319.5999999999,1220657.5999999999,9170107.4
31a,713679.199999997,755954.2,755954.2,755954.2,755954.2,755954.2,56790907.00000001
31b,45232.99999999925,30649.000000000004,30649.000000000004,14306.4,7693.0,30649.000000000004,177784.00000000003
31c,1956663.9999999977,2203300.9999999995,2203300.9999999995,2203300.9999999995,2203300.9999999995,2203300.9999999995,161131737.20000002
