query_name,prim_plans,kruskal_plans,distinct_plans,duplicate_plans
1a,5,5,5,5,5
1b,5,5,5,6,4
1c,5,5,5,5,5
1d,5,5,5,7,3
2a,5,5,5,7,3
2b,5,5,5,7,3
2c,5,5,5,5,5
2d,5,5,5,7,3
3a,4,4,4,4,4
3b,4,4,4,4,4
3c,4,4,4,5,3
4a,5,5,5,6,4
4b,5,5,5,7,3
4c,5,5,5,7,3
5a,5,5,5,6,4
5b,5,5,5,7,3
5c,5,5,5,7,3
6a,5,5,5,5,5
6b,5,5,5,5,5
6c,5,5,5,5,5
6d,5,5,5,5,5
6e,5,5,5,5,5
6f,5,5,5,7,3
8a,8,8,8,11,5
8b,8,8,8,15,1
8c,8,8,8,16,0
8d,8,8,8,13,3
9a,9,9,9,18,0
9b,9,9,9,17,1
9c,9,9,9,12,6
9d,9,9,9,16,2
10a,7,7,7,7,7
10b,7,7,7,10,4
10c,7,7,7,12,2
17a,9,9,9,15,3
17b,9,9,9,17,1
17c,9,9,9,17,1
17d,9,9,9,17,1
17e,9,9,9,15,3
17f,9,9,9,17,1
18a,9,9,9,11,7
18b,9,9,9,14,4
18c,9,9,9,14,4
32a,5,5,5,6,4
32b,5,5,5,8,2
7a,11,11,11,22,0
7b,11,11,11,19,3
7c,11,11,11,22,0
11a,10,10,10,16,4
11b,10,10,10,10,10
11c,10,10,10,19,1
11d,10,10,10,16,4
12a,10,10,10,17,3
12b,10,10,10,10,10
12c,10,10,10,17,3
13a,11,11,11,18,4
13b,11,11,11,18,4
13c,11,11,11,18,4
13d,11,11,11,22,0
14a,10,10,10,16,4
14b,10,10,10,17,3
14c,10,10,10,16,4
15a,14,14,14,27,1
15b,14,14,14,26,2
15c,14,14,14,25,3
15d,14,14,14,25,3
16a,11,11,11,18,4
16b,11,11,11,22,0
16c,11,11,11,18,4
16d,11,11,11,18,4
19a,13,13,13,25,1
19b,13,13,13,22,4
19c,13,13,13,19,7
19d,13,13,13,26,0
20a,12,12,12,20,4
20b,12,12,12,14,10
20c,12,12,12,18,6
21a,14,14,14,22,6
21b,14,14,14,22,6
21c,14,14,14,23,5
22a,16,16,16,30,2
22b,16,16,16,31,1
22c,16,16,16,29,3
22d,16,16,16,27,5
23a,16,16,16,28,4
23b,16,16,16,25,7
23c,16,16,16,29,3
24a,18,18,18,30,6
24b,18,18,18,30,6
25a,14,14,14,23,5
25b,14,14,14,24,4
25c,14,14,14,23,5
26a,17,17,17,34,0
26b,17,17,17,34,0
26c,17,17,17,27,7
33a,19,19,19,34,4
33b,19,19,19,38,0
33c,19,19,19,34,4
27a,21,21,21,41,1
27b,21,21,21,39,3
27c,21,21,21,40,2
28a,23,23,23,45,1
28b,23,23,23,46,0
28c,23,23,23,46,0
29a,28,28,28,54,2
29b,28,28,28,55,1
29c,28,28,28,56,0
30a,21,21,21,42,0
30b,21,21,21,30,12
30c,21,21,21,42,0
31a,20,20,20,32,8
31b,20,20,20,29,11
31c,20,20,20,38,2
