query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,1.03662,215927.2,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,1.0713599999999999,276174.4,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,1.06771,71749.59999999999,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,1.0665499999999999,276199.4,276199.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,1.03668,1346975.2000000002,1346975.2000000002,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2b,1.05698,1335447.2000000002,1335447.2000000002,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2c,1.07286,526354.6,526354.6,cn-mc mc-t mc-mk k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2d,1.07908,1497538.8000000003,1497538.8000000003,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
3a,1.12826,769885.4,769885.4,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3b,1.08906,83184.40000000001,83184.40000000001,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3c,1.0806399999999998,968001.0,968001.0,k-mk mi-mk mi-t,HJ-mk-k INL-mi-k mk INL-t-k mi mk
4a,1.06213,43624.4,43624.4,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,1.0913,1036.2,1036.2,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,1.03356,9295.6,9295.6,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
5a,1.07232,600732.2,600732.2,it-mi mc-mi ct-mc mc-t,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-t-ct it mc mi
5b,1.05899,94350.80000000002,94350.80000000002,ct-mc mc-mi it-mi mc-t,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5c,1.0875400000000002,63729.4,63729.4,ct-mc mc-mi it-mi mc-t,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
6a,1.0511400000000002,907285.6000000001,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6b,1.06162,907191.6000000001,907191.6000000001,mk-t k-mk ci-mk ci-n,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6c,1.0818,904899.6000000001,904899.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6d,1.06737,2582484.0,2582484.0,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6e,1.05862,907285.6000000001,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6f,1.0612499999999998,4153347.6,4153347.6,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,1.60603,46111.399999999994,46111.399999999994,n-ci rt-ci mc-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-cn-ci mc n rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
8b,1.64302,2030.4,2030.4,t-mc cn-mc ci-t rt-ci n-ci an-ci,HJ-mc-t INL-cn-mc t INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8c,1.1611799999999999,23392707.2,23392707.2,cn-mc mc-t an-n ci-rt ci-mc an-ci,HJ-mc-cn INL-t-cn mc HJ-n-an HJ-ci-rt HJ-ci rt-cn mc t HJ-ci cn mc rt t-an n
8d,1.08922,10872370.4,10872370.4,ci-rt an-ci an-n ci-t ci-mc cn-mc,HJ-ci-rt INL-an-ci rt INL-n-an ci rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
9a,1.6457899999999999,186815.2,186815.2,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t
9b,1.60698,151657.6,151657.6,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t
9c,1.08371,365055.80000000005,365055.80000000005,ci-n ci-rt chn-ci ci-t an-ci ci-mc cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9d,1.05919,4163177.8000000003,4163177.8000000003,ci-rt chn-ci ci-n ci-t ci-mc cn-mc an-ci,HJ-ci-rt INL-chn-ci rt INL-n-chn ci rt INL-t-chn ci n rt INL-mc-chn ci n rt t HJ-chn ci mc n rt t-cn HJ-an-chn ci cn mc n rt t
10a,1.0642800000000001,166286.8,166286.8,ci-rt chn-ci ci-t ci-mc cn-mc ct-mc,HJ-ci-rt INL-chn-ci rt INL-t-chn ci rt INL-mc-chn ci rt t HJ-chn ci mc rt t-cn HJ-chn ci cn mc rt t-ct
10b,1.06432,629562.0,629562.0,cn-mc ct-mc mc-t ci-mc ci-rt chn-ci,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc INL-ci-cn ct mc t HJ-ci cn ct mc t-rt INL-chn-ci cn ct mc rt t
10c,1.62925,8941627.0,8941627.0,cn-mc ct-mc t-mc ci-mc rt-ci chn-ci,HJ-mc-cn HJ-cn mc-ct HJ-t-cn ct mc INL-ci-cn ct mc t HJ-ci cn ct mc t-rt INL-chn-ci cn ct mc rt t
17a,1.0626600000000002,8229085.000000001,8229085.000000001,k-mk mk-t mc-mk cn-mc ci-mc ci-n,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn INL-ci-cn k mc mk t HJ-ci cn k mc mk t-n
17b,1.05487,9302740.8,9302740.8,ci-n ci-t k-mk ci-mk ci-mc cn-mc,HJ-ci-n INL-t-ci n HJ-mk-k HJ-ci n t-k mk INL-mc-ci k mk n t INL-cn-ci k mc mk n t
17c,1.07449,8356740.800000001,8356740.800000001,ci-n ci-t ci-mc cn-mc k-mk ci-mk,HJ-ci-n INL-t-ci n INL-mc-ci n t INL-cn-ci mc n t HJ-mk-k HJ-k mk-ci cn mc n t
17d,1.06872,8850523.2,8850523.2,ci-n ci-t ci-mc cn-mc k-mk ci-mk,HJ-ci-n INL-t-ci n INL-mc-ci n t INL-cn-ci mc n t HJ-mk-k HJ-ci cn mc n t-k mk
17e,1.07721,12827758.8,12827758.8,k-mk mk-t mc-mk cn-mc ci-mc ci-n,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn INL-ci-cn k mc mk t INL-n-ci cn k mc mk t
17f,1.0270899999999998,15636797.2,15636797.2,k-mk mk-t mc-mk cn-mc ci-n ci-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t HJ-ci-n HJ-ci n-cn k mc mk t
18a,1.06663,696169.0,696169.0,ci-n ci-t ci-mi_idx it2-mi_idx ci-mi it1-mi,HJ-ci-n INL-t-ci n INL-mi_idx-ci n t HJ-ci mi_idx n t-it2 INL-mi-ci it2 mi_idx n t HJ-ci it2 mi mi_idx n t-it1
18b,1.0817999999999999,10916.0,10916.0,it2-mi_idx mi-mi_idx it1-mi ci-mi ci-n ci-t,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-ci-it1 it2 mi mi_idx INL-n-ci it1 it2 mi mi_idx INL-t-ci it1 it2 mi mi_idx n
18c,1.08955,1071377.6,1071377.6,it1-mi ci-mi ci-n ci-t ci-mi_idx it2-mi_idx,HJ-mi-it1 INL-ci-it1 mi INL-n-ci it1 mi INL-t-ci it1 mi n INL-mi_idx-ci it1 mi n t HJ-ci it1 mi mi_idx n t-it2
32a,1.04188,732450.6,732450.6,lt-ml ml-t1 ml-t2 mk-t1 k-mk,HJ-ml-lt INL-t1-lt ml INL-t2-lt ml t1 INL-mk-lt ml t1 t2 HJ-lt mk ml t1 t2-k
32b,1.0612,736779.2,736779.2,lt-ml ml-t1 ml-t2 mk-t1 k-mk,HJ-ml-lt INL-t1-lt ml INL-t2-lt ml t1 INL-mk-lt ml t1 t2 HJ-lt mk ml t1 t2-k
7a,1.07429,944481.8,944481.8,it-pi lt-ml ml-t an-pi an-n ci-ml an-ci,HJ-pi-it HJ-ml-lt INL-t-lt ml INL-an-it pi INL-n-an it pi INL-ci-lt ml t HJ-ci lt ml t-an it n pi
7b,1.1280299999999999,176595.0,176595.0,lt-ml ml-t ci-ml ci-n an-ci an-pi it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t HJ-n-ci lt ml t INL-an-ci lt ml n t INL-pi-an ci lt ml n t HJ-an ci lt ml n pi t-it
7c,1.0428,3051055.6,3051055.6,lt-ml ml-t it-pi an-pi an-n ci-ml an-ci,HJ-ml-lt INL-t-lt ml HJ-pi-it INL-an-it pi INL-n-an it pi INL-ci-lt ml t HJ-ci lt ml t-an it n pi
11a,1.07667,41993.2,41993.2,lt-ml ml-t mc-ml ct-mc cn-mc mc-mk k-mk,HJ-ml-lt INL-t-lt ml INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
11b,1.07267,6303.2,6303.2,ml-t lt-ml mc-ml ct-mc cn-mc mc-mk k-mk,HJ-ml-t HJ-ml t-lt INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
11c,1.6289699999999998,1039073.0000000001,1039073.0000000001,mk-k ml-mk lt-ml t-mk mc-mk cn-mc ct-mc,HJ-mk-k HJ-k mk-ml HJ-k mk ml-lt INL-t-k lt mk ml INL-mc-k lt mk ml t HJ-k lt mc mk ml t-cn HJ-cn k lt mc mk ml t-ct
11d,1.1120700000000001,678666.7999999999,678666.7999999999,lt-ml ml-t mc-ml ct-mc cn-mc mc-mk k-mk,HJ-ml-lt INL-t-lt ml INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
12a,1.05372,13103.2,13103.2,it2-mi_idx mi-mi_idx it1-mi mi-t mc-mi ct-mc cn-mc,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx INL-mc-it1 it2 mi mi_idx t HJ-it1 it2 mc mi mi_idx t-ct INL-cn-ct it1 it2 mc mi mi_idx t
12b,1.0869,278636.80000000005,278636.80000000005,it2-mi_idx mi_idx-t mc-mi_idx ct-mc cn-mc mc-mi it1-mi,HJ-mi_idx-it2 INL-t-it2 mi_idx INL-mc-it2 mi_idx t HJ-it2 mc mi_idx t-ct INL-cn-ct it2 mc mi_idx t INL-mi-cn ct it2 mc mi_idx t HJ-cn ct it2 mc mi mi_idx t-it1
12c,1.0836800000000002,85935.8,85935.8,it2-mi_idx mi-mi_idx it1-mi mi-t mc-mi ct-mc cn-mc,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx INL-mc-it1 it2 mi mi_idx t HJ-it1 it2 mc mi mi_idx t-ct INL-cn-ct it1 it2 mc mi mi_idx t
13a,1.09158,2187548.6,2187548.6,cn-mc ct-mc mc-t kt-t mc-mi_idx it1-mi_idx mc-mi it2-mi,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc HJ-cn ct mc t-kt INL-mi_idx-cn ct kt mc t HJ-cn ct kt mc mi_idx t-it1 INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13b,1.04996,7316.4,7316.4,kt-t mi_idx-t it1-mi_idx mc-mi_idx ct-mc cn-mc mc-mi it2-mi,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it1 INL-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct INL-cn-ct it1 kt mc mi_idx t INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13c,1.08201,1134.6000000000001,1134.6000000000001,kt-t mi_idx-t it1-mi_idx mc-mi_idx ct-mc cn-mc mc-mi it2-mi,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it1 INL-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct INL-cn-ct it1 kt mc mi_idx t INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13d,1.09416,10623717.200000001,10623717.200000001,it1-mi_idx mi_idx-t kt-t mc-mi_idx ct-mc cn-mc it2-mi mc-mi,HJ-mi_idx-it1 INL-t-it1 mi_idx HJ-it1 mi_idx t-kt HJ-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct HJ-ct it1 kt mc mi_idx t-cn HJ-mi-it2 HJ-it2 mi-cn ct it1 kt mc mi_idx t
14a,1.07532,11120.400000000001,11120.400000000001,it2-mi_idx mi-mi_idx it1-mi mi-t kt-t mi-mk k-mk,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx HJ-it1 it2 mi mi_idx t-kt INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
14b,1.59109,1594.2,1594.2,kt-t mi_idx-t it2-mi_idx mi-t it1-mi mk-t k-mk,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it2 INL-mi-it2 kt mi_idx t HJ-it2 kt mi mi_idx t-it1 INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
14c,1.06633,22714.6,22714.6,it2-mi_idx mi-mi_idx it1-mi mi-t kt-t mi-mk k-mk,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx HJ-it1 it2 mi mi_idx t-kt INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
15a,1.07389,7563.2,7563.2,it-mi att-mi att-mc ct-mc att-t cn-mc att-mk k-mk,HJ-mi-it INL-att-it mi INL-mc-att it mi HJ-att it mc mi-ct INL-t-att ct it mc mi INL-cn-att ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15b,1.09791,6064.599999999999,6064.599999999999,it-mi att-mi att-mc cn-mc att-t ct-mc att-mk k-mk,HJ-mi-it INL-att-it mi INL-mc-att it mi HJ-att it mc mi-cn INL-t-att cn it mc mi INL-ct-att cn it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15c,1.06466,17035.6,17035.6,it-mi att-mi att-t att-mc ct-mc cn-mc att-mk k-mk,HJ-mi-it INL-att-it mi INL-t-att it mi INL-mc-att it mi t HJ-att it mc mi t-ct INL-cn-att ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15d,1.06911,91391.8,91391.8,it-mi att-mi att-t att-mc ct-mc cn-mc att-mk k-mk,HJ-mi-it INL-att-it mi INL-t-att it mi INL-mc-att it mi t HJ-att it mc mi t-ct INL-cn-att ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
16a,1.0722900000000002,681349.0,681349.0,mc-t cn-mc mc-mk k-mk ci-mc ci-n an-ci,HJ-mc-t INL-cn-mc t INL-mk-cn mc t HJ-cn mc mk t-k INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
16b,1.08368,14591036.6,14591036.6,k-mk mk-t mc-mk cn-mc an-n ci-mc an-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn HJ-n-an INL-ci-cn k mc mk t HJ-ci cn k mc mk t-an n
16c,1.11706,2602231.2,2602231.2,k-mk mk-t mc-mk cn-mc ci-mc ci-n an-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
16d,1.0411000000000001,2240953.2,2240953.2,k-mk mk-t mc-mk cn-mc ci-mc ci-n an-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
19a,1.62393,187295.40000000002,187295.40000000002,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n mi-ci it-mi,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t INL-mi-an chn ci cn mc n rt t HJ-an chn ci cn mc mi n rt t-it
19b,1.0852,14288.400000000001,14288.400000000001,mi-t it-mi mc-mi cn-mc ci-mc ci-rt chn-ci ci-n an-ci,HJ-mi-t HJ-mi t-it INL-mc-it mi t INL-cn-it mc mi t INL-ci-cn it mc mi t HJ-ci cn it mc mi t-rt INL-chn-ci cn it mc mi rt t INL-n-chn ci cn it mc mi rt t INL-an-chn ci cn it mc mi n rt t
19c,1.11322,335782.00000000006,335782.00000000006,ci-n ci-rt chn-ci ci-mi it-mi ci-t an-ci ci-mc cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-mi-chn ci n rt HJ-chn ci mi n rt-it INL-t-chn ci it mi n rt INL-an-chn ci it mi n rt t INL-mc-an chn ci it mi n rt t INL-cn-an chn ci it mc mi n rt t
19d,1.05248,11558661.4,11558661.4,ci-rt chn-ci ci-n ci-t ci-mc cn-mc an-ci it-mi ci-mi,HJ-ci-rt INL-chn-ci rt INL-n-chn ci rt INL-t-chn ci n rt INL-mc-chn ci n rt t HJ-chn ci mc n rt t-cn INL-an-chn ci cn mc n rt t HJ-mi-it HJ-it mi-an chn ci cn mc n rt t
20a,1.07616,2118273.4000000004,2118273.4000000004,k-mk cc-mk cc-cct1 cc-cct2 cc-t kt-t cc-ci chn-ci ci-n,HJ-mk-k INL-cc-k mk HJ-cc k mk-cct1 HJ-cc cct1 k mk-cct2 INL-t-cc cct1 cct2 k mk HJ-cc cct1 cct2 k mk t-kt INL-ci-cc cct1 cct2 k kt mk t HJ-cc cct1 cct2 ci k kt mk t-chn INL-n-cc cct1 cct2 chn ci k kt mk t
20b,1.0708600000000001,1411423.0,1411423.0,cc-cct1 cc-cct2 cc-t kt-t cc-mk k-mk cc-ci ci-n chn-ci,HJ-cc-cct1 HJ-cc cct1-cct2 INL-t-cc cct1 cct2 HJ-cc cct1 cct2 t-kt INL-mk-cc cct1 cct2 kt t HJ-cc cct1 cct2 kt mk t-k INL-ci-cc cct1 cct2 k kt mk t HJ-cc cct1 cct2 ci k kt mk t-n HJ-chn-cc cct1 cct2 ci k kt mk n t
20c,1.09354,1593184.4,1593184.4,cc-cct1 cc-cct2 cc-t kt-t cc-mk k-mk cc-ci chn-ci ci-n,HJ-cc-cct1 HJ-cc cct1-cct2 INL-t-cc cct1 cct2 HJ-cc cct1 cct2 t-kt INL-mk-cc cct1 cct2 kt t HJ-cc cct1 cct2 kt mk t-k INL-ci-cc cct1 cct2 k kt mk t HJ-cc cct1 cct2 ci k kt mk t-chn INL-n-cc cct1 cct2 chn ci k kt mk t
21a,1.06227,95354.2,95354.2,lt-ml ml-t mi-ml mc-mi ct-mc cn-mc mc-mk k-mk,HJ-ml-lt INL-t-lt ml INL-mi-lt ml t INL-mc-lt mi ml t HJ-lt mc mi ml t-ct INL-cn-ct lt mc mi ml t INL-mk-cn ct lt mc mi ml t HJ-cn ct lt mc mi mk ml t-k
21b,1.06768,24649.2,24649.2,lt-ml mi-ml mi-t mc-mi ct-mc cn-mc mc-mk k-mk,HJ-ml-lt INL-mi-lt ml INL-t-lt mi ml INL-mc-lt mi ml t HJ-lt mc mi ml t-ct INL-cn-ct lt mc mi ml t INL-mk-cn ct lt mc mi ml t HJ-cn ct lt mc mi mk ml t-k
21c,1.0666600000000002,143732.2,143732.2,lt-ml ml-t mi-ml mc-mi ct-mc cn-mc mc-mk k-mk,HJ-ml-lt INL-t-lt ml INL-mi-lt ml t INL-mc-lt mi ml t HJ-lt mc mi ml t-ct INL-cn-ct lt mc mi ml t INL-mk-cn ct lt mc mi ml t HJ-cn ct lt mc mi mk ml t-k
