query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,1.0294400000000001,41337.0,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,1.0698400000000001,334383.4,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,1.05955,9712.400000000001,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,1.07432,354538.4,276199.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,1.0404300000000002,880.2,1346975.2000000002,k-mk mk-t mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2b,1.04947,880.2,1335447.2000000002,k-mk mk-t mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2c,1.06215,697.6,1327598.8000000003,k-mk mk-t mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2d,1.06421,880.2,1497538.8000000003,k-mk mk-t mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
3a,1.08429,906415.6000000001,947207.0,k-mk mi-mk mi-t,HJ-mk-k INL-mi-k mk INL-t-k mi mk
3b,1.06796,2403.4,83184.40000000001,mi-t mi-mk k-mk,INL-t-mi INL-mk-mi t HJ-mi mk t-k
3c,1.06845,907311.6000000001,959423.0,k-mk mk-t mi-mk,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,1.0808200000000001,1918.0,43624.4,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,1.08134,19.6,1036.2,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4c,1.06664,37.2,9295.6,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-k-it mi_idx mk t
5a,1.08094,413275.39999999997,688252.2,mc-mi ct-mc it-mi mc-t,INL-mc-mi HJ-mc mi-ct HJ-ct mc mi-it INL-t-ct it mc mi
5b,1.09372,140420.4,92478.20000000001,ct-mc mc-t mc-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t HJ-ct mc mi t-it
5c,1.08203,298017.39999999997,63859.4,ct-mc mc-t mc-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t HJ-ct mc mi t-it
6a,1.07127,905543.6000000001,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-n-ci k mk t
6b,1.09188,904881.0,907191.6000000001,mk-t k-mk ci-mk ci-n,HJ-mk-t HJ-mk t-k INL-ci-k mk t INL-n-ci k mk t
