query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.17088,158897.2,158897.2,ct-mc mc-mi_idx it-mi_idx t-mc,HJ-mc-ct INL-mi_idx-ct mc HJ-ct mc mi_idx-it INL-t-ct it mc mi_idx
1b,0.18882,276174.4,276174.4,it-mi_idx t-mi_idx t-mc ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,0.17574,71749.59999999999,71749.59999999999,ct-mc t-mc t-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,0.17114,276199.40000000026,276199.40000000026,it-mi_idx t-mi_idx t-mc ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,0.16895,1278963.2000000002,1278963.2000000002,mk-k mc-mk cn-mc mc-t,HJ-mk-k INL-mc-k mk HJ-k mc mk-cn INL-t-cn k mc mk
2b,0.17402,1262223.2000000002,1262223.2000000002,mk-k mc-mk cn-mc mc-t,HJ-mk-k INL-mc-k mk HJ-k mc mk-cn INL-t-cn k mc mk
2c,0.16477,525586.6000000004,525586.6000000004,cn-mc mc-mk mk-k mc-t,HJ-mc-cn INL-mk-cn mc HJ-cn mc mk-k INL-t-cn k mc mk
2d,0.1808,1497538.8000000003,1497538.8000000003,mk-k t-mk mc-t cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
3a,0.17521,769885.4,769885.4,t-mi t-mk k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3b,0.16711,83184.40000000001,83184.40000000001,t-mi t-mk k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3c,0.16446,959422.9999999998,959422.9999999998,k-mk t-mk t-mi,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,0.17108,43624.4,43624.4,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,0.16412,1036.2,1036.2,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,0.16683,9295.6,9295.6,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
5a,0.17225,600320.2,600320.2,t-mi t-mc ct-mc it-mi,HJ-t-mi INL-mc-mi t HJ-mc mi t-ct HJ-ct mc mi t-it
5b,0.16824,92478.19999999995,92478.19999999995,ct-mc t-mc t-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t INL-it-ct mc mi t
5c,0.18414,63707.400000000045,63707.400000000045,ct-mc mc-mi t-mi it-mi,HJ-mc-ct INL-mi-ct mc INL-t-ct mc mi HJ-ct mc mi t-it
6a,0.16895,907285.6000000001,907285.6000000001,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6b,0.16264,907191.6000000001,907191.6000000001,t-mk k-mk t-ci n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6c,0.16452,904899.6000000001,904899.6000000001,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6d,0.17219,2582484.0,2582484.0,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
