query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.17753,32942.99999999981,158897.2,ct-mc mc-mi_idx it-mi_idx t-mc,HJ-mc-ct INL-mi_idx-ct mc HJ-ct mc mi_idx-it INL-t-ct it mc mi_idx
1b,0.17601,334383.39999999997,276174.4,it-mi_idx t-mi_idx t-mc ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,0.17567,9712.400000000001,71749.59999999999,ct-mc t-mc t-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,0.17107,354538.4000000002,276199.40000000026,it-mi_idx t-mi_idx t-mc ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,0.17279,828.2000000001863,1278963.2000000002,mk-k mc-mk cn-mc mc-t,INL-mk-k INL-mc-k mk INL-cn-k mc mk INL-t-cn k mc mk
2b,0.17781,816.2000000001863,1262223.2000000002,mk-k mc-mk cn-mc mc-t,INL-mk-k INL-mc-k mk INL-cn-k mc mk INL-t-cn k mc mk
2c,0.17223,631.6000000001862,1243926.8000000003,mk-k mc-mk cn-mc mc-t,INL-mk-k INL-mc-k mk HJ-k mc mk-cn INL-t-cn k mc mk
2d,0.17354,880.2000000001863,1497538.8000000003,mk-k t-mk mc-t cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
3a,0.1727,906415.6000000002,947206.9999999999,k-mk mk-mi t-mi,HJ-mk-k INL-mi-k mk INL-t-k mi mk
3b,0.18083,2403.4,83184.40000000001,t-mi t-mk k-mk,INL-t-mi INL-mk-mi t HJ-mi mk t-k
3c,0.17647,907311.6000000001,959422.9999999998,k-mk t-mk t-mi,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,0.18838,1918.0,43624.4,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,0.17166,19.6,1036.2,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4c,0.16906,37.2,9295.6,it-mi_idx t-mi_idx t-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-k-it mi_idx mk t
5a,0.17493,393855.39999999997,671922.2,mc-mi ct-mc t-mi it-mi,INL-mc-mi HJ-mc mi-ct INL-t-ct mc mi HJ-ct mc mi t-it
5b,0.17009,140420.40000000005,92478.19999999995,ct-mc t-mc t-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t HJ-ct mc mi t-it
5c,0.17647,298017.4,63859.400000000045,ct-mc t-mc t-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t HJ-ct mc mi t-it
6a,0.18358,905543.6000000001,907285.6000000001,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-n-ci k mk t
6b,0.17291,904881.0,907191.6000000001,t-mk k-mk t-ci n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t INL-n-ci k mk t
6c,0.16865,904858.6000000001,904899.6000000001,k-mk t-mk t-ci n-ci,HJ-mk-k HJ-k mk-t INL-ci-k mk t INL-n-ci k mk t
6d,0.17324,916707.0000000001,2582484.0,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6e,0.17463,906714.6000000001,907285.6000000001,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6f,0.17444,926805.6000000001,4153347.6,k-mk t-mk t-ci n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,0.19328,14743.799999999988,172102.2000000001,mc-cn ci-mc ci-rt n-ci an-n ci-t,HJ-mc-cn INL-ci-cn mc HJ-ci cn mc-rt INL-n-ci cn mc rt INL-an-ci cn mc n rt INL-t-an ci cn mc n rt
8b,0.18389,104.60000000000582,19360.599999999995,ci-t n-ci an-n t-mc mc-cn ci-rt,INL-ci-t INL-n-ci t INL-an-ci n t INL-mc-an ci n t INL-cn-an ci mc n t INL-an ci cn mc n t-rt
8c,0.19428,23638756.799999993,23392707.199999996,an-n mc-cn t-mc ci-rt ci-t n-ci,HJ-n-an HJ-mc-cn INL-t-cn mc INL-ci-rt HJ-ci rt-cn mc t HJ-ci cn mc rt t-an n
8d,0.19878,23638756.799999993,15597241.199999996,an-n mc-cn t-mc ci-rt ci-t n-ci,HJ-n-an HJ-mc-cn INL-t-cn mc INL-ci-rt HJ-ci rt-cn mc t HJ-ci cn mc rt t-an n
9a,0.20468,326.39999999990687,195600.3999999999,an-n n-ci ci-rt ci-mc ci-t mc-cn chn-ci,INL-an-n INL-ci-an n HJ-an ci n-rt INL-mc-an ci n rt INL-t-an ci mc n rt INL-cn-an ci mc n rt t INL-chn-an ci cn mc n rt t
9b,0.21409,307.3999999999534,191735.60000000003,an-n n-ci ci-rt ci-t t-mc mc-cn chn-ci,INL-an-n INL-ci-an n HJ-an ci n-rt INL-t-an ci n rt INL-mc-an ci n rt t INL-cn-an ci mc n rt t INL-chn-an ci cn mc n rt t
9c,0.19927,112083.20000000019,392362.0,an-n n-ci ci-rt ci-mc mc-cn ci-t chn-ci,INL-an-n INL-ci-an n HJ-an ci n-rt INL-mc-an ci n rt INL-cn-an ci mc n rt INL-t-an ci cn mc n rt INL-chn-an ci cn mc n rt t
9d,0.18751,606407.2000000002,3864507.8,ci-rt n-ci ci-mc mc-cn ci-t chn-ci an-n,INL-ci-rt INL-n-ci rt INL-mc-ci n rt HJ-cn-ci mc n rt INL-t-ci cn mc n rt INL-chn-ci cn mc n rt t INL-an-chn ci cn mc n rt t
10a,0.17486,15471.400000000185,115144.79999999981,rt-ci t-ci t-mc cn-mc chn-ci ct-mc,HJ-ci-rt INL-t-ci rt INL-mc-ci rt t HJ-ci mc rt t-cn INL-chn-ci cn mc rt t HJ-chn ci cn mc rt t-ct
10b,0.18265,636370.1999999993,622030.9999999981,cn-mc t-mc ct-mc t-ci rt-ci chn-ci,HJ-mc-cn INL-t-cn mc HJ-cn mc t-ct INL-ci-cn ct mc t HJ-ci cn ct mc t-rt INL-chn-ci cn ct mc rt t
