query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.51909,149064.04916704108,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t INL-it-ct mc mi_idx t
1b,0.54183,276043.37510398147,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t INL-ct-it mc mi_idx t
1c,0.5307,64751.22722248596,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t INL-it-ct mc mi_idx t
1d,0.53953,276047.8231819775,276199.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t INL-ct-it mc mi_idx t
2a,0.5172,1274216.7901208568,4147110.0,cn-mc mc-t mc-mk k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-k-cn mc mk t
2b,0.52903,806684.3008851398,3859343.0,cn-mc mc-t mc-mk k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-k-cn mc mk t
2c,0.54237,523949.40410117415,526354.6,cn-mc mc-t mc-mk k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t INL-k-cn mc mk t
2d,0.58252,1113987.455063217,1497538.8000000003,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
3a,0.54743,531755.5047635263,769885.4,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t INL-k-mi mk t
3b,0.57615,81757.40025421702,83184.40000000001,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t INL-k-mi mk t
3c,0.55595,966925.8858439454,968001.0,k-mk mi-mk mi-t,HJ-mk-k INL-mi-k mk INL-t-k mi mk
4a,0.54984,27254.40711942783,43624.4,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4b,0.54607,319.2002745486285,1036.2,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4c,0.5283,6343.602120904713,9295.6,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
5a,0.53396,553749.5647540197,600732.2,it-mi mc-mi ct-mc mc-t,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-t-ct it mc mi
5b,0.54304,94120.18873352424,94350.80000000002,ct-mc mc-mi it-mi mc-t,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5c,0.54928,64044.69899738861,63729.4,ct-mc mc-mi it-mi mc-t,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
6a,0.53391,904831.0539454069,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6b,0.53303,906400.0464219571,907191.6000000001,mk-t k-mk ci-mk ci-n,HJ-mk-t HJ-mk t-k INL-ci-k mk t INL-n-ci k mk t
6c,0.53231,904829.2065235924,904899.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6d,0.5558,1042405.8137516468,2582484.0,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6e,0.52759,904841.3955382167,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6f,0.55148,1042405.8137516468,4153347.6,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,0.54789,45704.757430879006,47937.399999999994,ci-n ci-rt an-ci ci-mc ci-t cn-mc,HJ-ci-n HJ-ci n-rt INL-an-ci n rt INL-mc-an ci n rt INL-t-an ci mc n rt INL-cn-an ci mc n rt t
8b,0.54993,1734.2029798933472,2637.3999999999996,mc-t ci-mc an-ci an-n ci-rt cn-mc,HJ-mc-t INL-ci-mc t INL-an-ci mc t INL-n-an ci mc t INL-rt-an ci mc n t INL-cn-an ci mc n rt t
8c,0.54496,6392633.885718097,54258125.0,cn-mc mc-t ci-mc ci-rt ci-n an-ci,HJ-mc-cn INL-t-cn mc INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8d,0.53673,6392629.135367847,46279552.4,cn-mc mc-t ci-mc ci-rt ci-n an-ci,HJ-mc-cn INL-t-cn mc INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
9a,0.5382,183041.48880074942,187199.2,ci-n ci-rt an-ci chn-ci ci-mc ci-t cn-mc,HJ-ci-n HJ-ci n-rt INL-an-ci n rt INL-chn-an ci n rt INL-mc-an chn ci n rt INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9b,0.55397,150134.5543897917,152397.6,ci-n ci-rt an-ci chn-ci ci-mc ci-t cn-mc,HJ-ci-n HJ-ci n-rt INL-an-ci n rt INL-chn-an ci n rt INL-mc-an chn ci n rt INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9c,0.56114,246323.3117356709,394169.80000000005,ci-n ci-rt an-ci chn-ci ci-mc ci-t cn-mc,HJ-ci-n HJ-ci n-rt INL-an-ci n rt INL-chn-an ci n rt INL-mc-an chn ci n rt INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9d,0.53498,1716458.2623806887,5988977.8,ci-rt chn-ci ci-n an-ci ci-t ci-mc cn-mc,HJ-ci-rt INL-chn-ci rt INL-n-chn ci rt INL-an-chn ci n rt INL-t-an chn ci n rt INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
10a,0.54535,145943.6354698105,166286.8,ci-rt chn-ci ci-t ci-mc cn-mc ct-mc,HJ-ci-rt INL-chn-ci rt INL-t-chn ci rt INL-mc-chn ci rt t INL-cn-chn ci mc rt t INL-ct-chn ci cn mc rt t
10b,0.54148,560609.0389891037,677722.0,cn-mc ct-mc mc-t ci-mc chn-ci ci-rt,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc INL-ci-cn ct mc t INL-chn-ci cn ct mc t INL-rt-chn ci cn ct mc t
10c,0.54044,7491219.794603783,9696195.799999999,ci-rt cn-mc ct-mc mc-t ci-mc chn-ci,HJ-ci-rt HJ-mc-cn HJ-cn mc-ct HJ-t-cn ct mc HJ-ci rt-cn ct mc t INL-chn-ci cn ct mc rt t
17a,0.53501,1113988.7785454364,14745605.799999999,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17b,0.53902,1113988.7785454364,12664564.8,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17c,0.5649,1113988.7785454364,12473188.8,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17d,0.56561,1113988.7785454364,12505111.2,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
