query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.51533,24981.809832053954,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t INL-it-ct mc mi_idx t
1b,0.53169,319555.94422008266,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t INL-ct-it mc mi_idx t
1c,0.52992,8483.544010465055,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t INL-it-ct mc mi_idx t
1d,0.54641,325962.4631222535,276199.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t INL-ct-it mc mi_idx t
2a,0.51474,904957.2001467404,1346975.2000000002,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2b,0.5208,904957.2001467404,1335447.2000000002,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2c,0.52536,904957.2001467404,1327598.8000000003,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2d,0.53349,904957.2001467404,1497538.8000000003,k-mk mk-t mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
3a,0.5313,493613.891447461,769885.4,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t INL-k-mi mk t
3b,0.51336,79921.8006074954,83184.40000000001,mi-t mi-mk k-mk,HJ-t-mi INL-mk-mi t INL-k-mi mk t
3c,0.53579,906720.8568187396,959423.0,k-mk mk-t mi-mk,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,0.52451,1515.0985984617264,43624.4,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4b,0.53428,15.915790656960066,1036.2,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
4c,0.51502,16.96842618015829,9295.6,it-mi_idx mi_idx-t mi_idx-mk k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t INL-k-it mi_idx mk t
5a,0.53535,594158.4399294425,783274.2,it-mi ct-mc mc-mi mc-t,HJ-mi-it HJ-mc-ct HJ-ct mc-it mi INL-t-ct it mc mi
5b,0.53596,132112.38320223242,92478.20000000001,ct-mc mc-t mc-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t INL-it-ct mc mi t
5c,0.54085,226065.18029924438,63859.4,ct-mc mc-t mc-mi it-mi,HJ-mc-ct INL-t-ct mc INL-mi-ct mc t INL-it-ct mc mi t
6a,0.52526,904899.8616317187,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6b,0.52616,904876.0085943792,907191.6000000001,mk-t k-mk ci-mk ci-n,HJ-mk-t HJ-mk t-k INL-ci-k mk t INL-n-ci k mk t
6c,0.54153,904853.6010822551,904899.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k HJ-k mk-t INL-ci-k mk t INL-n-ci k mk t
6d,0.61624,905899.9723719001,2582484.0,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6e,0.5162,904926.2691134985,907285.6000000001,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
6f,0.52546,905899.9723719001,4153347.6,k-mk mk-t ci-mk ci-n,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,0.53008,14738.968309007387,172102.2,cn-mc ci-mc ci-rt ci-n an-ci ci-t,HJ-mc-cn INL-ci-cn mc HJ-ci cn mc-rt INL-n-ci cn mc rt INL-an-ci cn mc n rt INL-t-an ci cn mc n rt
8b,0.54134,16968.050017749698,19132.600000000002,ci-t ci-rt ci-mc an-ci an-n cn-mc,HJ-ci-t HJ-ci t-rt INL-mc-ci rt t INL-an-ci mc rt t INL-n-an ci mc rt t INL-cn-an ci mc n rt t
8c,0.53916,5345081.608685045,54258125.0,cn-mc mc-t ci-mc ci-rt ci-n an-ci,HJ-mc-cn INL-t-cn mc INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8d,0.51139,5345081.608685045,46279552.4,cn-mc mc-t ci-mc ci-rt ci-n an-ci,HJ-mc-cn INL-t-cn mc INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
9a,0.52433,180446.8000556104,196104.40000000002,an-n an-ci chn-ci ci-mc ci-rt ci-t cn-mc,HJ-an-n INL-ci-an n INL-chn-an ci n INL-mc-an chn ci n INL-rt-an chn ci mc n INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9b,0.54572,180446.80004079637,192078.60000000003,an-n an-ci chn-ci ci-mc ci-rt ci-t cn-mc,HJ-an-n INL-ci-an n INL-chn-an ci n INL-mc-an chn ci n INL-rt-an chn ci mc n INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9c,0.53749,234217.63389737258,422127.00000000006,an-n an-ci chn-ci ci-mc ci-rt ci-t cn-mc,HJ-an-n INL-ci-an n INL-chn-an ci n INL-mc-an chn ci n INL-rt-an chn ci mc n INL-t-an chn ci mc n rt INL-cn-an chn ci mc n rt t
9d,0.52995,586544.7772784628,5988977.8,ci-rt chn-ci ci-n an-ci ci-t ci-mc cn-mc,HJ-ci-rt INL-chn-ci rt INL-n-chn ci rt INL-an-chn ci n rt INL-t-an chn ci n rt INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
10a,0.53557,11461.603184423811,143898.8,ci-rt ci-t ci-mc chn-ci cn-mc ct-mc,HJ-ci-rt INL-t-ci rt INL-mc-ci rt t INL-chn-ci mc rt t INL-cn-chn ci mc rt t INL-ct-chn ci cn mc rt t
10b,0.54005,587222.4540187279,629562.0,cn-mc ct-mc mc-t ci-mc ci-rt chn-ci,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc INL-ci-cn ct mc t INL-rt-ci cn ct mc t INL-chn-ci cn ct mc rt t
10c,0.53656,6763980.302073313,9696195.8,cn-mc ct-mc ci-rt mc-t ci-mc chn-ci,HJ-mc-cn HJ-cn mc-ct HJ-ci-rt INL-t-cn ct mc HJ-ci rt-cn ct mc t INL-chn-ci cn ct mc rt t
17a,0.51279,904957.2009693917,14745605.799999999,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17b,0.52944,904957.2009693917,12664564.8,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17c,0.52644,904957.2009693917,12473188.8,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17d,0.53714,904957.2009693917,12505111.2,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17e,0.5519,904957.2009693917,28196519.8,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
17f,0.52132,904957.2009693917,15616533.6,k-mk mk-t ci-mk ci-mc ci-n cn-mc,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-mc-ci k mk t INL-n-ci k mc mk t INL-cn-ci k mc mk n t
18a,0.53645,337073.22273819026,23910966.799999997,it2-mi_idx mi_idx-t ci-mi_idx ci-mi ci-n it1-mi,HJ-mi_idx-it2 INL-t-it2 mi_idx INL-ci-it2 mi_idx t INL-mi-ci it2 mi_idx t INL-n-ci it2 mi mi_idx t INL-it1-ci it2 mi mi_idx n t
18b,0.53071,617.2845548728235,10916.0,it2-mi_idx mi-mi_idx it1-mi ci-mi ci-n ci-t,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-ci-it1 it2 mi mi_idx INL-n-ci it1 it2 mi mi_idx INL-t-ci it1 it2 mi mi_idx n
18c,0.53903,47589.60167451023,1649323.5999999999,it1-mi mi-t ci-mi ci-mi_idx ci-n it2-mi_idx,HJ-mi-it1 INL-t-it1 mi INL-ci-it1 mi t INL-mi_idx-ci it1 mi t INL-n-ci it1 mi mi_idx t INL-it2-ci it1 mi mi_idx n t
32a,0.51404,907012.3864947048,905785.6000000001,k-mk mk-t1 ml-t1 lt-ml ml-t2,HJ-mk-k INL-t1-k mk INL-ml-k mk t1 INL-lt-k mk ml t1 INL-t2-k lt mk ml t1
32b,0.5327,904958.813563516,1083877.2000000002,k-mk mk-t1 ml-t1 lt-ml ml-t2,HJ-mk-k INL-t1-k mk INL-ml-k mk t1 INL-lt-k mk ml t1 INL-t2-k lt mk ml t1
7a,0.54843,11453.704224252406,1444053.8,lt-ml ml-t ci-ml an-ci an-n an-pi it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t INL-an-ci lt ml t INL-n-an ci lt ml t INL-pi-an ci lt ml n t INL-it-an ci lt ml n pi t
7b,0.56091,11098.129749799033,236058.0,lt-ml ml-t ci-ml an-ci an-n an-pi it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t INL-an-ci lt ml t INL-n-an ci lt ml t INL-pi-an ci lt ml n t INL-it-an ci lt ml n pi t
7c,0.54555,34177.441282539236,9196010.8,lt-ml ml-t ci-ml ci-n an-ci an-pi it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t INL-n-ci lt ml t INL-an-ci lt ml n t INL-pi-an ci lt ml n t INL-it-an ci lt ml n pi t
11a,0.54536,904892.1458813086,937618.2000000001,k-mk mk-ml lt-ml mc-mk cn-mc ct-mc mc-t,HJ-mk-k INL-ml-k mk HJ-k mk ml-lt INL-mc-k lt mk ml INL-cn-k lt mc mk ml INL-ct-cn k lt mc mk ml INL-t-cn ct k lt mc mk ml
11b,0.54193,6006.566616801442,6296.2,ml-t lt-ml mc-ml cn-mc ct-mc mc-mk k-mk,HJ-ml-t HJ-ml t-lt INL-mc-lt ml t INL-cn-lt mc ml t INL-ct-cn lt mc ml t INL-mk-cn ct lt mc ml t INL-k-cn ct lt mc mk ml t
11c,0.53848,905207.581265308,1050045.0,k-mk mk-ml lt-ml mc-mk cn-mc ct-mc mc-t,HJ-mk-k INL-ml-k mk HJ-k mk ml-lt INL-mc-k lt mk ml INL-cn-k lt mc mk ml INL-ct-cn k lt mc mk ml INL-t-cn ct k lt mc mk ml
