query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.51548,215927.2,215927.2,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,0.5321,276174.4,276174.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,0.53539,71749.59999999999,71749.59999999999,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,0.53194,276199.4,276199.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,0.52172,1346975.2000000002,1346975.2000000002,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2b,0.52552,1335447.2000000002,1335447.2000000002,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2c,0.52675,526354.6,526354.6,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2d,0.53722,1497538.8000000003,1497538.8000000003,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
3a,0.57828,769885.4,769885.4,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3b,0.56084,83184.40000000001,83184.40000000001,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3c,0.53889,968001.0,968001.0,k-mk mi-mk t-mk,HJ-mk-k INL-mi-k mk INL-t-k mi mk
4a,0.52896,43624.4,43624.4,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,0.5357,1036.2,1036.2,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,0.50844,9295.6,9295.6,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
5a,0.52334,600732.2,600732.2,it-mi mc-mi ct-mc t-mi,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-t-ct it mc mi
5b,0.51827,94350.80000000002,94350.80000000002,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5c,0.53134,63729.4,63729.4,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
6a,0.52275,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6b,0.53257,907191.6000000001,907191.6000000001,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6c,0.53324,904899.6000000001,904899.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6d,0.53976,2582484.0,2582484.0,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6e,0.5242,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6f,0.53214,4153347.6,4153347.6,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,0.52935,46111.399999999994,46111.399999999994,n-ci rt-ci mc-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-cn-ci mc n rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
8b,0.5413,2030.4,2030.4,t-mc cn-mc ci-t rt-ci n-ci an-ci,HJ-mc-t INL-cn-mc t INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8c,0.5453,33194444.000000004,33194444.000000004,ci-rt an-ci n-ci t-ci mc-ci cn-mc,HJ-ci-rt HJ-ci rt-an INL-n-an ci rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
8d,0.51372,10987244.4,10987244.4,ci-rt n-ci an-ci t-ci mc-ci cn-mc,HJ-ci-rt INL-n-ci rt INL-an-ci n rt INL-t-an ci n rt HJ-mc-an ci n rt t HJ-an ci mc n rt t-cn
9a,0.53377,186815.2,186815.2,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t
9b,0.53267,151657.6,151657.6,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t
9c,0.53961,365055.80000000005,365055.80000000005,n-ci rt-ci chn-ci t-ci an-n mc-ci cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-an-chn ci n rt t INL-mc-an chn ci n rt t INL-cn-an chn ci mc n rt t
9d,0.52585,4173023.8000000003,4173023.8000000003,ci-rt n-ci chn-ci t-ci mc-ci cn-mc an-ci,HJ-ci-rt INL-n-ci rt INL-chn-ci n rt INL-t-chn ci n rt INL-mc-chn ci n rt t HJ-chn ci mc n rt t-cn HJ-an-chn ci cn mc n rt t
10a,0.53585,166286.8,166286.8,rt-ci chn-ci t-ci mc-ci cn-mc ct-mc,HJ-ci-rt INL-chn-ci rt INL-t-chn ci rt INL-mc-chn ci rt t HJ-chn ci mc rt t-cn HJ-chn ci cn mc rt t-ct
10b,0.52506,629562.0,629562.0,cn-mc ct-mc t-mc ci-mc rt-ci chn-ci,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc INL-ci-cn ct mc t HJ-ci cn ct mc t-rt INL-chn-ci cn ct mc rt t
10c,0.54735,8941627.0,8941627.0,cn-mc ct-mc t-mc ci-mc rt-ci chn-ci,HJ-mc-cn HJ-cn mc-ct HJ-t-cn ct mc INL-ci-cn ct mc t HJ-ci cn ct mc t-rt INL-chn-ci cn ct mc rt t
17a,0.52868,8229085.000000001,8229085.000000001,mk-k t-mk mc-mk cn-mc ci-mk n-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn INL-ci-cn k mc mk t HJ-ci cn k mc mk t-n
17b,0.53345,16914576.8,16914576.8,mk-k t-mk mc-mk cn-mc ci-mk n-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t HJ-ci-cn k mc mk t HJ-ci cn k mc mk t-n
17c,0.53533,9281095.8,9281095.8,n-ci t-ci mc-ci cn-mc mk-ci k-mk,HJ-ci-n INL-t-ci n INL-mc-ci n t INL-cn-ci mc n t HJ-mk-ci cn mc n t HJ-ci cn mc mk n t-k
17d,0.53537,12689936.2,12689936.2,n-ci t-ci mc-ci cn-mc mk-ci k-mk,HJ-ci-n INL-t-ci n INL-mc-ci n t INL-cn-ci mc n t HJ-mk-ci cn mc n t HJ-ci cn mc mk n t-k
17e,0.53777,12827758.8,12827758.8,mk-k t-mk mc-mk cn-mc ci-mk n-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn INL-ci-cn k mc mk t INL-n-ci cn k mc mk t
17f,0.51006,18576041.2,18576041.2,mk-k t-mk mc-mk cn-mc ci-mk n-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t HJ-ci-cn k mc mk t HJ-ci cn k mc mk t-n
18a,0.53072,696169.0,696169.0,n-ci t-ci mi_idx-ci it2-mi_idx mi-ci it1-mi,HJ-ci-n INL-t-ci n INL-mi_idx-ci n t HJ-ci mi_idx n t-it2 INL-mi-ci it2 mi_idx n t HJ-ci it2 mi mi_idx n t-it1
18b,0.53782,10916.0,10916.0,it2-mi_idx mi-mi_idx it1-mi ci-mi_idx n-ci t-mi_idx,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-ci-it1 it2 mi mi_idx INL-n-ci it1 it2 mi mi_idx INL-t-ci it1 it2 mi mi_idx n
18c,0.53952,1071377.6,1071377.6,it1-mi ci-mi n-ci t-mi mi_idx-mi it2-mi_idx,HJ-mi-it1 INL-ci-it1 mi INL-n-ci it1 mi INL-t-ci it1 mi n INL-mi_idx-ci it1 mi n t HJ-ci it1 mi mi_idx n t-it2
32a,0.52681,732450.6,732450.6,lt-ml t1-ml t2-ml mk-t1 k-mk,HJ-ml-lt INL-t1-lt ml INL-t2-lt ml t1 INL-mk-lt ml t1 t2 HJ-lt mk ml t1 t2-k
32b,0.53211,736779.2,736779.2,lt-ml t1-ml t2-ml mk-t1 k-mk,HJ-ml-lt INL-t1-lt ml INL-t2-lt ml t1 INL-mk-lt ml t1 t2 HJ-lt mk ml t1 t2-k
7a,0.53956,1289685.8,1289685.8,lt-ml t-ml ci-ml n-ci an-ci pi-ci it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t INL-n-ci lt ml t INL-an-ci lt ml n t HJ-pi-an ci lt ml n t HJ-an ci lt ml n pi t-it
7b,0.54733,176595.0,176595.0,lt-ml t-ml ci-ml n-ci an-ci pi-ci it-pi,HJ-ml-lt INL-t-lt ml INL-ci-lt ml t HJ-n-ci lt ml t INL-an-ci lt ml n t INL-pi-an ci lt ml n t HJ-an ci lt ml n pi t-it
7c,0.52181,4617437.600000001,4617437.600000001,it-pi n-pi an-pi ci-pi ml-ci lt-ml t-ci,HJ-pi-it INL-n-it pi INL-an-it n pi INL-ci-an it n pi HJ-an ci it n pi-ml HJ-an ci it ml n pi-lt INL-t-an ci it lt ml n pi
11a,0.53827,41993.2,41993.2,lt-ml t-ml mc-ml ct-mc cn-mc mk-ml k-mk,HJ-ml-lt INL-t-lt ml INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
11b,0.53404,6303.2,6303.2,ml-t lt-ml mc-ml ct-mc cn-mc mk-ml k-mk,HJ-ml-t HJ-ml t-lt INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
11c,0.53862,1039073.0000000001,1039073.0000000001,mk-k ml-mk lt-ml t-mk mc-mk cn-mc ct-mc,HJ-mk-k HJ-k mk-ml HJ-k mk ml-lt INL-t-k lt mk ml INL-mc-k lt mk ml t HJ-k lt mc mk ml t-cn HJ-cn k lt mc mk ml t-ct
11d,0.54334,678666.7999999999,678666.7999999999,lt-ml t-ml mc-ml ct-mc cn-mc mk-ml k-mk,HJ-ml-lt INL-t-lt ml INL-mc-lt ml t HJ-lt mc ml t-ct INL-cn-ct lt mc ml t INL-mk-cn ct lt mc ml t HJ-cn ct lt mc mk ml t-k
12a,0.53831,13103.2,13103.2,mi_idx-it2 mi-mi_idx it1-mi t-mi_idx mc-mi_idx ct-mc cn-mc,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx INL-mc-it1 it2 mi mi_idx t HJ-it1 it2 mc mi mi_idx t-ct INL-cn-ct it1 it2 mc mi mi_idx t
12b,0.5367,278636.80000000005,278636.80000000005,mi_idx-it2 t-mi_idx mc-mi_idx ct-mc cn-mc mi-mi_idx it1-mi,HJ-mi_idx-it2 INL-t-it2 mi_idx INL-mc-it2 mi_idx t HJ-it2 mc mi_idx t-ct INL-cn-ct it2 mc mi_idx t INL-mi-cn ct it2 mc mi_idx t HJ-cn ct it2 mc mi mi_idx t-it1
12c,0.5459,85935.8,85935.8,mi_idx-it2 mi-mi_idx it1-mi t-mi_idx mc-mi_idx ct-mc cn-mc,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx INL-mc-it1 it2 mi mi_idx t HJ-it1 it2 mc mi mi_idx t-ct INL-cn-ct it1 it2 mc mi mi_idx t
13a,0.53644,2187548.6,2187548.6,cn-mc ct-mc t-mc kt-t mi_idx-mc it1-mi_idx mi-mc it2-mi,HJ-mc-cn HJ-cn mc-ct INL-t-cn ct mc HJ-cn ct mc t-kt INL-mi_idx-cn ct kt mc t HJ-cn ct kt mc mi_idx t-it1 INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13b,0.51541,7316.4,7316.4,kt-t mi_idx-t it1-mi_idx mc-t ct-mc cn-mc mi-t it2-mi,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it1 INL-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct INL-cn-ct it1 kt mc mi_idx t INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13c,0.53994,1134.6000000000001,1134.6000000000001,kt-t mi_idx-t it1-mi_idx mc-t ct-mc cn-mc mi-t it2-mi,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it1 INL-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct INL-cn-ct it1 kt mc mi_idx t INL-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
13d,0.54182,11903582.2,11903582.2,it1-mi_idx t-mi_idx kt-t mc-mi_idx ct-mc cn-mc mi-mi_idx it2-mi,HJ-mi_idx-it1 INL-t-it1 mi_idx HJ-it1 mi_idx t-kt HJ-mc-it1 kt mi_idx t HJ-it1 kt mc mi_idx t-ct HJ-ct it1 kt mc mi_idx t-cn HJ-mi-cn ct it1 kt mc mi_idx t HJ-cn ct it1 kt mc mi mi_idx t-it2
14a,0.53316,11120.400000000001,11120.400000000001,it2-mi_idx mi-mi_idx it1-mi t-mi_idx kt-t mk-mi_idx k-mk,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx HJ-it1 it2 mi mi_idx t-kt INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
14b,0.52828,1594.2,1594.2,kt-t mi_idx-t it2-mi_idx mi-t it1-mi mk-t k-mk,HJ-t-kt INL-mi_idx-kt t HJ-kt mi_idx t-it2 INL-mi-it2 kt mi_idx t HJ-it2 kt mi mi_idx t-it1 INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
14c,0.53419,22714.6,22714.6,it2-mi_idx mi-mi_idx it1-mi t-mi_idx kt-t mk-mi_idx k-mk,HJ-mi_idx-it2 INL-mi-it2 mi_idx HJ-it2 mi mi_idx-it1 INL-t-it1 it2 mi mi_idx HJ-it1 it2 mi mi_idx t-kt INL-mk-it1 it2 kt mi mi_idx t HJ-it1 it2 kt mi mi_idx mk t-k
15a,0.53484,11736.2,11736.2,it-mi mc-mi ct-mc cn-mc t-mi att-mi mk-mi k-mk,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-cn-ct it mc mi INL-t-cn ct it mc mi INL-att-cn ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15b,0.53699,6270.4,6270.4,it-mi mc-mi cn-mc ct-mc t-mi att-mi mk-mi k-mk,HJ-mi-it INL-mc-it mi HJ-it mc mi-cn HJ-cn it mc mi-ct INL-t-cn ct it mc mi INL-att-cn ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15c,0.53075,17035.6,17035.6,it-mi att-mi t-mi mc-mi ct-mc cn-mc mk-mi k-mk,HJ-mi-it INL-att-it mi INL-t-att it mi INL-mc-att it mi t HJ-att it mc mi t-ct INL-cn-att ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
15d,0.53784,91391.8,91391.8,it-mi att-mi t-mi mc-mi ct-mc cn-mc mk-mi k-mk,HJ-mi-it INL-att-it mi INL-t-att it mi INL-mc-att it mi t HJ-att it mc mi t-ct INL-cn-att ct it mc mi t INL-mk-att cn ct it mc mi t INL-k-att cn ct it mc mi mk t
16a,0.53744,681349.0,681349.0,t-mc cn-mc mk-t k-mk ci-t n-ci an-ci,HJ-mc-t INL-cn-mc t INL-mk-cn mc t HJ-cn mc mk t-k INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
16b,0.53883,19376036.4,19376036.4,mk-k t-mk mc-mk cn-mc ci-mk an-ci n-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn INL-ci-cn k mc mk t HJ-ci cn k mc mk t-an INL-n-an ci cn k mc mk t
16c,0.54959,2602231.2,2602231.2,mk-k t-mk mc-mk cn-mc ci-mk n-ci an-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
16d,0.51805,2240953.2,2240953.2,mk-k t-mk mc-mk cn-mc ci-mk n-ci an-ci,HJ-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t INL-ci-cn k mc mk t INL-n-ci cn k mc mk t INL-an-ci cn k mc mk n t
19a,0.53879,187295.40000000002,187295.40000000002,n-ci rt-ci mc-ci chn-ci cn-mc t-ci an-n mi-ci it-mi,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-chn-ci mc n rt INL-cn-chn ci mc n rt INL-t-chn ci cn mc n rt INL-an-chn ci cn mc n rt t INL-mi-an chn ci cn mc n rt t HJ-an chn ci cn mc mi n rt t-it
19b,0.54209,14288.400000000001,14288.400000000001,t-mi it-mi mc-t cn-mc ci-t rt-ci chn-ci n-ci an-ci,HJ-mi-t HJ-mi t-it INL-mc-it mi t INL-cn-it mc mi t INL-ci-cn it mc mi t HJ-ci cn it mc mi t-rt INL-chn-ci cn it mc mi rt t INL-n-chn ci cn it mc mi rt t INL-an-chn ci cn it mc mi n rt t
19c,0.56214,337764.00000000006,337764.00000000006,n-ci rt-ci chn-ci t-ci mi-ci it-mi an-n mc-ci cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-mi-chn ci n rt t HJ-chn ci mi n rt t-it INL-an-chn ci it mi n rt t INL-mc-an chn ci it mi n rt t INL-cn-an chn ci it mc mi n rt t
