query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
1a,0.52561,215927.2,215927.2,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,0.52285,276174.4,276174.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,0.51605,71749.59999999999,71749.59999999999,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,0.52095,276199.4,276199.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,0.5294,4147110.0,4147110.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2b,0.51065,3859343.0,3859343.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2c,0.51908,526354.6,526354.6,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2d,0.51439,1497538.8000000003,1497538.8000000003,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
3a,0.5172,769885.4,769885.4,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3b,0.4978,83184.40000000001,83184.40000000001,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3c,0.51308,968001.0,968001.0,k-mk mi-mk t-mk,HJ-mk-k INL-mi-k mk INL-t-k mi mk
4a,0.51004,43624.4,43624.4,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,0.52476,1036.2,1036.2,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4c,0.49462,9295.6,9295.6,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
5a,0.50719,600732.2,600732.2,it-mi mc-mi ct-mc t-mi,HJ-mi-it INL-mc-it mi HJ-it mc mi-ct INL-t-ct it mc mi
5b,0.51253,94350.80000000002,94350.80000000002,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
5c,0.51776,63729.4,63729.4,ct-mc mi-mc it-mi t-mc,HJ-mc-ct INL-mi-ct mc HJ-ct mc mi-it INL-t-ct it mc mi
6a,0.49643,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6b,0.51534,907191.6000000001,907191.6000000001,t-mk k-mk ci-t n-ci,HJ-mk-t HJ-mk t-k INL-ci-k mk t HJ-ci k mk t-n
6c,0.51535,904899.6000000001,904899.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6d,0.52229,2582484.0,2582484.0,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6e,0.49713,907285.6000000001,907285.6000000001,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t HJ-ci k mk t-n
6f,0.50749,4153347.6,4153347.6,k-mk t-mk ci-mk n-ci,HJ-mk-k INL-t-k mk INL-ci-k mk t INL-n-ci k mk t
8a,0.50926,46111.399999999994,46111.399999999994,n-ci rt-ci mc-ci cn-mc t-ci an-n,HJ-ci-n HJ-ci n-rt INL-mc-ci n rt INL-cn-ci mc n rt INL-t-ci cn mc n rt INL-an-ci cn mc n rt t
8b,0.5176,2030.4,2030.4,t-mc cn-mc ci-t rt-ci n-ci an-ci,HJ-mc-t INL-cn-mc t INL-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
8c,0.51378,55292031.0,55292031.0,mc-cn t-mc ci-mc rt-ci an-ci n-ci,HJ-mc-cn INL-t-cn mc HJ-ci-cn mc t HJ-ci cn mc t-rt HJ-ci cn mc rt t-an INL-n-an ci cn mc rt t
8d,0.49773,46279552.4,46279552.4,mc-cn t-mc ci-mc rt-ci n-ci an-ci,HJ-mc-cn INL-t-cn mc HJ-ci-cn mc t HJ-ci cn mc t-rt INL-n-ci cn mc rt t INL-an-ci cn mc n rt t
9a,0.50472,187045.2,187045.2,n-ci rt-ci chn-ci t-ci mc-ci an-n cn-mc,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-mc-chn ci n rt t INL-an-chn ci mc n rt t INL-cn-an chn ci mc n rt t
9b,0.51675,152291.6,152291.6,n-ci rt-ci chn-ci t-ci mc-ci cn-mc an-n,HJ-ci-n HJ-ci n-rt INL-chn-ci n rt INL-t-chn ci n rt INL-mc-chn ci n rt t INL-cn-chn ci mc n rt t INL-an-chn ci cn mc n rt t
