query_name,est_cost,true_cost,plan,physical_plan
1a,215927.2,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,277185.4,277185.4,it-mi_idx mc-mi_idx ct-mc mc-t,HJ-mi_idx-it INL-mc-it mi_idx HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1a,3542633.8000000003,3542633.8000000003,mi_idx-t it-mi_idx mc-mi_idx ct-mc,HJ-t-mi_idx HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1a,722053.5999999999,722053.5999999999,mc-t ct-mc mc-mi_idx it-mi_idx,HJ-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,373907.2,373907.2,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,276174.4,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,684366.0,684366.0,ct-mc it-mi_idx mc-mi_idx mc-t,HJ-mc-ct HJ-mi_idx-it HJ-ct mc-it mi_idx INL-t-ct it mc mi_idx
1b,1492750.2,1492750.2,mi_idx-t it-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,4325848.0,4325848.0,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,1715920.7999999998,1715920.7999999998,mc-t ct-mc mc-mi_idx it-mi_idx,HJ-mc-t HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,71749.59999999999,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,122219.8,122219.8,mc-t ct-mc mc-mi_idx it-mi_idx,HJ-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,877573.5999999999,877573.5999999999,mi_idx-t it-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,334472.60000000003,334472.60000000003,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
