query_name,est_cost,true_cost,plan,physical_plan
1a,41337.0,215927.2,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,67178.99999999999,722053.5999999999,mc-t ct-mc mc-mi_idx it-mi_idx,INL-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,3060462.0,3576818.6,mi_idx-t ct-mc it-mi_idx mc-mi_idx,INL-t-mi_idx HJ-mc-ct HJ-mi_idx t-it HJ-it mi_idx t-ct mc
1a,347170.00000000006,373907.2,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1a,300612.0,311370.2,it-mi_idx ct-mc mc-mi_idx mc-t,HJ-mi_idx-it HJ-mc-ct HJ-it mi_idx-ct mc INL-t-ct it mc mi_idx
1b,334383.4,276174.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,927855.8,684366.0,ct-mc it-mi_idx mc-mi_idx mc-t,HJ-mc-ct HJ-mi_idx-it HJ-ct mc-it mi_idx INL-t-ct it mc mi_idx
1b,1549672.7999999998,1492750.2,mi_idx-t it-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,5799907.800000001,4325848.0,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,1901285.2,1799355.7999999998,mc-t ct-mc it-mi_idx mc-mi_idx,HJ-mc-t HJ-mc t-ct HJ-mi_idx-it HJ-ct mc t-it mi_idx
1c,9712.400000000001,71749.59999999999,ct-mc mc-t mc-mi_idx it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,20349.4,122219.8,mc-t ct-mc mc-mi_idx it-mi_idx,INL-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,973587.3999999999,877573.5999999999,mi_idx-t it-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-t HJ-mi_idx t-it HJ-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,310087.4,334472.60000000003,mc-mi_idx it-mi_idx ct-mc mc-t,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1c,294155.4,297952.60000000003,it-mi_idx ct-mc mc-mi_idx mc-t,HJ-mi_idx-it HJ-mc-ct HJ-it mi_idx-ct mc INL-t-ct it mc mi_idx
1d,354538.4,276199.4,it-mi_idx mi_idx-t mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1d,927855.8,684366.0,ct-mc it-mi_idx mc-mi_idx mc-t,HJ-mc-ct HJ-mi_idx-it HJ-ct mc-it mi_idx INL-t-ct it mc mi_idx
