query_name,covered_subplans,all_subplans
1a,ct mc mi_idx,19
1a,ct it mc mi_idx t,19
1a,it mi_idx,19
1a,mc t,19
1a,mi_idx t,19
1a,ct mc mi_idx t,19
1a,it mi_idx t,19
1a,it mc mi_idx,19
1a,ct mc,19
1a,ct it mc mi_idx,19
1a,mc mi_idx t,19
1a,mc mi_idx,19
1a,it mc mi_idx t,19
1a,ct mc t,19
1b,ct mc mi_idx,19
1b,ct it mc mi_idx t,19
1b,it mi_idx,19
1b,mc t,19
1b,mi_idx t,19
1b,it mi_idx t,19
1b,it mc mi_idx,19
1b,mc mi_idx t,19
1b,ct mc,19
1b,ct it mc mi_idx,19
1b,ct mc mi_idx t,19
1b,mc mi_idx,19
1b,it mc mi_idx t,19
1b,ct mc t,19
1c,ct mc mi_idx,19
1c,ct it mc mi_idx t,19
1c,it mi_idx,19
1c,mc t,19
1c,mi_idx t,19
1c,ct mc mi_idx t,19
1c,mc mi_idx t,19
1c,it mi_idx t,19
1c,ct mc,19
1c,it mc mi_idx,19
1c,ct it mc mi_idx,19
1c,mc mi_idx,19
1c,it mc mi_idx t,19
1c,ct mc t,19
1d,ct mc mi_idx,19
1d,ct it mc mi_idx t,19
1d,it mi_idx,19
1d,mc t,19
1d,mi_idx t,19
1d,it mi_idx t,19
1d,it mc mi_idx,19
1d,mc mi_idx t,19
1d,ct mc,19
1d,ct it mc mi_idx,19
1d,ct mc mi_idx t,19
1d,mc mi_idx,19
1d,it mc mi_idx t,19
1d,ct mc t,19
2a,k mk,19
2a,mc t,19
2a,k mc mk t,19
2a,mc mk t,19
2a,mk t,19
2a,k mk t,19
2a,mc mk,19
2a,k mc mk,19
2a,cn k mc mk,19
2a,cn mc mk t,19
2a,cn mc,19
2a,cn mc t,19
2a,cn k mc mk t,19
2a,cn mc mk,19
2b,k mk,19
2b,mc t,19
2b,k mc mk t,19
2b,mc mk t,19
2b,mk t,19
2b,k mk t,19
2b,mc mk,19
2b,k mc mk,19
2b,cn k mc mk,19
2b,cn mc mk t,19
2b,cn mc,19
2b,cn mc t,19
2b,cn k mc mk t,19
2b,cn mc mk,19
2c,k mk,19
2c,mc t,19
2c,k mc mk t,19
2c,mc mk t,19
2c,mk t,19
2c,k mk t,19
2c,mc mk,19
2c,k mc mk,19
2c,cn k mc mk,19
2c,cn mc mk t,19
2c,cn mc,19
2c,cn mc t,19
2c,cn k mc mk t,19
2c,cn mc mk,19
2d,k mk,19
2d,mc t,19
2d,k mc mk t,19
2d,mc mk t,19
2d,mk t,19
2d,k mk t,19
2d,mc mk,19
2d,k mc mk,19
2d,cn k mc mk,19
2d,cn mc,19
2d,cn k mc mk t,19
2d,cn mc t,19
2d,cn mc mk,19
3a,mi mk t,12
3a,k mk,12
3a,mi t,12
3a,mk t,12
3a,k mk t,12
3a,k mi mk t,12
3a,mi mk,12
3a,k mi mk,12
3b,mi mk t,12
3b,k mk,12
3b,mi t,12
3b,mk t,12
3b,k mk t,12
3b,k mi mk t,12
3b,mi mk,12
3b,k mi mk,12
3c,mi mk t,12
3c,k mk,12
3c,mi t,12
3c,mk t,12
3c,k mk t,12
3c,k mi mk t,12
3c,mi mk,12
3c,k mi mk,12
4a,it k mi_idx mk,19
4a,it mi_idx,19
4a,k mk,19
4a,mi_idx t,19
4a,it mi_idx t,19
4a,it k mi_idx mk t,19
4a,k mi_idx mk t,19
4a,it mi_idx mk,19
4a,mk t,19
4a,k mk t,19
4a,it mi_idx mk t,19
4a,mi_idx mk t,19
4a,k mi_idx mk,19
4a,mi_idx mk,19
4b,it k mi_idx mk,19
4b,it mi_idx,19
4b,k mk,19
4b,mi_idx t,19
4b,it mi_idx t,19
4b,it k mi_idx mk t,19
4b,k mi_idx mk t,19
4b,it mi_idx mk,19
4b,mk t,19
4b,k mk t,19
4b,it mi_idx mk t,19
4b,mi_idx mk t,19
4b,k mi_idx mk,19
4b,mi_idx mk,19
4c,it k mi_idx mk,19
4c,it mi_idx,19
4c,k mk,19
4c,mi_idx t,19
4c,it mi_idx t,19
4c,it k mi_idx mk t,19
4c,k mi_idx mk t,19
4c,it mi_idx mk,19
4c,mk t,19
4c,k mk t,19
4c,it mi_idx mk t,19
4c,mi_idx mk t,19
4c,k mi_idx mk,19
4c,mi_idx mk,19
5a,mc t,19
5a,mc mi,19
5a,it mi,19
