query_name,est_cost,true_cost,plan,physical_plan
1a,215927.2,215927.2,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,722053.5999999999,722053.5999999999,t-mc ct-mc mi_idx-t it-mi_idx,HJ-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,3542633.8000000003,3542633.8000000003,t-mi_idx it-mi_idx mc-t ct-mc,HJ-t-mi_idx HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1a,373907.2,373907.2,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1a,277185.4,277185.4,it-mi_idx mc-mi_idx ct-mc t-mi_idx,HJ-mi_idx-it INL-mc-it mi_idx HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,882727.0,882727.0,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,1715920.7999999998,1715920.7999999998,t-mc ct-mc mi_idx-t it-mi_idx,HJ-mc-t HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,1492750.2,1492750.2,t-mi_idx it-mi_idx mc-t ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,4325848.0,4325848.0,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,276174.4,276174.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,71749.59999999999,71749.59999999999,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,122219.8,122219.8,t-mc ct-mc mi_idx-t it-mi_idx,HJ-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,877573.5999999999,877573.5999999999,t-mi_idx it-mi_idx mc-t ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,334472.60000000003,334472.60000000003,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1c,276828.4,276828.4,it-mi_idx mc-mi_idx ct-mc t-mi_idx,HJ-mi_idx-it INL-mc-it mi_idx HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1d,1022566.0,1022566.0,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,2922106.6000000006,2922106.6000000006,t-mc ct-mc mi_idx-t it-mi_idx,HJ-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,2596517.0000000005,2596517.0000000005,t-mi_idx it-mi_idx mc-t ct-mc,HJ-t-mi_idx HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1d,4325848.0,4325848.0,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1d,276199.4,276199.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,4147110.0,4147110.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2a,9069104.0,9069104.0,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn HJ-mk-cn mc t HJ-cn mc mk t-k
2a,8821199.6,8821199.6,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t HJ-k mc mk t-cn
2a,1346975.2000000002,1346975.2000000002,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2a,39083164.0,39083164.0,mc-mk k-mk cn-mc t-mc,HJ-mk-mc HJ-mc mk-k HJ-k mc mk-cn INL-t-cn k mc mk
2b,3859343.0,3859343.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2b,8964781.0,8964781.0,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn HJ-mk-cn mc t HJ-cn mc mk t-k
2b,8809671.6,8809671.6,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t HJ-k mc mk t-cn
2b,1335447.2000000002,1335447.2000000002,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2b,39066424.0,39066424.0,mc-mk k-mk cn-mc t-mc,HJ-mk-mc HJ-mc mk-k HJ-k mc mk-cn INL-t-cn k mc mk
2c,526354.6,526354.6,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2c,5743836.6,5743836.6,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn INL-mk-cn mc t HJ-cn mc mk t-k
2c,8801823.2,8801823.2,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t HJ-k mc mk t-cn
2c,1327598.8000000003,1327598.8000000003,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2c,38901163.6,38901163.6,mc-mk cn-mc k-mk t-mc,HJ-mk-mc HJ-mc mk-cn HJ-cn mc mk-k INL-t-cn k mc mk
2d,18389563.599999998,18389563.599999998,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2d,21300225.599999998,21300225.599999998,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn HJ-mk-cn mc t HJ-cn mc mk t-k
2d,8971763.2,8971763.2,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t HJ-k mc mk t-cn
2d,1497538.8000000003,1497538.8000000003,mk-k t-mk mc-mk cn-mc,HJ-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2d,39354691.6,39354691.6,mc-mk k-mk cn-mc t-mc,HJ-mk-mc HJ-mc mk-k HJ-k mc mk-cn INL-t-cn k mc mk
3a,769885.4,769885.4,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3a,3380122.0,3380122.0,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
3a,1706795.4,1706795.4,mk-mi k-mk t-mk,HJ-mk-mi HJ-mi mk-k INL-t-k mi mk
3a,947207.0,947207.0,k-mk mi-mk t-mk,HJ-mk-k INL-mi-k mk INL-t-k mi mk
3b,83184.40000000001,83184.40000000001,t-mi mk-t k-mk,HJ-t-mi INL-mk-mi t HJ-mi mk t-k
3b,1675570.2000000002,1675570.2000000002,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
