query_name,est_cost,true_cost,plan,physical_plan
1a,41337.0,215927.2,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,67178.99999999999,722053.5999999999,t-mc ct-mc mi_idx-t it-mi_idx,INL-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1a,3064501.0000000005,3542633.8000000003,t-mi_idx it-mi_idx mc-t ct-mc,INL-t-mi_idx HJ-mi_idx t-it HJ-mc-it mi_idx t HJ-it mc mi_idx t-ct
1a,347170.00000000006,373907.2,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1a,304651.0,277185.4,it-mi_idx mc-mi_idx ct-mc t-mi_idx,HJ-mi_idx-it HJ-mc-it mi_idx HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,1721941.2,882727.0,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct HJ-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,2146644.2,1715920.7999999998,t-mc ct-mc mi_idx-t it-mi_idx,HJ-mc-t HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1b,1549672.7999999998,1492750.2,t-mi_idx it-mi_idx mc-t ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1b,5799907.800000001,4325848.0,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1b,334383.4,276174.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,9712.400000000001,71749.59999999999,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,20349.4,122219.8,t-mc ct-mc mi_idx-t it-mi_idx,INL-t-mc HJ-mc t-ct INL-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1c,973587.3999999999,877573.5999999999,t-mi_idx it-mi_idx mc-t ct-mc,HJ-mi_idx-t HJ-mi_idx t-it HJ-mc-it mi_idx t HJ-it mc mi_idx t-ct
1c,310087.4,334472.60000000003,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1c,298492.4,276828.4,it-mi_idx mc-mi_idx ct-mc t-mi_idx,HJ-mi_idx-it HJ-it mi_idx-mc HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1d,2259353.8000000003,1022566.0,ct-mc t-mc mi_idx-mc it-mi_idx,HJ-mc-ct INL-t-ct mc HJ-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,3780618.6000000006,2922106.6000000006,t-mc ct-mc mi_idx-t it-mi_idx,HJ-t-mc HJ-mc t-ct HJ-mi_idx-ct mc t HJ-ct mc mi_idx t-it
1d,2730749.2,2596517.0000000005,t-mi_idx it-mi_idx mc-t ct-mc,HJ-mi_idx-t HJ-mi_idx t-it INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
1d,5799907.800000001,4325848.0,mc-mi_idx it-mi_idx ct-mc t-mc,HJ-mi_idx-mc HJ-mc mi_idx-it HJ-it mc mi_idx-ct INL-t-ct it mc mi_idx
1d,354538.4,276199.4,it-mi_idx t-mi_idx mc-mi_idx ct-mc,HJ-mi_idx-it INL-t-it mi_idx INL-mc-it mi_idx t HJ-it mc mi_idx t-ct
2a,2880483.2,4147110.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2a,7868271.800000001,9069104.0,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn HJ-mk-cn mc t HJ-cn mc mk t-k
2a,8463469.6,8821199.6,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t INL-cn-k mc mk t
2a,880.2,1346975.2000000002,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2a,28719069.0,39364600.0,mc-mk k-mk t-mc cn-mc,HJ-mk-mc HJ-mc mk-k INL-t-k mc mk INL-cn-k mc mk t
2b,1154058.0,3859343.0,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2b,6298750.600000001,8964781.0,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn INL-mk-cn mc t HJ-cn mc mk t-k
2b,8463469.6,8809671.6,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t INL-cn-k mc mk t
2b,880.2,1335447.2000000002,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2b,28719069.0,39353072.0,mc-mk k-mk t-mc cn-mc,HJ-mk-mc HJ-mc mk-k INL-t-k mc mk INL-cn-k mc mk t
2c,560223.3999999999,526354.6,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc INL-mk-cn mc t HJ-cn mc mk t-k
2c,5758832.000000001,5743836.6,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn INL-mk-cn mc t HJ-cn mc mk t-k
2c,8463287.0,8801823.2,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t HJ-k mc mk t-cn
2c,697.6,1327598.8000000003,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t HJ-k mc mk t-cn
2c,28718516.4,39048127.6,mc-mk k-mk cn-mc t-mc,HJ-mk-mc HJ-mc mk-k HJ-k mc mk-cn INL-t-cn k mc mk
2d,14238204.0,18389563.599999998,cn-mc t-mc mk-mc k-mk,HJ-mc-cn INL-t-cn mc HJ-mk-cn mc t HJ-cn mc mk t-k
2d,17551820.599999998,21300225.599999998,mc-t cn-mc mk-mc k-mk,INL-mc-t HJ-mc t-cn HJ-mk-cn mc t HJ-cn mc mk t-k
2d,8463469.6,8971763.2,t-mk k-mk mc-t cn-mc,HJ-mk-t HJ-mk t-k INL-mc-k mk t INL-cn-k mc mk t
2d,880.2,1497538.8000000003,mk-k t-mk mc-mk cn-mc,INL-mk-k INL-t-k mk INL-mc-k mk t INL-cn-k mc mk t
2d,28719069.0,39515163.6,mc-mk k-mk t-mc cn-mc,HJ-mk-mc HJ-mc mk-k INL-t-k mc mk INL-cn-k mc mk t
3a,1509032.2000000002,769885.4,t-mi mk-t k-mk,INL-t-mi INL-mk-mi t HJ-mi mk t-k
3a,3934587.4,3380122.0,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
3a,2600611.2,1706795.4,mk-mi k-mk t-mk,HJ-mk-mi HJ-mi mk-k INL-t-k mi mk
3a,906415.6000000001,947207.0,k-mk mi-mk t-mk,HJ-mk-k INL-mi-k mk INL-t-k mi mk
3b,2403.4,83184.40000000001,t-mi mk-t k-mk,INL-t-mi INL-mk-mi t HJ-mi mk t-k
3b,2089985.6,1675570.2000000002,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
3b,9925.4,915200.2000000001,mk-mi k-mk t-mk,INL-mk-mi HJ-mi mk-k INL-t-k mi mk
3b,905703.4000000001,920579.2,k-mk mi-mk t-mk,HJ-mk-k HJ-k mk-mi INL-t-k mi mk
3c,9103015.0,5327824.8,t-mi mk-t k-mk,INL-t-mi HJ-mk-mi t HJ-mi mk t-k
3c,6128302.199999999,5769952.4,t-mk k-mk mi-t,HJ-mk-t HJ-mk t-k INL-mi-k mk t
3c,10687283.0,5850209.4,mk-mi k-mk t-mk,HJ-mk-mi HJ-mi mk-k INL-t-k mi mk
3c,907311.6000000001,959423.0,k-mk t-mk mi-mk,HJ-mk-k INL-t-k mk INL-mi-k mk t
4a,14742.000000000002,235730.40000000002,t-mi_idx it-mi_idx mk-t k-mk,INL-t-mi_idx HJ-mi_idx t-it INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4a,3934589.6,3379403.4000000004,t-mk k-mk mi_idx-t it-mi_idx,HJ-mk-t HJ-mk t-k INL-mi_idx-k mk t HJ-k mi_idx mk t-it
4a,124104.99999999999,960903.4,mk-mi_idx k-mk it-mi_idx t-mk,INL-mk-mi_idx HJ-mi_idx mk-k HJ-k mi_idx mk-it INL-t-it k mi_idx mk
4a,906469.8,947426.3999999999,k-mk t-mk mi_idx-mk it-mi_idx,HJ-mk-k INL-t-k mk INL-mi_idx-k mk t HJ-k mi_idx mk t-it
4a,1918.0,43624.4,it-mi_idx t-mi_idx mk-mi_idx k-mk,HJ-mi_idx-it INL-t-it mi_idx INL-mk-it mi_idx t HJ-it mi_idx mk t-k
4b,131.60000000000002,79245.4,t-mi_idx it-mi_idx mk-t k-mk,INL-t-mi_idx HJ-mi_idx t-it INL-mk-it mi_idx t INL-k-it mi_idx mk t
4b,2089919.0,1674865.2000000002,t-mk k-mk mi_idx-t it-mi_idx,HJ-mk-t HJ-mk t-k HJ-k mk t-mi_idx INL-k mi_idx mk t-it
4b,1116.2,910984.2,mk-mi_idx it-mi_idx k-mk t-mk,INL-mk-mi_idx HJ-mi_idx mk-it HJ-k-it mi_idx mk INL-t-it k mi_idx mk
