query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.344,732.272,737.434
1b,3.328,905.464,910.719
1c,3.358,1096.114,1101.087
1d,3.333,912.213,917.44
2a,3.388,2201.491,2208.491
2b,3.376,2198.145,2203.408
2c,3.383,2162.218,2167.217
2d,3.365,2222.552,2227.706
3a,2.452,1922.955,1927.277
3b,2.393,1259.403,1263.62
3c,2.78,2304.761,2309.311
4a,3.328,884.255,889.327
4b,3.329,781.361,786.52
4c,3.31,990.906,996.356
5a,3.3,1256.862,1262.09
5b,3.665,1850.612,1858.28
5c,3.514,1995.155,2000.716
6a,3.334,8790.016,8795.104
6b,3.237,9392.323,9397.368
6c,3.504,9884.507,9889.898
6d,3.541,8907.678,8913.127
6e,3.366,8873.993,8879.163
6f,3.575,9014.344,9019.675
8a,13.717,2491.207,2506.949
8b,14.453,6585.958,6602.563
8c,11.309,5125.067,5138.288
8d,13.103,3778.981,3794.032
9a,15.967,2776.061,2794.215
9b,16.066,2911.069,2929.318
9c,15.355,3234.063,3251.621
9d,15.006,4472.875,4489.834
10a,12.194,2707.015,2721.463
10b,12.525,5638.503,5653.049
10c,12.101,5591.435,5609.12
17a,13.408,10199.594,10215.087
17b,15.591,9396.512,9421.284
17c,15.078,9389.219,9406.374
17d,15.174,9425.74,9442.967
17e,13.957,10664.991,10680.843
17f,13.379,19823.605,19838.964
18a,14.159,3736.609,3752.692
18b,15.368,8619.162,8636.579
18c,14.758,9223.713,9240.378
32a,6.24,1169.224,1176.992
32b,6.134,1339.84,1347.859
7a,18.169,8866.067,8886.819
7b,17.51,9130.582,9150.124
7c,18.094,4856.425,4877.098
11a,17.451,1285.798,1305.568
11b,15.416,885.634,903.444
11c,16.321,1245.24,1263.793
11d,16.972,2459.853,2478.812
12a,16.952,2048.65,2067.992
12b,17.463,2227.994,2247.664
12c,16.76,2830.693,2849.682
13a,17.91,2558.992,2578.762
13b,18.035,2080.238,2100.552
13c,18.054,2048.407,2069.602
13d,14.868,1977.36,1994.258
14a,16.773,2425.574,2444.215
14b,16.346,2278.395,2302.155
14c,16.25,2679.792,2697.98
15a,22.482,3918.777,3943.421
15b,22.033,2825.878,2850.111
15c,21.689,2424.253,2448.581
15d,21.312,2398.268,2421.694
16a,18.12,19290.288,19312.54
16b,19.722,22169.74,22193.14
16c,19.908,20361.43,20389.254
16d,20.068,18861.972,18885.759
19a,29.567,4274.701,4307.19
19b,22.759,7245.808,7270.969
19c,22.522,11560.125,11584.773
19d,20.752,5557.397,5580.319
20a,20.267,10419.806,10442.417
20b,20.057,9774.331,9796.649
20c,20.609,12689.026,12711.963
21a,23.246,2812.734,2838.258
21b,23.503,2430.377,2456.015
21c,23.702,2884.288,2910.236
22a,26.169,2777.914,2806.506
22b,26.682,2782.409,2813.251
22c,25.541,4619.823,4647.593
22d,25.258,3140.242,3167.438
23a,25.427,2399.482,2433.702
23b,25.352,1921.277,1948.982
23c,25.599,2441.069,2476.148
24a,29.401,5901.161,5932.872
24b,28.52,7656.658,7687.699
25a,21.724,14094.944,14118.689
25b,19.749,9364.531,9386.423
25c,22.857,10394.648,10419.887
26a,27.672,10743.474,10776.399
26b,31.039,8644.026,8681.04
26c,27.717,11041.373,11071.454
33a,36.251,2383.584,2422.379
33b,37.24,3442.938,3486.609
33c,40.147,2772.316,2815.534
27a,32.531,4198.797,4233.557
27b,32.385,3262.136,3296.914
27c,32.9,4023.485,4059.833
28a,34.717,2797.513,2834.876
28b,35.429,2497.595,2535.818
28c,36.131,3841.454,3880.035
29a,51.199,10741.947,10795.747
29b,51.461,8724.537,8779.169
29c,51.205,11888.351,11942.17
30a,33.162,10912.998,10948.405
30b,27.953,12292.461,12322.704
30c,33.375,10526.144,10561.98
31a,29.076,9598.141,9629.566
31b,26.902,7581.38,7610.482
31c,30.847,10714.066,10747.212
