query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.299,711.049,716.218
1b,3.346,887.858,893.19
1c,3.397,1058.471,1063.748
1d,3.324,908.569,913.615
2a,3.808,3378.879,3386.463
2b,3.791,3414.071,3419.693
2c,3.544,3342.831,3348.018
2d,3.788,3453.72,3459.312
3a,2.664,3158.656,3164.792
3b,2.821,1532.278,1536.886
3c,2.696,2287.951,2292.421
4a,3.225,873.198,878.372
4b,3.377,841.554,846.851
4c,3.338,987.441,992.742
5a,4.058,1460.399,1466.438
5b,3.521,1870.296,1875.937
5c,3.53,2002.881,2008.317
6a,3.374,8794.177,8799.371
6b,3.451,9680.389,9685.731
6c,4.882,9518.085,9525.56
6d,5.131,8467.806,8475.377
6e,4.998,8804.477,8811.863
6f,5.245,8685.136,8692.723
8a,19.098,9833.191,9855.638
8b,24.293,6642.163,6662.01
8c,15.221,5762.703,5778.018
8d,13.003,4004.804,4019.775
9a,24.174,3566.649,3596.702
9b,25.631,3384.24,3416.784
9c,21.767,4022.56,4043.918
9d,21.592,5209.517,5233.797
10a,12.181,2819.66,2833.914
10b,12.44,5502.118,5516.607
10c,12.669,5793.201,5814.515
17a,17.065,11441.759,11461.163
17b,16.438,9794.394,9812.952
17c,16.586,9843.581,9861.973
17d,16.524,9855.685,9874.235
17e,17.252,11100.839,11124.796
17f,17.32,21950.018,21974.352
18a,14.921,11569.814,11592.881
18b,15.213,8572.321,8589.67
18c,14.79,9317.788,9334.597
32a,6.599,1583.092,1594.111
32b,6.833,1825.596,1837.451
7a,19.863,10653.273,10675.792
7b,24.651,9576.037,9609.452
7c,21.432,4795.33,4818.778
11a,19.365,1628.74,1650.313
11b,20.195,968.08,990.494
11c,18.468,2005.731,2026.525
11d,18.728,1692.715,1713.71
12a,18.955,2046.011,2067.192
12b,16.711,2048.961,2068.159
12c,18.625,2454.142,2474.94
13a,17.92,2654.367,2674.335
13b,18.168,2071.023,2091.283
13c,18.048,2045.65,2066.722
13d,18.378,2891.273,2911.463
14a,17.319,2481.899,2501.17
14b,17.475,2366.675,2386.016
14c,17.374,3447.514,3466.84
15a,22.462,2769.333,2794.235
15b,22.794,2855.783,2880.73
15c,21.855,3340.899,3365.161
15d,21.365,2356.454,2379.824
16a,22.268,18968.67,18992.738
16b,21.809,23972.889,24000.362
16c,21.897,21251.113,21274.713
16d,25.106,20022.746,20057.985
19a,23.182,7453.032,7478.176
19b,23.362,7197.89,7223.562
19c,24.175,21965.711,21992.36
19d,22.634,5514.076,5538.954
20a,20.598,10418.079,10440.792
20b,21.236,10056.242,10079.78
20c,21.757,12478.662,12502.593
21a,25.476,4059.491,4087.24
21b,25.565,3221.875,3249.862
21c,25.357,4033.73,4061.389
22a,26.635,2833.948,2862.814
22b,26.942,2836.623,2868.598
22c,26.759,4526.257,4555.223
22d,26.383,2756.773,2785.263
23a,26.413,2333.056,2361.79
23b,26.774,2374.457,2403.377
23c,26.327,2394.091,2422.668
24a,31.253,16129.935,16163.438
24b,29.885,7736.119,7768.382
25a,21.746,14635.794,14659.758
25b,22.933,11969.625,11995.46
25c,21.642,14349.291,14373.098
26a,28.232,10852.614,10883.536
26b,28.324,12363.415,12393.91
26c,29.247,9470.938,9502.715
33a,37.991,2417.892,2458.28
33b,39.871,4088.304,4136.385
33c,42.672,2500.755,2539.043
27a,35.887,4901.373,4939.674
27b,36.43,3826.794,3865.242
27c,35.938,4871.967,4910.42
28a,36.836,2872.352,2911.867
28b,36.922,2568.237,2607.661
28c,36.855,3790.763,3829.951
29a,51.896,9085.884,9140.177
29b,52.118,10139.258,10194.152
29c,52.363,11756.573,11811.872
30a,30.869,7085.806,7118.866
30b,29.157,8098.896,8130.493
30c,30.858,10038.183,10071.262
31a,29.47,9889.967,9921.662
31b,30.984,7797.89,7831.23
31c,29.1,16376.361,16407.383
