query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.456,729.5,734.893
1b,3.479,887.325,892.639
1c,3.444,1079.432,1084.469
1d,3.45,903.254,908.504
2a,3.419,2140.006,2145.193
2b,3.423,2138.898,2144.069
2c,3.501,2226.025,2231.26
2d,3.48,2325.855,2332.976
3a,2.6,1938.296,1942.608
3b,2.397,1286.932,1291.156
3c,2.707,2298.912,2303.386
4a,3.943,977.851,984.967
4b,3.444,830.773,837.998
4c,3.392,1057.983,1063.415
5a,3.493,1451.595,1457.015
5b,3.595,1854.875,1860.336
5c,3.517,1964.307,1971.026
6a,3.593,9195.295,9200.78
6b,3.415,10056.509,10061.741
6c,3.746,10211.798,10217.299
6d,3.645,9308.959,9314.573
6e,3.587,9326.183,9331.539
6f,3.651,8950.802,8956.363
8a,13.772,2442.82,2458.758
8b,14.713,7906.996,7923.814
8c,14.564,10717.764,10734.22
8d,14.671,8737.694,8761.949
9a,15.725,2758.514,2776.374
9b,16.095,2915.754,2933.895
9c,15.326,3222.753,3240.2
9d,16.156,4584.845,4603.16
10a,19.958,2610.091,2632.692
10b,12.785,5482.521,5497.304
10c,10.245,2088.683,2101.139
17a,15.483,10899.574,10916.873
17b,16.012,9818.118,9836.035
17c,16.883,9810.204,9829.591
17d,22.829,9758.207,9776.274
17e,15.542,10768.362,10785.747
17f,15.547,20902.353,20919.688
18a,14.925,3771.096,3789.852
18b,15.349,8626.002,8643.303
18c,15.204,9068.966,9086.138
32a,6.093,1179.374,1186.883
32b,6.132,1328.68,1336.722
7a,20.277,10823.647,10849.318
7b,20.284,9752.497,9774.904
7c,20.211,12638.41,12669.551
11a,18.245,1346.734,1367.1
11b,16.004,944.603,962.768
11c,18.122,1674.237,1694.607
11d,17.531,2582.08,2602.153
12a,17.472,2043.451,2064.8
12b,18.101,2232.172,2252.24
12c,17.315,2863.645,2883.04
13a,18.939,2571.173,2592.09
13b,18.871,2094.415,2115.512
13c,18.777,2038.326,2059.316
13d,19.004,2879.825,2900.73
14a,17.044,3362.911,3382.11
14b,17.066,2340.185,2359.548
14c,16.886,3395.224,3414.34
15a,22.505,2806.142,2830.892
15b,23.053,2831.602,2859.319
15c,22.059,3310.091,3334.094
15d,21.733,2367.515,2391.341
16a,18.43,19537.699,19558.192
16b,20.449,23002.671,23025.01
16c,20.27,20463.281,20485.175
16d,20.084,19352.489,19374.426
19a,23.005,4350.192,4375.401
19b,23.137,7214.064,7239.096
19c,22.671,11036.714,11061.696
19d,23.031,5479.158,5504.434
20a,21.88,10881.838,10906.206
20b,22.058,10654.925,10679.308
20c,21.84,12852.375,12876.345
21a,23.861,2917.933,2944.198
21b,24.057,2473.106,2499.168
21c,24.412,2891.934,2918.741
22a,26.91,2853.688,2882.983
22b,26.798,2849.859,2879.128
22c,26.643,4850.5,4879.733
22d,26.385,2766.335,2794.937
23a,26.368,2335.741,2364.226
23b,26.316,1949.53,1978.175
23c,26.15,2602.147,2630.409
24a,30.512,7602.105,7651.7
24b,29.927,7779.414,7811.838
25a,22.484,14204.986,14229.702
25b,20.584,11932.183,11955.04
25c,22.707,13940.806,13965.82
26a,28.473,10675.277,10705.954
26b,28.32,13165.248,13196.436
26c,30.128,14468.175,14500.457
33a,38.373,2859.478,2900.079
33b,37.862,1597.871,1638.245
33c,38.176,2457.827,2498.548
27a,33.752,4421.187,4457.272
27b,33.62,3258.999,3295.166
27c,33.797,3831.341,3868.761
28a,36.31,2862.73,2901.67
28b,36.489,2548.066,2587.089
28c,36.483,3827.623,3874.669
29a,48.376,10431.583,10482.536
29b,48.481,11754.165,11805.725
29c,52.176,11756.336,11810.24
30a,30.239,7023.921,7056.471
30b,29.448,8111.248,8142.945
30c,34.533,10400.308,10436.933
31a,30.526,15056.859,15089.757
31b,28.1,7651.207,7681.288
31c,30.965,11607.119,11639.99
