query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.444,729.65,734.969
1b,3.498,897.66,903.074
1c,3.504,1056.746,1062.197
1d,3.464,907.978,913.17
2a,4.356,2287.309,2292.505
2b,3.505,2274.804,2280.239
2c,3.606,2257.704,2262.809
2d,3.521,2248.014,2253.156
3a,2.501,1981.202,1985.746
3b,2.432,1301.596,1306.033
3c,2.769,2256.8,2261.499
4a,3.379,1013.336,1018.531
4b,3.392,826.052,833.081
4c,3.379,1059.799,1065.058
5a,3.33,1368.453,1375.737
5b,3.669,1877.084,1882.719
5c,3.707,2002.353,2008.008
6a,3.622,9221.027,9226.45
6b,3.516,9936.565,9942.16
6c,3.327,9812.449,9817.556
6d,3.672,9287.449,9293.032
6e,3.593,9273.292,9278.923
6f,3.593,8644.791,8650.219
8a,15.152,9941.128,9958.292
8b,14.249,2325.44,2341.757
8c,14.615,10683.762,10700.293
8d,14.641,8681.108,8697.471
9a,18.602,4137.282,4165.082
9b,17.775,3397.652,3427.423
9c,17.184,7404.709,7424.029
9d,16.125,4541.629,4563.109
10a,19.928,2791.854,2814.564
10b,12.935,5490.558,5506.226
10c,11.104,2256.79,2274.432
17a,15.445,10776.048,10793.826
17b,21.805,9669.608,9688.959
17c,16.067,9798.953,9817.145
17d,16.067,9732.992,9751.013
17e,15.444,10750.289,10776.594
17f,19.096,19963.379,19984.926
18a,16.131,12364.677,12382.617
18b,15.249,8643.136,8660.309
18c,22.547,8992.621,9017.641
32a,6.012,1067.693,1075.062
32b,6.181,1218.874,1226.703
7a,20.358,10789.704,10812.657
7b,26.52,9664.772,9698.783
7c,20.501,12719.34,12742.215
11a,17.39,1177.569,1205.224
11b,16.038,927.652,948.611
11c,17.726,1434.512,1459.367
11d,23.774,2277.948,2297.287
12a,17.419,2034.358,2054.063
12b,16.061,1995.556,2013.705
12c,17.493,2842.106,2861.547
13a,19.283,2655.316,2676.628
13b,18.737,2076.469,2097.651
13c,18.809,2036.962,2057.857
13d,19.226,2858.922,2880.208
14a,17.372,2448.655,2474.586
14b,21.832,2317.402,2342.581
14c,17.263,3430.679,3449.981
15a,22.462,2772.268,2796.965
15b,23.1,2710.907,2736.559
15c,21.99,3385.109,3409.287
15d,21.553,2324.791,2348.712
16a,22.461,19311.642,19334.206
16b,20.069,22773.186,22795.32
16c,20.047,20342.238,20364.098
16d,20.705,18688.353,18711.003
19a,22.768,7392.985,7418.358
19b,22.946,7214.43,7239.766
19c,23.958,22108.401,22134.658
19d,23.049,5501.742,5534.037
20a,24.061,10784.667,10808.79
20b,22.075,10592.143,10616.463
20c,25.734,12384.591,12413.14
21a,23.874,2716.152,2749.011
21b,23.85,2269.466,2298.197
21c,26.919,3253.807,3286.335
22a,26.643,2805.884,2834.769
22b,31.602,2856.415,2891.142
22c,30.191,4491.807,4529.547
22d,32.222,2741.22,2779.438
23a,30.597,2349.482,2384.763
23b,34.946,1912.225,1940.742
23c,27.826,2492.38,2526.993
24a,31.623,15839.54,15873.468
24b,29.95,7777.263,7809.482
25a,22.333,14261.848,14286.332
25b,20.466,11953.351,11976.291
25c,22.271,13947.042,13971.882
26a,28.3,10788.49,10819.248
26b,29.961,12317.604,12348.26
26c,30.209,14396.614,14429.24
33a,38.42,2935.154,2975.942
33b,38.107,1574.6,1615.166
33c,37.956,2455.851,2495.78
27a,33.461,4010.294,4045.905
27b,33.871,3162.462,3199.16
27c,33.926,3774.09,3810.591
28a,36.587,2833.502,2873.141
28b,36.379,2568.557,2607.282
28c,36.716,3896.389,3935.578
29a,50.092,9026.849,9080.414
29b,49.313,8426.443,8478.061
29c,52.573,11582.501,11637.917
30a,37.324,7000.747,7040.869
30b,29.334,8042.345,8074.201
30c,37.055,9930.506,9979.692
31a,30.824,15482.121,15515.15
31b,30.881,7764.451,7797.652
31c,30.382,11644.721,11677.308
