query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.313,714.059,719.269
1b,3.342,901.387,906.708
1c,3.319,1025.541,1030.811
1d,4.391,886.87,893.636
2a,4.438,1950.224,1955.159
2b,3.154,1944.948,1949.887
2c,3.431,2167.463,2174.596
2d,3.301,2225.446,2230.518
3a,3.488,1884.4,1888.681
3b,2.404,1234.224,1239.807
3c,2.693,2258.21,2262.872
4a,3.3,926.944,933.914
4b,3.299,784.432,789.987
4c,3.34,993.076,998.233
5a,3.501,1470.493,1477.409
5b,3.6,1859.607,1865.39
5c,3.636,1986.213,1993.836
6a,5.009,8469.949,8477.458
6b,4.756,9276.881,9284.196
6c,3.524,9689.851,9695.236
6d,3.537,8797.472,8802.924
6e,3.369,8810.949,8816.064
6f,3.556,8974.937,8980.355
8a,13.74,2481.707,2497.498
8b,14.4,6538.157,6554.756
8c,14.202,5122.846,5142.529
8d,11.163,3348.795,3368.264
9a,18.28,2759.819,2781.115
9b,16.103,2863.048,2888.513
9c,15.387,3149.093,3166.731
9d,15.194,4440.617,4458.015
10a,12.184,2796.167,2810.176
10b,12.415,5505.15,5519.655
10c,10.293,2096.296,2110.438
17a,14.689,10367.319,10383.913
17b,13.862,4583.331,4599.051
17c,13.945,4598.551,4614.273
17d,13.875,4637.371,4653.044
17e,15.135,10763.674,10780.652
17f,13.74,9494.605,9510.177
18a,14.285,4109.876,4126.135
18b,21.845,8571.593,8588.92
18c,14.838,9482.8,9499.594
32a,6.05,1171.52,1179.068
32b,6.09,1475.801,1483.653
7a,18.173,8813.881,8834.542
7b,17.376,9183.324,9202.892
7c,19.4,10473.384,10500.685
11a,17.59,1301.787,1321.686
11b,15.347,889.795,907.278
11c,14.855,1126.228,1143.298
11d,17.174,2487.697,2508.45
12a,17.031,2024.838,2044.112
12b,17.496,2234.318,2253.779
12c,16.967,2828.685,2847.731
13a,18.011,2555.032,2575.028
13b,17.937,2075.866,2095.923
13c,17.823,2023.499,2043.424
13d,14.601,1942.342,1959.157
14a,16.413,3334.093,3352.607
14b,16.282,2283.66,2302.293
14c,16.277,2693.553,2711.951
15a,22.198,3831.834,3856.33
15b,21.921,2885.3,2909.613
15c,21.666,2365.207,2389.24
15d,21.432,2369.73,2393.133
16a,17.976,19298.391,19318.378
16b,17.142,21884.526,21903.589
16c,20.001,20438.75,20460.643
16d,20.118,18827.313,18849.179
19a,22.49,4261.598,4286.281
19b,22.379,10209.126,10233.733
19c,22.269,11112.72,11137.2
19d,21.006,6646.593,6669.931
20a,19.177,10338.59,10360.05
20b,20.068,9746.907,9775.466
20c,20.669,13060.425,13083.405
21a,23.113,2806.042,2831.571
21b,23.471,2386.47,2412.071
21c,23.729,2799.374,2825.399
22a,26.116,2770.787,2799.198
22b,26.279,2757.551,2785.918
22c,25.909,4225.668,4253.907
22d,25.381,3172.631,3200.101
23a,25.347,2424.381,2451.875
23b,25.376,1877.957,1905.56
23c,31.894,2297.377,2332.105
24a,29.436,5813.231,5845.124
24b,33.361,7616.721,7654.576
25a,21.711,13825.985,13849.824
25b,19.901,9190.999,9212.739
25c,25.087,14453.036,14486.689
26a,27.664,10692.396,10722.282
26b,27.62,8730.503,8760.37
26c,32.396,10536.751,10571.948
33a,36.152,2397.081,2435.733
33b,36.016,3225.175,3263.233
33c,36.221,2582.183,2621.176
27a,32.696,4305.665,4341.678
27b,32.535,3252.895,3287.911
27c,39.01,3919.322,3965.123
28a,34.688,2790.902,2827.979
28b,35.028,2484.052,2522.083
28c,34.702,3739.109,3776.325
29a,46.42,11997.415,12046.629
29b,47.603,9414.076,9470.741
29c,55.722,11294.06,11353.511
30a,35.389,11997.42,12035.716
30b,28.869,11698.121,11730.463
30c,33.052,10195.132,10230.353
31a,28.952,9138.826,9170.057
31b,26.881,7386.649,7415.852
31c,29.811,14394.813,14424.478
