query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.347,711.741,716.908
1b,3.452,881.07,886.483
1c,4.823,1083.791,1088.953
1d,3.364,919.418,924.533
2a,5.018,3438.906,3444.566
2b,5.342,3291.302,3296.799
2c,4.6,3292.968,3299.707
2d,3.811,3419.973,3425.536
3a,3.771,3146.738,3152.704
3b,2.901,1465.31,1469.964
3c,2.767,2283.83,2288.556
4a,3.289,865.802,872.805
4b,4.924,804.484,809.792
4c,3.415,945.052,952.219
5a,4.072,1434.417,1440.556
5b,3.528,1859.095,1864.575
5c,3.463,1975.288,1982.821
6a,3.362,8766.563,8771.777
6b,3.344,9990.124,9995.533
6c,3.339,9749.489,9754.798
6d,3.51,8820.903,8828.49
6e,3.427,8816.691,8821.978
6f,3.609,8805.644,8811.076
8a,15.205,9988.423,10008.916
8b,18.96,6369.637,6391.222
8c,19.644,5771.655,5790.011
8d,13.54,3969.749,3985.778
9a,19.123,3554.648,3575.989
9b,19.34,3283.884,3305.506
9c,18.814,4036.274,4057.241
9d,17.931,5163.984,5193.97
10a,18.571,2740.751,2762.33
10b,12.457,5477.05,5491.676
10c,13.591,2263.844,2276.619
17a,17.097,10853.808,10873.149
17b,17.735,9731.977,9752.34
17c,16.573,9831.891,9850.562
17d,19.243,9783.95,9803.05
17e,19.387,11203.845,11228.93
17f,21.1,21902.109,21926.519
18a,14.873,12260.559,12277.446
18b,15.464,8575.365,8592.746
18c,14.973,9285.218,9302.347
32a,6.554,1543.262,1551.299
32b,6.808,1814.35,1823.07
7a,20.601,10744.888,10766.975
7b,19.956,9377.511,9400.182
7c,19.969,4760.942,4784.274
11a,22.327,1604.307,1634.975
11b,20.026,954.979,976.99
11c,18.569,1987.975,2008.383
11d,18.472,1696.161,1717.047
12a,22.522,2059.476,2080.853
12b,20.146,2045.795,2064.376
12c,18.833,2448.718,2469.386
13a,17.952,2631.568,2660.154
13b,18.013,2074.682,2095.028
13c,22.165,2046.048,2069.077
13d,19.602,2872.821,2893.794
14a,17.304,2463.145,2486.104
14b,20.286,2312.621,2335.461
14c,17.429,3410.212,3430.005
15a,22.562,2807.34,2831.824
15b,24.698,2689.945,2717.445
15c,28.238,2335.903,2359.627
15d,21.735,2288.381,2324.017
16a,22.006,18923.322,18947.43
16b,21.783,23177.659,23201.499
16c,22.021,21181.838,21212.783
16d,22.015,19502.579,19526.502
19a,26.137,7388.957,7426.055
19b,23.123,7210.642,7236.111
19c,26.576,21929.026,21955.411
19d,22.418,5463.851,5495.5
20a,20.762,10455.468,10478.223
20b,21.845,9719.149,9743.317
20c,21.589,12392.264,12415.953
21a,25.76,3881.684,3921.003
21b,25.49,3593.484,3627.355
21c,28.257,3933.508,3964.849
22a,26.814,2799.56,2843.083
22b,26.63,2842.004,2870.614
22c,26.988,4675.169,4709.032
22d,26.951,2734.803,2763.375
23a,26.8,2365.169,2394.196
23b,26.886,2224.083,2252.984
23c,26.781,2355.414,2384.577
24a,31.452,15957.285,15991.209
24b,30.532,7659.983,7701.02
25a,21.952,13718.853,13742.944
25b,21.821,11346.373,11374.577
25c,23.053,13812.533,13836.407
26a,32.489,10553.042,10590.914
26b,31.352,11731.494,11762.276
26c,29.388,9128.098,9159.868
33a,38.058,2503.313,2546.304
33b,40.123,1485.669,1532.009
33c,36.963,2333.056,2371.916
27a,38.058,4834.719,4873.387
27b,39.977,3686.265,3725.713
27c,38.006,4754.291,4799.406
28a,40.571,2769.108,2812.941
28b,40.027,2518.462,2561.982
28c,37.388,3802.035,3843.402
29a,49.562,9564.1,9616.238
29b,49.03,9768.069,9819.426
29c,55.906,11607.728,11662.202
30a,33.964,12113.143,12146.159
30b,30.45,7781.526,7813.415
30c,31.084,9760.004,9796.309
31a,33.509,9511.201,9549.398
31b,31.026,7772.515,7805.872
31c,28.944,15416.423,15447.873
