query,psql opt (ms),psql exec (ms),psql total (ms)
1a,4.828,703.146,710.314
1b,3.319,872.425,877.578
1c,3.341,1034.995,1040.233
1d,4.783,894.995,902.215
2a,3.734,3422.214,3427.795
2b,3.794,3458.197,3465.981
2c,3.688,3352.116,3359.407
2d,3.758,3447.16,3454.949
3a,3.867,2036.991,2041.778
3b,3.1,1541.195,1546.522
3c,2.723,2297.158,2301.83
4a,3.313,899.838,904.97
4b,3.365,801.281,806.603
4c,3.363,990.328,995.542
5a,3.316,1361.393,1366.518
5b,3.617,1838.561,1844.325
5c,3.529,2023.133,2030.675
6a,3.401,8798.908,8804.278
6b,3.411,10034.381,10039.792
6c,3.325,9871.204,9876.236
6d,3.462,8842.884,8848.543
6e,3.393,8875.914,8881.11
6f,3.653,8977.638,8983.213
8a,15.035,10196.158,10213.162
8b,17.505,6635.131,6654.651
8c,12.769,5780.437,5795.204
8d,12.849,3967.928,3982.604
9a,19.479,3605.909,3629.631
9b,19.582,3368.035,3389.853
9c,18.99,4049.356,4070.498
9d,18.145,5249.848,5270.193
10a,12.292,2799.76,2818.57
10b,12.732,5514.208,5528.717
10c,11.032,2285.208,2302.513
17a,16.958,11391.572,11410.63
17b,16.493,9882.338,9907.343
17c,18.763,9860.58,9879.748
17d,16.554,9890.416,9908.725
17e,17.214,11171.098,11190.219
17f,17.143,21945.171,21964.341
18a,14.782,11582.85,11599.541
18b,15.361,8629.549,8646.768
18c,14.785,9159.234,9175.957
32a,6.781,1569.423,1577.763
32b,6.803,1808.437,1817.248
7a,19.84,10788.687,10810.704
7b,19.847,9611.029,9633.097
7c,17.07,8616.715,8636.148
11a,19.362,1608.206,1629.683
11b,20.023,924.198,946.482
11c,18.258,1996.832,2017.514
11d,18.353,1703.32,1723.562
12a,19.042,2067.922,2089.205
12b,16.804,2038.531,2057.276
12c,18.659,2437.379,2458.122
13a,17.878,2649.641,2669.576
13b,22.196,2074.658,2097.658
13c,18.24,2042.228,2063.795
13d,20.614,2884.011,2911.592
14a,17.485,2442.144,2466.515
14b,17.068,2329.587,2348.595
14c,23.233,3401.742,3427.555
15a,22.739,2768.131,2793.023
15b,22.885,2777.428,2802.244
15c,21.688,2497.911,2521.736
15d,21.484,2398.23,2421.689
16a,22.794,18906.991,18938.216
16b,21.855,23975.686,23999.31
16c,21.664,21251.342,21274.909
16d,21.583,20088.705,20112.019
19a,30.026,7323.185,7356.452
19b,25.015,7122.029,7153.714
19c,30.391,21195.177,21228.201
19d,23.652,5506.247,5532.678
20a,24.328,10439.222,10465.336
20b,23.786,9709.187,9741.168
20c,21.987,11937.417,11961.738
21a,29.695,4033.259,4066.069
21b,27.856,3459.269,3486.713
21c,27.169,3579.139,3609.044
22a,28.794,2826.526,2855.687
22b,35.163,2824.673,2856.347
22c,26.989,4392.798,4422.023
22d,26.637,2724.47,2758.797
23a,26.44,2306.225,2334.599
23b,26.767,2276.068,2315.972
23c,29.139,2305.525,2337.561
24a,31.221,15276.902,15310.365
24b,30.271,7684.173,7720.492
25a,22.208,13724.572,13749.065
25b,22.815,11355.557,11381.204
25c,22.506,13443.226,13468.494
26a,28.39,10726.403,10757.25
26b,28.044,12318.778,12349.194
26c,29.196,9486.621,9518.076
33a,37.805,2489.683,2534.614
33b,38.22,1488.422,1529.279
33c,36.624,2549.582,2592.633
27a,35.867,4802.957,4841.375
27b,35.872,3825.714,3863.9
27c,35.799,4790.317,4828.554
28a,36.84,2821.474,2860.935
28b,38.038,2577.13,2619.168
28c,44.597,3837.267,3885.017
29a,51.557,9702.341,9757.552
29b,49.345,9769.773,9832.279
29c,52.302,11707.484,11763.287
30a,30.472,12604.897,12637.963
30b,29.359,8027.024,8059.063
30c,30.722,9926.195,9959.158
31a,29.751,9873.549,9905.786
31b,35.619,7806.073,7839.388
31c,33.194,16114.34,16161.748
