query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.336,722.916,728.2
1b,3.368,901.079,906.286
1c,3.364,1074.24,1079.632
1d,3.296,926.387,931.561
2a,3.1,1941.593,1946.564
2b,3.1,1956.223,1961.107
2c,3.392,2163.313,2168.581
2d,3.352,2245.406,2250.404
3a,2.542,1919.737,1924.253
3b,2.295,1248.455,1252.543
3c,2.692,2274.964,2279.58
4a,3.27,942.224,947.231
4b,3.283,798.215,803.435
4c,3.256,976.24,981.457
5a,3.483,1445.796,1451.336
5b,3.557,1860.376,1865.964
5c,3.532,1965.006,1970.83
6a,3.426,8784.219,8791.423
6b,3.25,9407.09,9412.298
6c,3.486,9612.265,9617.72
6d,5.079,8488.92,8496.46
6e,3.37,8806.533,8811.739
6f,3.574,8936.131,8941.651
8a,14.02,2360.751,2384.563
8b,14.427,6577.695,6594.325
8c,12.224,5563.387,5584.421
8d,13.142,3817.569,3832.636
9a,15.873,2803.496,2821.696
9b,16.064,2914.191,2932.432
9c,15.301,3125.921,3143.499
9d,14.948,6096.386,6113.494
10a,17.569,2676.553,2690.954
10b,14.984,5468.559,5485.091
10c,10.278,2092.543,2104.888
17a,22.091,10020.718,10037.749
17b,14.129,4373.544,4389.434
17c,13.883,4427.057,4443.0
17d,13.978,4524.085,4545.439
17e,15.779,10554.918,10572.922
17f,17.282,9357.13,9376.718
18a,14.192,3745.964,3762.395
18b,15.484,8351.186,8372.553
18c,18.76,9178.948,9201.433
32a,6.092,1155.239,1165.163
32b,6.072,1481.549,1489.723
7a,20.515,8745.077,8768.583
7b,17.353,9276.217,9295.727
7c,15.696,8470.418,8488.465
11a,17.457,1331.849,1351.631
11b,15.284,878.726,896.356
11c,16.378,1240.385,1260.334
11d,16.955,2476.643,2499.635
12a,16.946,2025.893,2044.841
12b,18.859,2219.901,2244.093
12c,22.759,2840.435,2863.332
13a,23.472,2576.547,2605.49
13b,18.057,2080.355,2100.924
13c,17.949,2050.205,2071.301
13d,22.632,1953.348,1972.336
14a,23.126,3326.081,3345.454
14b,17.662,2287.333,2307.712
14c,18.975,2714.369,2735.887
15a,23.991,3915.347,3941.884
15b,21.718,1527.57,1551.363
15c,21.774,2346.26,2370.297
15d,21.418,2322.927,2346.473
16a,23.788,18455.517,18485.649
16b,21.112,21732.609,21753.027
16c,20.027,19451.218,19473.425
16d,20.347,18330.886,18353.252
19a,22.287,4258.999,4283.679
19b,22.622,10246.931,10271.916
19c,22.406,11614.442,11646.426
19d,20.749,5358.3,5381.194
20a,19.125,10359.928,10381.295
20b,20.041,9693.649,9716.24
20c,20.574,12286.723,12309.544
21a,23.145,2843.186,2868.774
21b,23.387,2397.936,2423.868
21c,23.815,2931.008,2957.393
22a,26.052,2772.773,2801.276
22b,25.918,2749.701,2777.968
22c,25.729,4720.747,4749.001
22d,25.41,3261.642,3289.597
23a,25.581,2446.432,2474.251
23b,25.294,1931.552,1959.269
23c,25.494,2378.608,2408.564
24a,29.473,5781.348,5813.216
24b,28.622,7658.242,7689.724
25a,21.992,13878.89,13903.203
25b,19.704,9292.816,9314.828
25c,20.305,14588.078,14610.723
26a,28.017,10721.783,10752.001
26b,27.91,8789.158,8819.383
26c,27.9,10959.78,10990.312
33a,36.552,2366.307,2405.157
33b,40.245,3307.307,3353.566
33c,36.866,2587.82,2627.058
27a,32.784,4067.251,4102.505
27b,32.409,3231.129,3265.947
27c,33.217,3739.593,3784.658
28a,34.665,2779.616,2816.786
28b,35.616,2492.973,2531.327
28c,34.972,3751.067,3788.643
29a,46.767,12003.012,12063.88
29b,46.852,9492.489,9542.338
29c,50.956,11757.476,11810.699
30a,28.955,12633.17,12664.491
30b,27.754,12305.028,12335.388
30c,33.133,10466.939,10502.165
31a,28.673,9963.028,9994.494
31b,27.012,7519.011,7548.5
31c,29.39,15396.865,15435.936
