query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.361,716.341,722.837
1b,3.373,900.569,905.848
1c,3.324,1079.755,1084.968
1d,3.356,901.957,907.303
2a,5.451,3382.071,3389.707
2b,3.872,3305.52,3312.948
2c,5.204,3383.495,3390.869
2d,5.444,3352.548,3358.048
3a,3.79,3146.603,3152.785
3b,2.834,1532.466,1537.127
3c,2.622,2260.737,2265.199
4a,3.286,883.506,888.708
4b,3.35,863.228,868.655
4c,3.342,978.353,985.349
5a,4.046,1468.376,1474.39
5b,3.548,1839.894,1845.453
5c,3.531,1996.059,2001.588
6a,3.373,8776.907,8782.033
6b,3.421,9974.678,9981.994
6c,3.297,9929.022,9934.439
6d,3.556,8835.876,8841.215
6e,3.378,8739.384,8746.872
6f,3.611,8936.851,8942.373
8a,15.698,10068.168,10085.268
8b,17.746,6666.704,6686.631
8c,14.054,6223.946,6239.856
8d,13.916,4369.897,4385.748
9a,19.228,3753.548,3775.082
9b,19.504,3377.812,3399.575
9c,19.061,4067.675,4096.642
9d,18.14,5249.125,5269.453
10a,12.229,2797.128,2811.524
10b,12.384,5510.315,5525.517
10c,12.822,5825.297,5843.893
17a,17.848,11360.189,11380.522
17b,16.612,9838.087,9856.397
17c,16.592,9862.74,9884.501
17d,16.505,9858.577,9881.759
17e,17.206,11310.459,11334.409
17f,16.964,21924.274,21943.039
18a,14.807,13254.596,13271.372
18b,15.746,7380.379,7397.983
18c,14.821,9103.465,9120.415
32a,6.571,1613.003,1621.112
32b,6.917,1839.658,1848.497
7a,19.832,10804.77,10827.081
7b,21.139,9477.048,9499.251
7c,18.167,4858.192,4878.812
11a,19.362,1616.772,1638.607
11b,19.988,934.203,956.614
11c,18.23,1970.54,1991.019
11d,18.137,1706.457,1726.788
12a,18.821,2056.774,2077.909
12b,16.641,2036.636,2055.355
12c,18.739,2490.4,2511.518
13a,18.063,2643.027,2666.33
13b,17.983,2078.813,2099.141
13c,17.821,2041.179,2061.378
13d,18.28,2873.428,2893.621
14a,17.241,2469.8,2489.166
14b,17.355,2354.071,2373.443
14c,17.338,3401.465,3420.833
15a,22.568,2879.234,2904.125
15b,22.811,2701.932,2726.712
15c,21.522,2390.91,2414.606
15d,21.409,2342.12,2365.745
16a,26.409,19025.606,19054.53
16b,21.952,24041.615,24065.22
16c,22.468,21310.653,21337.831
16d,21.8,20265.079,20288.922
19a,23.95,8085.25,8111.459
19b,23.289,7214.378,7242.541
19c,24.138,22040.674,22067.695
19d,22.222,5502.595,5527.468
20a,20.751,10438.354,10461.005
20b,21.163,10118.126,10141.608
20c,21.701,12807.458,12831.552
21a,25.63,3673.425,3701.464
21b,25.532,3666.469,3694.142
21c,25.157,4111.636,4139.197
22a,26.755,2821.081,2850.111
22b,26.777,2866.162,2895.79
22c,27.125,4797.476,4827.148
22d,26.626,2744.187,2772.711
23a,26.629,2433.335,2462.327
23b,26.546,2312.535,2341.527
23c,26.434,2459.337,2487.859
24a,31.217,15150.929,15184.558
24b,29.977,7783.595,7815.709
25a,21.794,14697.989,14721.75
25b,20.635,12044.667,12067.354
25c,21.596,13875.117,13899.206
26a,28.367,10893.393,10924.272
26b,28.355,12390.987,12422.408
26c,29.41,9456.774,9488.468
33a,37.115,3869.784,3909.269
33b,37.141,2748.408,2787.866
33c,36.703,2704.662,2743.655
27a,35.718,4896.219,4934.342
27b,35.644,3766.345,3804.738
27c,35.434,4861.89,4899.821
28a,36.81,2793.338,2833.195
28b,36.553,2551.228,2590.695
28c,36.801,3876.9,3916.011
29a,49.52,9692.931,9745.023
29b,48.61,9787.986,9839.387
29c,51.832,11610.559,11665.901
30a,30.718,12611.016,12644.007
30b,29.441,7990.989,8022.818
30c,30.877,9986.788,10024.179
31a,29.397,9658.905,9690.528
31b,30.834,7786.614,7819.167
31c,29.053,15148.184,15182.743
