query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.208,716.336,721.418
1b,3.37,901.73,906.98
1c,3.361,1088.075,1093.407
1d,3.325,897.783,902.952
2a,3.776,3388.635,3396.339
2b,3.778,3356.038,3361.595
2c,3.55,3298.726,3305.454
2d,3.821,3388.873,3395.137
3a,3.013,2147.968,2152.89
3b,3.432,1504.565,1509.251
3c,3.935,2305.455,2311.869
4a,3.288,947.918,953.031
4b,3.405,804.683,810.185
4c,3.357,952.646,959.643
5a,3.566,1446.748,1454.224
5b,3.607,1847.422,1855.331
5c,3.58,1995.106,2000.653
6a,3.396,8758.172,8763.461
6b,3.409,9908.54,9914.166
6c,3.331,9885.916,9891.191
6d,3.531,8806.556,8812.29
6e,3.356,8782.506,8787.735
6f,3.634,8908.462,8914.045
8a,15.066,10124.396,10141.695
8b,17.594,6616.537,6641.642
8c,12.164,5471.475,5485.655
8d,12.272,3673.009,3689.547
9a,19.482,3578.387,3600.18
9b,19.635,3276.658,3304.629
9c,18.878,3960.267,3981.479
9d,18.202,5230.207,5257.896
10a,12.239,2794.004,2808.334
10b,12.413,5493.254,5507.899
10c,12.75,5790.137,5804.834
17a,17.109,11366.778,11385.79
17b,20.519,9898.845,9919.067
17c,18.38,9843.508,9862.029
17d,16.555,9857.596,9876.296
17e,17.239,11254.486,11273.776
17f,17.33,22226.815,22246.271
18a,14.89,11839.416,11856.176
18b,15.671,7450.149,7467.885
18c,14.806,9378.09,9395.07
32a,6.66,1481.593,1489.627
32b,6.832,1603.736,1613.123
7a,25.985,10371.494,10401.853
7b,23.347,9258.888,9292.158
7c,17.172,8307.054,8327.1
11a,19.388,2475.51,2497.216
11b,20.23,953.17,975.566
11c,18.353,2003.902,2026.695
11d,18.3,1701.98,1722.562
12a,19.008,2081.602,2102.734
12b,16.685,2060.081,2078.819
12c,18.432,2505.127,2525.736
13a,17.934,2653.499,2678.492
13b,18.015,2073.572,2094.091
13c,17.986,2053.16,2073.459
13d,18.308,2877.409,2897.916
14a,17.4,2476.627,2496.352
14b,17.054,2348.386,2367.728
14c,17.329,3431.387,3451.183
15a,22.573,2850.006,2874.766
15b,22.964,2822.888,2847.942
15c,21.669,2461.36,2485.473
15d,21.283,2445.278,2469.012
16a,21.948,19088.04,19112.088
16b,21.663,24035.435,24059.187
16c,21.728,21395.226,21418.992
16d,21.676,19972.022,19995.827
19a,22.887,7456.632,7481.856
19b,22.984,7224.045,7249.299
19c,24.06,22171.082,22197.408
19d,22.035,5496.376,5520.602
20a,20.872,10459.884,10493.65
20b,21.324,10064.378,10087.934
20c,21.969,12328.483,12359.899
21a,25.815,4065.492,4093.52
21b,25.534,3591.113,3619.061
21c,27.699,3964.528,3992.138
22a,26.796,2787.878,2816.829
22b,26.842,2800.866,2830.111
22c,26.972,4749.78,4779.158
22d,26.704,2742.097,2771.159
23a,26.499,2368.309,2397.127
23b,26.668,2255.99,2284.926
23c,26.31,2358.057,2386.655
24a,31.215,15979.888,16022.682
24b,29.778,7753.153,7785.264
25a,21.683,14470.326,14494.476
25b,20.592,11871.478,11894.248
25c,21.587,13733.693,13757.499
26a,28.632,10760.316,10790.779
26b,28.251,12586.284,12616.81
26c,31.721,9405.997,9443.757
33a,37.799,2420.549,2465.467
33b,43.048,1485.638,1525.825
33c,36.665,2751.795,2790.466
27a,36.236,4829.97,4869.317
27b,36.366,3783.674,3822.531
27c,35.728,4799.567,4837.869
28a,36.783,2836.264,2875.709
28b,36.062,2538.931,2581.218
28c,36.757,3786.775,3825.905
29a,48.712,9678.713,9730.189
29b,49.195,9691.527,9743.509
29c,52.441,11640.224,11695.113
30a,30.651,12513.627,12546.454
30b,29.226,8035.748,8067.339
30c,30.58,10082.128,10115.082
31a,29.789,9379.203,9412.666
31b,34.174,7713.165,7763.824
31c,31.32,15234.404,15268.823
