query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,0.042,NA,1283415635655.0,NA,NA
0_10_10.enum_plan.txt,0.039,NA,2057754570419.0,NA,NA
0_10_2.enum_plan.txt,0.064,NA,1410956231576.0,NA,NA
0_10_3.enum_plan.txt,0.04,NA,1823650669195.0,NA,NA
0_10_4.enum_plan.txt,0.04,NA,1288841462210.0,NA,NA
0_10_5.enum_plan.txt,0.044,NA,1002674673757.0,NA,NA
0_10_6.enum_plan.txt,0.044,NA,1504200701566.0,NA,NA
0_10_7.enum_plan.txt,0.04,NA,2270798937212.0,NA,NA
0_10_8.enum_plan.txt,0.047,NA,1769894968156.0,NA,NA
0_10_9.enum_plan.txt,0.039,NA,1471505209814.0,NA,NA
0_11_1.enum_plan.txt,0.047,NA,457391688108.0,NA,NA
0_11_10.enum_plan.txt,0.055,NA,1301133214882.0,NA,NA
0_11_2.enum_plan.txt,0.052,NA,1770491128194.0,NA,NA
0_11_3.enum_plan.txt,0.051,NA,1560202793378.0,NA,NA
0_11_4.enum_plan.txt,0.051,NA,513985603422.0,NA,NA
0_11_5.enum_plan.txt,0.082,NA,1612569119569.0,NA,NA
0_11_6.enum_plan.txt,0.051,NA,1359969364212.0,NA,NA
0_11_7.enum_plan.txt,0.048,NA,2064648445457.0,NA,NA
0_11_8.enum_plan.txt,0.048,NA,1684815492144.0,NA,NA
0_11_9.enum_plan.txt,0.047,NA,1754490309843.0,NA,NA
0_12_1.enum_plan.txt,0.089,NA,2159036855480.0,NA,NA
0_12_10.enum_plan.txt,0.071,NA,2106508923055.0,NA,NA
0_12_2.enum_plan.txt,0.06,NA,2029310992988.0,NA,NA
0_12_3.enum_plan.txt,0.06,NA,1532260184436.0,NA,NA
0_12_4.enum_plan.txt,0.064,NA,1436225818670.0,NA,NA
0_12_5.enum_plan.txt,0.06,NA,1750935923856.0,NA,NA
0_12_6.enum_plan.txt,0.061,NA,1396203634672.0,NA,NA
0_12_7.enum_plan.txt,0.061,NA,1686577871756.0,NA,NA
0_12_8.enum_plan.txt,0.065,NA,1054494422297.0,NA,NA
0_12_9.enum_plan.txt,0.06,NA,1396251558973.0,NA,NA
0_13_1.enum_plan.txt,0.075,NA,1774970734922.0,NA,NA
0_13_10.enum_plan.txt,0.075,NA,2091896107810.0,NA,NA
0_13_2.enum_plan.txt,0.075,NA,2077661822121.0,NA,NA
0_13_3.enum_plan.txt,0.074,NA,2002549962472.0,NA,NA
0_13_4.enum_plan.txt,0.075,NA,2001617300191.0,NA,NA
0_13_5.enum_plan.txt,0.114,NA,1352997541524.0,NA,NA
0_13_6.enum_plan.txt,0.097,NA,2427377723013.0,NA,NA
0_13_7.enum_plan.txt,0.076,NA,1292426712941.0,NA,NA
0_13_8.enum_plan.txt,0.087,NA,1272944985170.0,NA,NA
