query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1,0.00298,1499377550241.0,1499377550241.0,R7-R8 R3-R4 R0-R1 R5-R6 R6-R7 R4-R5 R2-R3 R1-R2 R8-R9,
0_10_10,0.0027300000000000002,2358806416502.0,2358806416502.0,R1-R2 R3-R4 R8-R9 R6-R7 R7-R8 R0-R1 R5-R6 R2-R3 R4-R5,
0_10_2,0.00284,1410956231576.0,1410956231576.0,R1-R2 R6-R7 R8-R9 R4-R5 R2-R3 R7-R8 R0-R1 R3-R4 R5-R6,
0_10_3,0.0027400000000000002,1949689377669.0,1949689377669.0,R5-R6 R2-R3 R0-R1 R7-R8 R6-R7 R4-R5 R3-R4 R1-R2 R8-R9,
0_10_4,0.00265,1367437798296.0,1367437798296.0,R1-R2 R5-R6 R7-R8 R8-R9 R6-R7 R3-R4 R4-R5 R2-R3 R0-R1,
0_10_5,0.0027500000000000003,1002674673757.0,1002674673757.0,R4-R5 R2-R3 R8-R9 R0-R1 R6-R7 R5-R6 R3-R4 R7-R8 R1-R2,
0_10_6,0.00282,1926389384598.0,1926389384598.0,R7-R8 R0-R1 R2-R3 R1-R2 R4-R5 R6-R7 R5-R6 R8-R9 R3-R4,
0_10_7,0.00267,2270798937212.0,2270798937212.0,R0-R1 R6-R7 R2-R3 R8-R9 R7-R8 R3-R4 R4-R5 R1-R2 R5-R6,
0_10_8,0.00281,1794514051963.0,1794514051963.0,R5-R6 R0-R1 R8-R9 R3-R4 R4-R5 R7-R8 R1-R2 R2-R3 R6-R7,
0_10_9,0.00286,1471505209814.0,1471505209814.0,R5-R6 R3-R4 R1-R2 R2-R3 R7-R8 R6-R7 R4-R5 R0-R1 R8-R9,
0_11_1,0.00343,850886472329.0,850886472329.0,R3-R4 R7-R8 R0-R1 R10-R9 R6-R7 R5-R6 R1-R2 R2-R3 R4-R5 R8-R9,
0_11_10,0.00337,1365145371914.0,1365145371914.0,R2-R3 R10-R9 R0-R1 R6-R7 R7-R8 R8-R9 R4-R5 R3-R4 R1-R2 R5-R6,
0_11_2,0.00358,2293340066010.0,2293340066010.0,R7-R8 R5-R6 R3-R4 R1-R2 R4-R5 R8-R9 R0-R1 R2-R3 R6-R7 R10-R9,
0_11_3,0.0033699999999999997,1616104939691.0,1616104939691.0,R5-R6 R10-R9 R3-R4 R4-R5 R2-R3 R7-R8 R6-R7 R0-R1 R1-R2 R8-R9,
0_11_4,0.00343,513985603422.0,513985603422.0,R6-R7 R10-R9 R2-R3 R0-R1 R1-R2 R3-R4 R8-R9 R5-R6 R7-R8 R4-R5,
0_11_5,0.0033,1640328337995.0,1640328337995.0,R2-R3 R5-R6 R10-R9 R7-R8 R8-R9 R6-R7 R0-R1 R1-R2 R3-R4 R4-R5,
0_11_6,0.0034999999999999996,1359969364212.0,1359969364212.0,R3-R4 R5-R6 R8-R9 R1-R2 R2-R3 R7-R8 R6-R7 R10-R9 R4-R5 R0-R1,
0_11_7,0.00353,2064648445457.0,2064648445457.0,R7-R8 R5-R6 R1-R2 R3-R4 R10-R9 R0-R1 R2-R3 R6-R7 R8-R9 R4-R5,
0_11_8,0.0035,1684815492144.0,1684815492144.0,R1-R2 R4-R5 R6-R7 R8-R9 R5-R6 R3-R4 R10-R9 R7-R8 R2-R3 R0-R1,
0_11_9,0.0035700000000000003,2214050157658.0,2214050157658.0,R3-R4 R8-R9 R2-R3 R6-R7 R5-R6 R4-R5 R10-R9 R0-R1 R7-R8 R1-R2,
0_12_1,0.00406,2289102962868.0,2289102962868.0,R5-R6 R0-R1 R8-R9 R1-R2 R4-R5 R3-R4 R2-R3 R6-R7 R10-R11 R7-R8 R10-R9,
0_12_10,0.00429,2240431447080.0,2240431447080.0,R4-R5 R7-R8 R0-R1 R2-R3 R10-R9 R10-R11 R6-R7 R5-R6 R3-R4 R8-R9 R1-R2,
0_12_2,0.00436,2120774449793.0,2120774449793.0,R3-R4 R7-R8 R0-R1 R1-R2 R10-R9 R4-R5 R2-R3 R5-R6 R8-R9 R6-R7 R10-R11,
0_12_3,0.00414,1532260184436.0,1532260184436.0,R0-R1 R7-R8 R5-R6 R3-R4 R2-R3 R10-R9 R8-R9 R10-R11 R6-R7 R4-R5 R1-R2,
0_12_4,0.00417,1890371093448.0,1890371093448.0,R5-R6 R2-R3 R0-R1 R4-R5 R10-R9 R7-R8 R8-R9 R10-R11 R1-R2 R3-R4 R6-R7,
0_12_5,0.0043,1824555374075.0,1824555374075.0,R0-R1 R6-R7 R2-R3 R4-R5 R8-R9 R1-R2 R3-R4 R5-R6 R7-R8 R10-R11 R10-R9,
0_12_6,0.0042499999999999994,1822208255799.0,1822208255799.0,R7-R8 R10-R11 R1-R2 R3-R4 R6-R7 R2-R3 R4-R5 R0-R1 R5-R6 R10-R9 R8-R9,
