query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,0.02,NA,2233538622513.0,NA,NA
0_10_10.enum_plan.txt,0.016,NA,2433188318536.0,NA,NA
0_10_2.enum_plan.txt,0.018,NA,1546853406632.0,NA,NA
0_10_3.enum_plan.txt,0.023,NA,2755857380883.0,NA,NA
0_10_4.enum_plan.txt,0.021,NA,1405679191635.0,NA,NA
0_10_5.enum_plan.txt,0.017,NA,1984354946522.0,NA,NA
0_10_6.enum_plan.txt,0.015,NA,1926389384598.0,NA,NA
0_10_7.enum_plan.txt,0.013,NA,3672764929286.0,NA,NA
0_10_8.enum_plan.txt,0.013,NA,2215276996731.0,NA,NA
0_10_9.enum_plan.txt,0.014,NA,1471505209814.0,NA,NA
0_11_1.enum_plan.txt,0.013,NA,1248747715551.0,NA,NA
0_11_10.enum_plan.txt,0.017,NA,1444514448518.0,NA,NA
0_11_2.enum_plan.txt,0.018,NA,2808118392532.0,NA,NA
0_11_3.enum_plan.txt,0.014,NA,1884944628292.0,NA,NA
0_11_4.enum_plan.txt,0.013,NA,513985603422.0,NA,NA
0_11_5.enum_plan.txt,0.017,NA,1927889823460.0,NA,NA
0_11_6.enum_plan.txt,0.018,NA,1370873331736.0,NA,NA
0_11_7.enum_plan.txt,0.019,NA,2219354638418.0,NA,NA
0_11_8.enum_plan.txt,0.014,NA,1840890328232.0,NA,NA
0_11_9.enum_plan.txt,0.014,NA,2591708547112.0,NA,NA
0_12_1.enum_plan.txt,0.019,NA,2341622341826.0,NA,NA
0_12_10.enum_plan.txt,0.021,NA,2240431447080.0,NA,NA
0_12_2.enum_plan.txt,0.018,NA,2751087383297.0,NA,NA
0_12_3.enum_plan.txt,0.017,NA,1532260184436.0,NA,NA
0_12_4.enum_plan.txt,0.016,NA,1890371093448.0,NA,NA
0_12_5.enum_plan.txt,0.02,NA,1862971311742.0,NA,NA
0_12_6.enum_plan.txt,0.019,NA,1980984971051.0,NA,NA
0_12_7.enum_plan.txt,0.022,NA,1882891841036.0,NA,NA
0_12_8.enum_plan.txt,0.017,NA,1054494422297.0,NA,NA
0_12_9.enum_plan.txt,0.019,NA,1599504473023.0,NA,NA
0_13_1.enum_plan.txt,0.024,NA,2870709680829.0,NA,NA
0_13_10.enum_plan.txt,0.019,NA,2856729415867.0,NA,NA
0_13_2.enum_plan.txt,0.022,NA,2077661822121.0,NA,NA
0_13_3.enum_plan.txt,0.02,NA,2200685102600.0,NA,NA
0_13_4.enum_plan.txt,0.019,NA,3204244362579.0,NA,NA
0_13_5.enum_plan.txt,0.021,NA,2167311278850.0,NA,NA
0_13_6.enum_plan.txt,0.018,NA,3965908456950.0,NA,NA
0_13_7.enum_plan.txt,0.019,NA,1451142345632.0,NA,NA
0_13_8.enum_plan.txt,0.018,NA,3639614555745.0,NA,NA
0_13_9.enum_plan.txt,0.023,NA,1872007085767.0,NA,NA
0_14_1.enum_plan.txt,0.022,NA,2429298951862.0,NA,NA
0_14_10.enum_plan.txt,0.02,NA,2287777045073.0,NA,NA
0_14_2.enum_plan.txt,0.021,NA,1660702682018.0,NA,NA
0_14_3.enum_plan.txt,0.022,NA,1941520621084.0,NA,NA
0_14_4.enum_plan.txt,0.025,NA,2938108043889.0,NA,NA
0_14_5.enum_plan.txt,0.022,NA,1886199451618.0,NA,NA
0_14_6.enum_plan.txt,0.026,NA,2548650908962.0,NA,NA
0_14_7.enum_plan.txt,0.024,NA,1821226787356.0,NA,NA
0_14_8.enum_plan.txt,0.03,NA,2512617131857.0,NA,NA
0_14_9.enum_plan.txt,0.021,NA,2649807188113.0,NA,NA
0_15_1.enum_plan.txt,0.022,NA,3234447691264.0,NA,NA
0_15_10.enum_plan.txt,0.021,NA,2350398966338.0,NA,NA
0_15_2.enum_plan.txt,0.03,NA,2666024470165.0,NA,NA
0_15_3.enum_plan.txt,0.022,NA,2622515348374.0,NA,NA
0_15_4.enum_plan.txt,0.021,NA,2159213899341.0,NA,NA
0_15_5.enum_plan.txt,0.024,NA,2509289533618.0,NA,NA
0_15_6.enum_plan.txt,0.02,NA,2801706344931.0,NA,NA
0_15_7.enum_plan.txt,0.021,NA,4020375709951.0,NA,NA
0_15_8.enum_plan.txt,0.03,NA,3353654330517.0,NA,NA
0_15_9.enum_plan.txt,0.024,NA,3435586505984.0,NA,NA
0_16_1.enum_plan.txt,0.045,NA,3070454337341.0,NA,NA
0_16_10.enum_plan.txt,0.046,NA,3359070692861.0,NA,NA
0_16_2.enum_plan.txt,0.036,NA,2048911533136.0,NA,NA
0_16_3.enum_plan.txt,0.043,NA,4507361981899.0,NA,NA
0_16_4.enum_plan.txt,0.037,NA,3570716781498.0,NA,NA
0_16_5.enum_plan.txt,0.044,NA,2850685553731.0,NA,NA
0_16_6.enum_plan.txt,0.042,NA,2872010743953.0,NA,NA
0_16_7.enum_plan.txt,0.038,NA,2929885788100.0,NA,NA
0_16_8.enum_plan.txt,0.034,NA,2461129515018.0,NA,NA
0_16_9.enum_plan.txt,0.039,NA,3291226628425.0,NA,NA
0_17_1.enum_plan.txt,0.041,NA,2527851619301.0,NA,NA
0_17_10.enum_plan.txt,0.047,NA,3643387271897.0,NA,NA
0_17_2.enum_plan.txt,0.042,NA,2564530739250.0,NA,NA
0_17_3.enum_plan.txt,0.039,NA,2898890290775.0,NA,NA
0_17_4.enum_plan.txt,0.041,NA,2528515790584.0,NA,NA
0_17_5.enum_plan.txt,0.044,NA,2330857386740.0,NA,NA
0_17_6.enum_plan.txt,0.043,NA,3735653101389.0,NA,NA
0_17_7.enum_plan.txt,0.047,NA,2347864920589.0,NA,NA
0_17_8.enum_plan.txt,0.042,NA,3751319783121.0,NA,NA
0_17_9.enum_plan.txt,0.043,NA,2889762412674.0,NA,NA
0_18_1.enum_plan.txt,0.046,NA,3764324931137.0,NA,NA
0_18_10.enum_plan.txt,0.049,NA,3373574307445.0,NA,NA
0_18_2.enum_plan.txt,0.044,NA,2047069495495.0,NA,NA
0_18_3.enum_plan.txt,0.049,NA,2892040450793.0,NA,NA
0_18_4.enum_plan.txt,0.044,NA,4015376436076.0,NA,NA
0_18_5.enum_plan.txt,0.045,NA,2935601456138.0,NA,NA
0_18_6.enum_plan.txt,0.044,NA,2426238230227.0,NA,NA
0_18_7.enum_plan.txt,0.048,NA,3026520197401.0,NA,NA
0_18_8.enum_plan.txt,0.043,NA,2158648666644.0,NA,NA
0_18_9.enum_plan.txt,0.044,NA,3241891012794.0,NA,NA
0_19_1.enum_plan.txt,0.051,NA,4076788867008.0,NA,NA
0_19_10.enum_plan.txt,0.048,NA,2858589287834.0,NA,NA
0_19_2.enum_plan.txt,0.054,NA,4273174494149.0,NA,NA
0_19_3.enum_plan.txt,0.055,NA,2809831860519.0,NA,NA
0_19_4.enum_plan.txt,0.048,NA,4579566715592.0,NA,NA
0_19_5.enum_plan.txt,0.053,NA,3392254974753.0,NA,NA
0_19_6.enum_plan.txt,0.054,NA,3386517322673.0,NA,NA
0_19_7.enum_plan.txt,0.056,NA,3533565835309.0,NA,NA
0_19_8.enum_plan.txt,0.055,NA,2773585744464.0,NA,NA
0_19_9.enum_plan.txt,0.053,NA,2664700166996.0,NA,NA
0_20_1.enum_plan.txt,0.059,NA,4521927911927.0,NA,NA
0_20_10.enum_plan.txt,0.054,NA,4094169449808.0,NA,NA
0_20_2.enum_plan.txt,0.059,NA,3031539942623.0,NA,NA
0_20_3.enum_plan.txt,0.052,NA,3804140655902.0,NA,NA
0_20_4.enum_plan.txt,0.051,NA,3205105400646.0,NA,NA
0_20_5.enum_plan.txt,0.054,NA,4670885817753.0,NA,NA
0_20_6.enum_plan.txt,0.061,NA,4703762991026.0,NA,NA
0_20_7.enum_plan.txt,0.055,NA,3810250367326.0,NA,NA
0_20_8.enum_plan.txt,0.054,NA,3542170539950.0,NA,NA
0_20_9.enum_plan.txt,0.059,NA,3027726190162.0,NA,NA
0_21_1.enum_plan.txt,0.06,NA,3884870625389.0,NA,NA
0_21_10.enum_plan.txt,0.053,NA,3531350402227.0,NA,NA
0_21_2.enum_plan.txt,0.061,NA,3485586433530.0,NA,NA
0_21_3.enum_plan.txt,0.055,NA,3628873936784.0,NA,NA
0_21_4.enum_plan.txt,0.056,NA,2805433447369.0,NA,NA
0_21_5.enum_plan.txt,0.054,NA,5140121396076.0,NA,NA
0_21_6.enum_plan.txt,0.062,NA,2797854440203.0,NA,NA
0_21_7.enum_plan.txt,0.066,NA,2890345349157.0,NA,NA
0_21_8.enum_plan.txt,0.065,NA,5575642698363.0,NA,NA
0_21_9.enum_plan.txt,0.061,NA,1703987893986.0,NA,NA
0_22_1.enum_plan.txt,0.06,NA,3855135999462.0,NA,NA
0_22_10.enum_plan.txt,0.061,NA,3603600013743.0,NA,NA
0_22_2.enum_plan.txt,0.071,NA,5897440989098.0,NA,NA
0_22_3.enum_plan.txt,0.062,NA,4041852755263.0,NA,NA
0_22_4.enum_plan.txt,0.053,NA,2581331009242.0,NA,NA
0_22_5.enum_plan.txt,0.068,NA,6164886927552.0,NA,NA
0_22_6.enum_plan.txt,0.077,NA,4522734805487.0,NA,NA
0_22_7.enum_plan.txt,0.069,NA,2576847319172.0,NA,NA
0_22_8.enum_plan.txt,0.062,NA,4445638030360.0,NA,NA
0_22_9.enum_plan.txt,0.071,NA,3371619250610.0,NA,NA
0_23_1.enum_plan.txt,0.069,NA,5493458891081.0,NA,NA
0_23_10.enum_plan.txt,0.065,NA,4765178764323.0,NA,NA
0_23_2.enum_plan.txt,0.066,NA,4540587770692.0,NA,NA
0_23_3.enum_plan.txt,0.07,NA,3455969286289.0,NA,NA
0_23_4.enum_plan.txt,0.063,NA,5030253878142.0,NA,NA
0_23_5.enum_plan.txt,0.07,NA,4186640531520.0,NA,NA
0_23_6.enum_plan.txt,0.07,NA,3713839474531.0,NA,NA
0_23_7.enum_plan.txt,0.084,NA,4602913007973.0,NA,NA
0_23_8.enum_plan.txt,0.063,NA,4160345603794.0,NA,NA
0_23_9.enum_plan.txt,0.071,NA,3233839772127.0,NA,NA
0_24_1.enum_plan.txt,0.077,NA,4651753813973.0,NA,NA
0_24_10.enum_plan.txt,0.083,NA,3583241526247.0,NA,NA
0_24_2.enum_plan.txt,0.067,NA,4553328002677.0,NA,NA
