query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,0.165,NA,1907955953540.0,NA,NA
0_10_10.enum_plan.txt,0.357,NA,2239232875320.0,NA,NA
0_10_2.enum_plan.txt,0.139,NA,1410956231576.0,NA,NA
0_10_3.enum_plan.txt,0.332,NA,2187955681485.0,NA,NA
0_10_4.enum_plan.txt,0.083,NA,1384585290249.0,NA,NA
0_10_5.enum_plan.txt,0.122,NA,1864107599110.0,NA,NA
0_10_6.enum_plan.txt,0.162,NA,1814063878927.0,NA,NA
0_10_7.enum_plan.txt,0.208,NA,2270798937212.0,NA,NA
0_10_8.enum_plan.txt,0.238,NA,2215276996731.0,NA,NA
0_10_9.enum_plan.txt,0.149,NA,1471505209814.0,NA,NA
0_11_1.enum_plan.txt,0.198,NA,1114747149158.0,NA,NA
0_11_10.enum_plan.txt,0.317,NA,1444514448518.0,NA,NA
0_11_2.enum_plan.txt,0.205,NA,2199859875740.0,NA,NA
0_11_3.enum_plan.txt,0.191,NA,1651020873655.0,NA,NA
0_11_4.enum_plan.txt,0.204,NA,513985603422.0,NA,NA
0_11_5.enum_plan.txt,0.218,NA,1681991274391.0,NA,NA
0_11_6.enum_plan.txt,0.099,NA,1362660023647.0,NA,NA
0_11_7.enum_plan.txt,0.257,NA,2111001786183.0,NA,NA
0_11_8.enum_plan.txt,0.135,NA,1684815492144.0,NA,NA
0_11_9.enum_plan.txt,0.348,NA,1754490309843.0,NA,NA
0_12_1.enum_plan.txt,0.356,NA,2186877726008.0,NA,NA
0_12_10.enum_plan.txt,0.396,NA,2588097478750.0,NA,NA
0_12_2.enum_plan.txt,0.724,NA,2719963065810.0,NA,NA
0_12_3.enum_plan.txt,0.358,NA,1532260184436.0,NA,NA
0_12_4.enum_plan.txt,0.273,NA,1795588458651.0,NA,NA
0_12_5.enum_plan.txt,0.313,NA,1823699261145.0,NA,NA
0_12_6.enum_plan.txt,0.231,NA,1891834872734.0,NA,NA
0_12_7.enum_plan.txt,0.356,NA,2109155435542.0,NA,NA
0_12_8.enum_plan.txt,0.298,NA,1054494422297.0,NA,NA
0_12_9.enum_plan.txt,0.452,NA,1599504473023.0,NA,NA
0_13_1.enum_plan.txt,0.178,NA,1903673938212.0,NA,NA
0_13_10.enum_plan.txt,0.391,NA,2425811670335.0,NA,NA
0_13_2.enum_plan.txt,0.488,NA,2077661822121.0,NA,NA
0_13_3.enum_plan.txt,0.653,NA,2163059823228.0,NA,NA
0_13_4.enum_plan.txt,0.264,NA,2008895058411.0,NA,NA
0_13_5.enum_plan.txt,0.535,NA,1712633634038.0,NA,NA
0_13_6.enum_plan.txt,0.303,NA,2859651094219.0,NA,NA
0_13_7.enum_plan.txt,0.456,NA,1451142345632.0,NA,NA
0_13_8.enum_plan.txt,0.461,NA,1776103001972.0,NA,NA
0_13_9.enum_plan.txt,0.531,NA,1831443133569.0,NA,NA
0_14_1.enum_plan.txt,0.556,NA,2069373867665.0,NA,NA
0_14_10.enum_plan.txt,0.72,NA,2221938275745.0,NA,NA
0_14_2.enum_plan.txt,0.495,NA,1660702682018.0,NA,NA
0_14_3.enum_plan.txt,0.664,NA,1524500469129.0,NA,NA
0_14_4.enum_plan.txt,0.496,NA,2516900178775.0,NA,NA
0_14_5.enum_plan.txt,0.446,NA,1594002464770.0,NA,NA
0_14_6.enum_plan.txt,0.541,NA,1982851157605.0,NA,NA
0_14_7.enum_plan.txt,0.55,NA,1598045434589.0,NA,NA
0_14_8.enum_plan.txt,0.358,NA,2210661067620.0,NA,NA
0_14_9.enum_plan.txt,0.555,NA,1934122045242.0,NA,NA
0_15_1.enum_plan.txt,1.142,NA,2903377723630.0,NA,NA
0_15_10.enum_plan.txt,1.081,NA,2153251167950.0,NA,NA
0_15_2.enum_plan.txt,1.144,NA,2485184556782.0,NA,NA
0_15_3.enum_plan.txt,0.741,NA,2551352113994.0,NA,NA
0_15_4.enum_plan.txt,0.961,NA,2159213899341.0,NA,NA
0_15_5.enum_plan.txt,0.58,NA,2507195595066.0,NA,NA
0_15_6.enum_plan.txt,0.881,NA,2610945765193.0,NA,NA
0_15_7.enum_plan.txt,1.215,NA,2483893426576.0,NA,NA
0_15_8.enum_plan.txt,0.913,NA,2711074619084.0,NA,NA
0_15_9.enum_plan.txt,0.535,NA,2659252161185.0,NA,NA
0_16_1.enum_plan.txt,4.629,NA,2910484591313.0,NA,NA
0_16_10.enum_plan.txt,1.109,NA,2633112514185.0,NA,NA
0_16_2.enum_plan.txt,5.589,NA,2242450661053.0,NA,NA
0_16_3.enum_plan.txt,2.818,NA,3468081362705.0,NA,NA
0_16_4.enum_plan.txt,8.12,NA,2425667714416.0,NA,NA
0_16_5.enum_plan.txt,1.616,NA,2552542925595.0,NA,NA
0_16_6.enum_plan.txt,2.048,NA,2210651650675.0,NA,NA
0_16_7.enum_plan.txt,2.734,NA,1959827763633.0,NA,NA
0_16_8.enum_plan.txt,7.475,NA,2058820796003.0,NA,NA
0_16_9.enum_plan.txt,5.188,NA,2944648310385.0,NA,NA
0_17_1.enum_plan.txt,5.027,NA,2480834776705.0,NA,NA
0_17_10.enum_plan.txt,9.706,NA,3028535439750.0,NA,NA
0_17_2.enum_plan.txt,9.852,NA,2544549308817.0,NA,NA
0_17_3.enum_plan.txt,4.774,NA,2357084810615.0,NA,NA
0_17_4.enum_plan.txt,7.686,NA,2303765752674.0,NA,NA
0_17_5.enum_plan.txt,2.267,NA,2330857386740.0,NA,NA
0_17_6.enum_plan.txt,5.3,NA,3488196072112.0,NA,NA
0_17_7.enum_plan.txt,5.873,NA,2222457300092.0,NA,NA
0_17_8.enum_plan.txt,3.969,NA,2424468170432.0,NA,NA
0_17_9.enum_plan.txt,2.668,NA,2513781619948.0,NA,NA
0_18_1.enum_plan.txt,18.093,NA,3004232761223.0,NA,NA
0_18_10.enum_plan.txt,11.629,NA,2783706593051.0,NA,NA
0_18_2.enum_plan.txt,7.204,NA,1795816576584.0,NA,NA
0_18_3.enum_plan.txt,1.877,NA,1856086499943.0,NA,NA
0_18_4.enum_plan.txt,12.946,NA,3627145371393.0,NA,NA
0_18_5.enum_plan.txt,21.606,NA,2771374867275.0,NA,NA
0_18_6.enum_plan.txt,14.975,NA,2371303514427.0,NA,NA
0_18_7.enum_plan.txt,54.847,NA,2487975707650.0,NA,NA
0_18_8.enum_plan.txt,19.969,NA,2019378075117.0,NA,NA
0_18_9.enum_plan.txt,2.136,NA,3064078659117.0,NA,NA
0_19_1.enum_plan.txt,23.539,NA,3602523681315.0,NA,NA
0_19_10.enum_plan.txt,25.549,NA,2834963053509.0,NA,NA
0_19_2.enum_plan.txt,22.349,NA,3901969127981.0,NA,NA
0_19_3.enum_plan.txt,16.65,NA,2809831860519.0,NA,NA
0_19_4.enum_plan.txt,21.115,NA,3991860142835.0,NA,NA
0_19_5.enum_plan.txt,9.032,NA,2796533232539.0,NA,NA
0_19_6.enum_plan.txt,10.696,NA,3211894702890.0,NA,NA
0_19_7.enum_plan.txt,2.912,NA,3050118859608.0,NA,NA
0_19_8.enum_plan.txt,3.575,NA,2295314127503.0,NA,NA
0_19_9.enum_plan.txt,22.578,NA,2807037475953.0,NA,NA
0_20_1.enum_plan.txt,12.949,NA,3982577415004.0,NA,NA
0_20_10.enum_plan.txt,37.15,NA,3286369349359.0,NA,NA
0_20_2.enum_plan.txt,33.099,NA,2671199083796.0,NA,NA
0_20_3.enum_plan.txt,49.231,NA,3614126798208.0,NA,NA
0_20_4.enum_plan.txt,19.937,NA,2368794381970.0,NA,NA
0_20_5.enum_plan.txt,12.248,NA,3869954422611.0,NA,NA
0_20_6.enum_plan.txt,12.925,NA,3129249334396.0,NA,NA
0_20_7.enum_plan.txt,3.2,NA,2701974891159.0,NA,NA
0_20_8.enum_plan.txt,6.401,NA,3185212667617.0,NA,NA
0_20_9.enum_plan.txt,40.67,NA,2893677312913.0,NA,NA
0_21_1.enum_plan.txt,9.628,NA,3428969366145.0,NA,NA
0_21_10.enum_plan.txt,32.165,NA,3159361405085.0,NA,NA
0_21_2.enum_plan.txt,51.924,NA,2976623734130.0,NA,NA
0_21_3.enum_plan.txt,198.612,NA,2991635128355.0,NA,NA
0_21_4.enum_plan.txt,25.755,NA,2523035766506.0,NA,NA
0_21_5.enum_plan.txt,48.743,NA,3988103582954.0,NA,NA
0_21_6.enum_plan.txt,42.321,NA,2794901550288.0,NA,NA
0_21_7.enum_plan.txt,16.772,NA,2658711788835.0,NA,NA
0_21_8.enum_plan.txt,51.818,NA,4357469891578.0,NA,NA
0_21_9.enum_plan.txt,15.65,NA,1358713053610.0,NA,NA
0_22_1.enum_plan.txt,32.582,NA,2399382736364.0,NA,NA
0_22_10.enum_plan.txt,25.664,NA,2410342590419.0,NA,NA
0_22_2.enum_plan.txt,10.352,NA,4816189139284.0,NA,NA
0_22_3.enum_plan.txt,13.802,NA,3136569100084.0,NA,NA
0_22_4.enum_plan.txt,82.659,NA,2275767671081.0,NA,NA
0_22_5.enum_plan.txt,27.229,NA,5201967704799.0,NA,NA
0_22_6.enum_plan.txt,82.078,NA,4041373440041.0,NA,NA
0_22_7.enum_plan.txt,27.338,NA,2469573497673.0,NA,NA
0_22_8.enum_plan.txt,305.431,NA,4053956134727.0,NA,NA
0_22_9.enum_plan.txt,29.377,NA,3177543357180.0,NA,NA
0_23_1.enum_plan.txt,34.557,NA,4545445853760.0,NA,NA
0_23_10.enum_plan.txt,16.864,NA,2530937325644.0,NA,NA
0_23_2.enum_plan.txt,235.362,NA,3996422102326.0,NA,NA
0_23_3.enum_plan.txt,32.981,NA,2979827178216.0,NA,NA
0_23_4.enum_plan.txt,294.347,NA,3541837879392.0,NA,NA
0_23_5.enum_plan.txt,140.922,NA,3597551941481.0,NA,NA
0_23_6.enum_plan.txt,68.559,NA,3492202630672.0,NA,NA
0_23_7.enum_plan.txt,342.204,NA,4110977957993.0,NA,NA
0_23_8.enum_plan.txt,117.528,NA,3928572209721.0,NA,NA
0_23_9.enum_plan.txt,133.751,NA,3042833734076.0,NA,NA
0_24_1.enum_plan.txt,12.928,NA,3088217602258.0,NA,NA
0_24_10.enum_plan.txt,161.232,NA,3190590477404.0,NA,NA
0_24_2.enum_plan.txt,58.409,NA,4467331535123.0,NA,NA
0_24_3.enum_plan.txt,90.716,NA,3120715375789.0,NA,NA
0_24_4.enum_plan.txt,110.133,NA,3956938238418.0,NA,NA
0_24_5.enum_plan.txt,36.278,NA,3481876468729.0,NA,NA
0_24_6.enum_plan.txt,1980.2,NA,3843184859075.0,NA,NA
0_24_7.enum_plan.txt,239.647,NA,3537935820678.0,NA,NA
0_24_8.enum_plan.txt,43.396,NA,4123301175694.0,NA,NA
0_24_9.enum_plan.txt,130.986,NA,3278689673424.0,NA,NA
0_25_1.enum_plan.txt,95.453,NA,4216894886877.0,NA,NA
0_25_10.enum_plan.txt,150.607,NA,2811541768806.0,NA,NA
0_25_2.enum_plan.txt,806.85,NA,4306523800652.0,NA,NA
0_25_3.enum_plan.txt,418.467,NA,3911462657272.0,NA,NA
0_25_4.enum_plan.txt,126.064,NA,5038392016254.0,NA,NA
0_25_5.enum_plan.txt,283.875,NA,2522077007269.0,NA,NA
0_25_6.enum_plan.txt,46.122,NA,3499512715317.0,NA,NA
0_25_7.enum_plan.txt,26.142,NA,2892376719038.0,NA,NA
0_25_8.enum_plan.txt,285.924,NA,4259956690422.0,NA,NA
0_25_9.enum_plan.txt,147.858,NA,2757762202218.0,NA,NA
0_26_1.enum_plan.txt,1591.94,NA,3745753661039.0,NA,NA
0_26_10.enum_plan.txt,422.336,NA,4939282162909.0,NA,NA
0_26_2.enum_plan.txt,689.989,NA,3854498821151.0,NA,NA
0_26_3.enum_plan.txt,1437.55,NA,4643157357802.0,NA,NA
0_26_4.enum_plan.txt,461.328,NA,3508386341890.0,NA,NA
0_26_5.enum_plan.txt,858.389,NA,4564197420092.0,NA,NA
0_26_6.enum_plan.txt,281.224,NA,4102990991785.0,NA,NA
0_26_7.enum_plan.txt,131.026,NA,3573862852920.0,NA,NA
0_26_8.enum_plan.txt,1535.67,NA,4687558764341.0,NA,NA
0_26_9.enum_plan.txt,310.247,NA,4203061295737.0,NA,NA
0_27_1.enum_plan.txt,128.711,NA,3958841926342.0,NA,NA
0_27_10.enum_plan.txt,155.785,NA,3793426783604.0,NA,NA
0_27_2.enum_plan.txt,153.946,NA,4224517127503.0,NA,NA
