query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,18.462,NA,1283415635655.0,NA,NA
0_10_10.enum_plan.txt,0.301,NA,2057754570419.0,NA,NA
0_10_2.enum_plan.txt,0.296,NA,1480389510495.0,NA,NA
0_10_3.enum_plan.txt,0.442,NA,1823650669195.0,NA,NA
0_10_4.enum_plan.txt,0.494,NA,1288841462210.0,NA,NA
0_10_5.enum_plan.txt,0.244,NA,1002674673757.0,NA,NA
0_10_6.enum_plan.txt,0.394,NA,1504200701566.0,NA,NA
0_10_7.enum_plan.txt,0.547,NA,2270798937212.0,NA,NA
0_10_8.enum_plan.txt,0.501,NA,1769894968156.0,NA,NA
0_10_9.enum_plan.txt,0.304,NA,1471505209814.0,NA,NA
0_11_1.enum_plan.txt,0.297,NA,457391688108.0,NA,NA
0_11_10.enum_plan.txt,0.212,NA,1301133214882.0,NA,NA
0_11_2.enum_plan.txt,0.65,NA,1882858101862.0,NA,NA
0_11_3.enum_plan.txt,0.519,NA,1601636750962.0,NA,NA
0_11_4.enum_plan.txt,0.291,NA,513985603422.0,NA,NA
0_11_5.enum_plan.txt,0.285,NA,1612569119569.0,NA,NA
0_11_6.enum_plan.txt,0.669,NA,1411154187433.0,NA,NA
0_11_7.enum_plan.txt,0.467,NA,2064648445457.0,NA,NA
0_11_8.enum_plan.txt,0.516,NA,1684815492144.0,NA,NA
0_11_9.enum_plan.txt,0.435,NA,1754490309843.0,NA,NA
0_12_1.enum_plan.txt,1.09,NA,2261262092340.0,NA,NA
0_12_10.enum_plan.txt,0.855,NA,2106508923055.0,NA,NA
0_12_2.enum_plan.txt,1.777,NA,2029310992988.0,NA,NA
0_12_3.enum_plan.txt,0.263,NA,1532260184436.0,NA,NA
0_12_4.enum_plan.txt,0.499,NA,1436225818670.0,NA,NA
0_12_5.enum_plan.txt,1.553,NA,1750935923856.0,NA,NA
0_12_6.enum_plan.txt,0.892,NA,1396203634672.0,NA,NA
0_12_7.enum_plan.txt,0.913,NA,1686577871756.0,NA,NA
0_12_8.enum_plan.txt,0.583,NA,1054494422297.0,NA,NA
0_12_9.enum_plan.txt,0.24,NA,1396251558973.0,NA,NA
0_13_1.enum_plan.txt,0.393,NA,1774970734922.0,NA,NA
0_13_10.enum_plan.txt,0.76,NA,2091896107810.0,NA,NA
0_13_2.enum_plan.txt,1.142,NA,2077661822121.0,NA,NA
0_13_3.enum_plan.txt,0.69,NA,2002549962472.0,NA,NA
0_13_4.enum_plan.txt,1.532,NA,2001617300191.0,NA,NA
0_13_5.enum_plan.txt,0.825,NA,1481581620646.0,NA,NA
0_13_6.enum_plan.txt,0.705,NA,2427377723013.0,NA,NA
0_13_7.enum_plan.txt,0.494,NA,1292426712941.0,NA,NA
0_13_8.enum_plan.txt,1.562,NA,1363859349809.0,NA,NA
0_13_9.enum_plan.txt,1.083,NA,1673901730368.0,NA,NA
0_14_1.enum_plan.txt,0.556,NA,1450327423971.0,NA,NA
0_14_10.enum_plan.txt,0.943,NA,2221938275745.0,NA,NA
0_14_2.enum_plan.txt,1.532,NA,1621886809009.0,NA,NA
0_14_3.enum_plan.txt,0.59,NA,1382151414807.0,NA,NA
0_14_4.enum_plan.txt,1.635,NA,2066849337892.0,NA,NA
0_14_5.enum_plan.txt,0.452,NA,1594002464770.0,NA,NA
0_14_6.enum_plan.txt,0.568,NA,1982851157605.0,NA,NA
0_14_7.enum_plan.txt,2.023,NA,1542508922107.0,NA,NA
0_14_8.enum_plan.txt,1.651,NA,1934961565525.0,NA,NA
0_14_9.enum_plan.txt,0.77,NA,1396160085488.0,NA,NA
0_15_1.enum_plan.txt,0.568,NA,2115987636344.0,NA,NA
0_15_10.enum_plan.txt,1.642,NA,2014316275420.0,NA,NA
0_15_2.enum_plan.txt,1.629,NA,2032929434026.0,NA,NA
0_15_3.enum_plan.txt,0.966,NA,1427784655165.0,NA,NA
0_15_4.enum_plan.txt,1.482,NA,2033742708971.0,NA,NA
0_15_5.enum_plan.txt,2.656,NA,1950952550254.0,NA,NA
0_15_6.enum_plan.txt,0.878,NA,1857280235584.0,NA,NA
0_15_7.enum_plan.txt,1.584,NA,2037935310698.0,NA,NA
0_15_8.enum_plan.txt,0.627,NA,1874199997878.0,NA,NA
0_15_9.enum_plan.txt,0.966,NA,1981122944973.0,NA,NA
0_16_1.enum_plan.txt,21.328,NA,2577351014476.0,NA,NA
0_16_10.enum_plan.txt,1.437,NA,1915163939724.0,NA,NA
0_16_2.enum_plan.txt,3.89,NA,2048911533136.0,NA,NA
0_16_3.enum_plan.txt,1.195,NA,1780920749107.0,NA,NA
0_16_4.enum_plan.txt,2.272,NA,2425667714416.0,NA,NA
0_16_5.enum_plan.txt,25.662,NA,2272125479559.0,NA,NA
0_16_6.enum_plan.txt,7.926,NA,2706512546065.0,NA,NA
0_16_7.enum_plan.txt,5.113,NA,1403654647842.0,NA,NA
0_16_8.enum_plan.txt,4.074,NA,2025920042358.0,NA,NA
0_16_9.enum_plan.txt,4.979,NA,2343757216507.0,NA,NA
0_17_1.enum_plan.txt,1.971,NA,2017347686725.0,NA,NA
0_17_10.enum_plan.txt,10.432,NA,2992617265789.0,NA,NA
0_17_2.enum_plan.txt,1.206,NA,2265036331544.0,NA,NA
0_17_3.enum_plan.txt,2.42,NA,2405377145784.0,NA,NA
0_17_4.enum_plan.txt,4.033,NA,2192827852508.0,NA,NA
0_17_5.enum_plan.txt,2.848,NA,1679564628007.0,NA,NA
0_17_6.enum_plan.txt,10.181,NA,2888720230648.0,NA,NA
0_17_7.enum_plan.txt,12.625,NA,1898015173669.0,NA,NA
0_17_8.enum_plan.txt,5.118,NA,1697597625877.0,NA,NA
0_17_9.enum_plan.txt,11.556,NA,2489878555912.0,NA,NA
0_18_1.enum_plan.txt,11.318,NA,2718786159673.0,NA,NA
0_18_10.enum_plan.txt,12.348,NA,2278501563284.0,NA,NA
0_18_2.enum_plan.txt,2.351,NA,1592820618674.0,NA,NA
0_18_3.enum_plan.txt,3.08,NA,1719259908119.0,NA,NA
0_18_4.enum_plan.txt,10.149,NA,2996580770516.0,NA,NA
0_18_5.enum_plan.txt,18.805,NA,2567986871802.0,NA,NA
0_18_6.enum_plan.txt,35.709,NA,1960195253275.0,NA,NA
0_18_7.enum_plan.txt,30.758,NA,2059851815166.0,NA,NA
0_18_8.enum_plan.txt,35.54,NA,1697169061170.0,NA,NA
0_18_9.enum_plan.txt,24.167,NA,2912897325408.0,NA,NA
0_19_1.enum_plan.txt,1.431,NA,2381768113499.0,NA,NA
0_19_10.enum_plan.txt,3.688,NA,2071617114190.0,NA,NA
0_19_2.enum_plan.txt,2.955,NA,3161528413461.0,NA,NA
0_19_3.enum_plan.txt,14.964,NA,2250224048684.0,NA,NA
0_19_4.enum_plan.txt,4.433,NA,2822204486075.0,NA,NA
0_19_5.enum_plan.txt,1.782,NA,3070700003884.0,NA,NA
0_19_6.enum_plan.txt,12.922,NA,2548033413308.0,NA,NA
0_19_7.enum_plan.txt,6.38,NA,2382698289106.0,NA,NA
0_19_8.enum_plan.txt,5.497,NA,1651123223526.0,NA,NA
0_19_9.enum_plan.txt,9.683,NA,2570171086135.0,NA,NA
0_20_1.enum_plan.txt,40.858,NA,2735235501631.0,NA,NA
0_20_10.enum_plan.txt,3.319,NA,2345558457278.0,NA,NA
0_20_2.enum_plan.txt,5.926,NA,2227912488083.0,NA,NA
0_20_3.enum_plan.txt,4.493,NA,2902496424437.0,NA,NA
0_20_4.enum_plan.txt,50.862,NA,2169968135030.0,NA,NA
0_20_5.enum_plan.txt,3.682,NA,3134012722498.0,NA,NA
0_20_6.enum_plan.txt,23.672,NA,3197688845899.0,NA,NA
0_20_7.enum_plan.txt,8.245,NA,2088987205974.0,NA,NA
0_20_8.enum_plan.txt,17.166,NA,3042148744030.0,NA,NA
0_20_9.enum_plan.txt,82.62,NA,2246876797707.0,NA,NA
0_21_1.enum_plan.txt,13.418,NA,1986259624492.0,NA,NA
0_21_10.enum_plan.txt,3.874,NA,2500035885390.0,NA,NA
0_21_2.enum_plan.txt,11.54,NA,3088512187595.0,NA,NA
0_21_3.enum_plan.txt,5.503,NA,2494476660020.0,NA,NA
0_21_4.enum_plan.txt,4.801,NA,2362071994272.0,NA,NA
0_21_5.enum_plan.txt,39.473,NA,2913965420472.0,NA,NA
0_21_6.enum_plan.txt,32.182,NA,2269207379013.0,NA,NA
0_21_7.enum_plan.txt,16.727,NA,3466829330779.0,NA,NA
0_21_8.enum_plan.txt,5.798,NA,3053204845090.0,NA,NA
0_21_9.enum_plan.txt,8.09,NA,1475770291137.0,NA,NA
0_22_1.enum_plan.txt,6.655,NA,2081206182749.0,NA,NA
0_22_10.enum_plan.txt,65.626,NA,2279854531875.0,NA,NA
0_22_2.enum_plan.txt,85.914,NA,4141532234069.0,NA,NA
0_22_3.enum_plan.txt,2.092,NA,3016393957973.0,NA,NA
0_22_4.enum_plan.txt,13.097,NA,1913733184794.0,NA,NA
0_22_5.enum_plan.txt,18.649,NA,3399165412491.0,NA,NA
0_22_6.enum_plan.txt,7.975,NA,2437074915124.0,NA,NA
0_22_7.enum_plan.txt,12.254,NA,2211223755200.0,NA,NA
0_22_8.enum_plan.txt,195.093,NA,3507453495392.0,NA,NA
0_22_9.enum_plan.txt,117.001,NA,3175928123680.0,NA,NA
0_23_1.enum_plan.txt,10.668,NA,2688494478441.0,NA,NA
0_23_10.enum_plan.txt,138.502,NA,2516293621549.0,NA,NA
0_23_2.enum_plan.txt,144.901,NA,3098354596870.0,NA,NA
0_23_3.enum_plan.txt,8.139,NA,2261363821050.0,NA,NA
0_23_4.enum_plan.txt,14.182,NA,2797714513182.0,NA,NA
0_23_5.enum_plan.txt,7.654,NA,2806989465698.0,NA,NA
0_23_6.enum_plan.txt,287.869,NA,2972288266968.0,NA,NA
0_23_7.enum_plan.txt,159.313,NA,3251928534005.0,NA,NA
0_23_8.enum_plan.txt,88.66,NA,3285909339923.0,NA,NA
0_23_9.enum_plan.txt,119.904,NA,3038556633443.0,NA,NA
0_24_1.enum_plan.txt,18.135,NA,2053724774863.0,NA,NA
0_24_10.enum_plan.txt,22.708,NA,2489029809514.0,NA,NA
0_24_2.enum_plan.txt,17.871,NA,3078434017066.0,NA,NA
