query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,0.07,NA,3327030090623.0,NA,NA
0_10_10.enum_plan.txt,0.052,NA,3961223499994.0,NA,NA
0_10_2.enum_plan.txt,0.073,NA,2112207848197.0,NA,NA
0_10_3.enum_plan.txt,0.068,NA,3870200333350.0,NA,NA
0_10_4.enum_plan.txt,0.049,NA,1540087024614.0,NA,NA
0_10_5.enum_plan.txt,0.049,NA,3452533524762.0,NA,NA
0_10_6.enum_plan.txt,0.068,NA,3381466782621.0,NA,NA
0_10_7.enum_plan.txt,0.053,NA,4522531732587.0,NA,NA
0_10_8.enum_plan.txt,0.053,NA,4019734801391.0,NA,NA
0_10_9.enum_plan.txt,0.057,NA,2778135150084.0,NA,NA
0_11_1.enum_plan.txt,0.066,NA,2795257270585.0,NA,NA
0_11_10.enum_plan.txt,0.068,NA,3373191728036.0,NA,NA
0_11_2.enum_plan.txt,0.063,NA,3618048255646.0,NA,NA
0_11_3.enum_plan.txt,0.063,NA,3412673320304.0,NA,NA
0_11_4.enum_plan.txt,0.063,NA,3110359938528.0,NA,NA
0_11_5.enum_plan.txt,0.064,NA,3609337533838.0,NA,NA
0_11_6.enum_plan.txt,0.064,NA,2795422355641.0,NA,NA
0_11_7.enum_plan.txt,0.073,NA,3287932299047.0,NA,NA
0_11_8.enum_plan.txt,0.067,NA,3277691060748.0,NA,NA
0_11_9.enum_plan.txt,0.063,NA,3911136574060.0,NA,NA
0_12_1.enum_plan.txt,0.087,NA,3437117927476.0,NA,NA
0_12_10.enum_plan.txt,0.087,NA,4499458799402.0,NA,NA
0_12_2.enum_plan.txt,0.084,NA,3406371562671.0,NA,NA
0_12_3.enum_plan.txt,0.087,NA,4583138008123.0,NA,NA
0_12_4.enum_plan.txt,0.081,NA,3702485541737.0,NA,NA
0_12_5.enum_plan.txt,0.084,NA,4642953240398.0,NA,NA
0_12_6.enum_plan.txt,0.082,NA,3186604762316.0,NA,NA
0_12_7.enum_plan.txt,0.084,NA,4392898971065.0,NA,NA
0_12_8.enum_plan.txt,0.081,NA,2658612696137.0,NA,NA
0_12_9.enum_plan.txt,0.091,NA,4245881802700.0,NA,NA
0_13_1.enum_plan.txt,0.108,NA,5122518919622.0,NA,NA
0_13_10.enum_plan.txt,0.135,NA,4589219725930.0,NA,NA
0_13_2.enum_plan.txt,0.107,NA,5906049727769.0,NA,NA
0_13_3.enum_plan.txt,0.109,NA,5265606860164.0,NA,NA
0_13_4.enum_plan.txt,0.111,NA,5635139085497.0,NA,NA
0_13_5.enum_plan.txt,0.104,NA,3658491485879.0,NA,NA
0_13_6.enum_plan.txt,0.108,NA,5917566129808.0,NA,NA
0_13_7.enum_plan.txt,0.113,NA,4269856132256.0,NA,NA
0_13_8.enum_plan.txt,0.107,NA,3665899540079.0,NA,NA
0_13_9.enum_plan.txt,0.122,NA,4610370979574.0,NA,NA
0_14_1.enum_plan.txt,0.182,NA,4730359072104.0,NA,NA
0_14_10.enum_plan.txt,0.132,NA,5758525197848.0,NA,NA
0_14_2.enum_plan.txt,0.173,NA,3759695068353.0,NA,NA
0_14_3.enum_plan.txt,0.135,NA,5318779353537.0,NA,NA
0_14_4.enum_plan.txt,0.141,NA,4223125828816.0,NA,NA
0_14_5.enum_plan.txt,0.134,NA,4308130393674.0,NA,NA
0_14_6.enum_plan.txt,0.137,NA,6105304393291.0,NA,NA
0_14_7.enum_plan.txt,0.134,NA,4689259165741.0,NA,NA
0_14_8.enum_plan.txt,0.173,NA,4825242139878.0,NA,NA
0_14_9.enum_plan.txt,0.141,NA,4644300395868.0,NA,NA
0_15_1.enum_plan.txt,0.171,NA,5955238076873.0,NA,NA
0_15_10.enum_plan.txt,0.167,NA,5102102291708.0,NA,NA
0_15_2.enum_plan.txt,0.167,NA,5584348901578.0,NA,NA
0_15_3.enum_plan.txt,0.167,NA,5122966721321.0,NA,NA
0_15_4.enum_plan.txt,0.168,NA,5471193576752.0,NA,NA
0_15_5.enum_plan.txt,0.196,NA,4821806144825.0,NA,NA
0_15_6.enum_plan.txt,0.162,NA,5986234912914.0,NA,NA
0_15_7.enum_plan.txt,0.188,NA,6357724902399.0,NA,NA
