query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1,0.00262,1499377550241,1499377550241,R7-R8 R3-R4 R0-R1 R5-R6 R6-R7 R4-R5 R2-R3 R1-R2 R8-R9,
0_10_10,0.00233,2358806416502,2358806416502,R1-R2 R3-R4 R8-R9 R6-R7 R7-R8 R0-R1 R5-R6 R2-R3 R4-R5,
0_10_2,0.00245,1410956231576,1410956231576,R1-R2 R6-R7 R8-R9 R4-R5 R2-R3 R7-R8 R0-R1 R3-R4 R5-R6,
0_10_3,0.00237,1949689377669,1949689377669,R5-R6 R2-R3 R0-R1 R7-R8 R6-R7 R4-R5 R3-R4 R1-R2 R8-R9,
0_10_4,0.00228,1367437798296,1367437798296,R1-R2 R5-R6 R7-R8 R8-R9 R6-R7 R3-R4 R4-R5 R2-R3 R0-R1,
0_10_5,0.00238,1002674673757,1002674673757,R4-R5 R2-R3 R8-R9 R0-R1 R6-R7 R5-R6 R3-R4 R7-R8 R1-R2,
0_10_6,0.00243,1926389384598,1926389384598,R7-R8 R0-R1 R2-R3 R1-R2 R4-R5 R6-R7 R5-R6 R8-R9 R3-R4,
0_10_7,0.00231,2270798937212,2270798937212,R0-R1 R6-R7 R2-R3 R8-R9 R7-R8 R3-R4 R4-R5 R1-R2 R5-R6,
0_10_8,0.00245,1794514051963,1794514051963,R5-R6 R0-R1 R8-R9 R3-R4 R4-R5 R7-R8 R1-R2 R2-R3 R6-R7,
0_10_9,0.00248,1471505209814,1471505209814,R5-R6 R3-R4 R1-R2 R2-R3 R7-R8 R6-R7 R4-R5 R0-R1 R8-R9,
0_11_1,0.00295,850886472329,850886472329,R3-R4 R7-R8 R0-R1 R10-R9 R6-R7 R5-R6 R1-R2 R2-R3 R4-R5 R8-R9,
0_11_10,0.00297,1365145371914,1365145371914,R2-R3 R10-R9 R0-R1 R6-R7 R7-R8 R8-R9 R4-R5 R3-R4 R1-R2 R5-R6,
0_11_2,0.00314,2293340066010,2293340066010,R7-R8 R5-R6 R3-R4 R1-R2 R4-R5 R8-R9 R0-R1 R2-R3 R6-R7 R10-R9,
0_11_3,0.00296,1616104939691,1616104939691,R5-R6 R10-R9 R3-R4 R4-R5 R2-R3 R7-R8 R6-R7 R0-R1 R1-R2 R8-R9,
0_11_4,0.00296,513985603422,513985603422,R6-R7 R10-R9 R2-R3 R0-R1 R1-R2 R3-R4 R8-R9 R5-R6 R7-R8 R4-R5,
0_11_5,0.0029,1640328337995,1640328337995,R2-R3 R5-R6 R10-R9 R7-R8 R8-R9 R6-R7 R0-R1 R1-R2 R3-R4 R4-R5,
0_11_6,0.00307,1359969364212,1359969364212,R3-R4 R5-R6 R8-R9 R1-R2 R2-R3 R7-R8 R6-R7 R10-R9 R4-R5 R0-R1,
0_11_7,0.00312,2064648445457,2064648445457,R7-R8 R5-R6 R1-R2 R3-R4 R10-R9 R0-R1 R2-R3 R6-R7 R8-R9 R4-R5,
0_11_8,0.00305,1684815492144,1684815492144,R1-R2 R4-R5 R6-R7 R8-R9 R5-R6 R3-R4 R10-R9 R7-R8 R2-R3 R0-R1,
0_11_9,0.00316,2214050157658,2214050157658,R3-R4 R8-R9 R2-R3 R6-R7 R5-R6 R4-R5 R10-R9 R0-R1 R7-R8 R1-R2,
0_12_1,0.00353,2289102962868,2289102962868,R5-R6 R0-R1 R8-R9 R1-R2 R4-R5 R3-R4 R2-R3 R6-R7 R10-R11 R7-R8 R10-R9,
0_12_10,0.00378,2240431447080,2240431447080,R4-R5 R7-R8 R0-R1 R2-R3 R10-R9 R10-R11 R6-R7 R5-R6 R3-R4 R8-R9 R1-R2,
0_12_2,0.00384,2120774449793,2120774449793,R3-R4 R7-R8 R0-R1 R1-R2 R10-R9 R4-R5 R2-R3 R5-R6 R8-R9 R6-R7 R10-R11,
0_12_3,0.00364,1532260184436,1532260184436,R0-R1 R7-R8 R5-R6 R3-R4 R2-R3 R10-R9 R8-R9 R10-R11 R6-R7 R4-R5 R1-R2,
0_12_4,0.00367,1890371093448,1890371093448,R5-R6 R2-R3 R0-R1 R4-R5 R10-R9 R7-R8 R8-R9 R10-R11 R1-R2 R3-R4 R6-R7,
0_12_5,0.00379,1824555374075,1824555374075,R0-R1 R6-R7 R2-R3 R4-R5 R8-R9 R1-R2 R3-R4 R5-R6 R7-R8 R10-R11 R10-R9,
0_12_6,0.00373,1822208255799,1822208255799,R7-R8 R10-R11 R1-R2 R3-R4 R6-R7 R2-R3 R4-R5 R0-R1 R5-R6 R10-R9 R8-R9,
0_12_7,0.00393,1882891841036,1882891841036,R7-R8 R10-R9 R2-R3 R4-R5 R5-R6 R6-R7 R8-R9 R3-R4 R10-R11 R0-R1 R1-R2,
0_12_8,0.0038,1054494422297,1054494422297,R2-R3 R4-R5 R10-R11 R6-R7 R8-R9 R1-R2 R3-R4 R5-R6 R0-R1 R7-R8 R10-R9,
0_12_9,0.00373,1396251558973,1396251558973,R2-R3 R6-R7 R7-R8 R0-R1 R4-R5 R3-R4 R10-R11 R10-R9 R8-R9 R1-R2 R5-R6,
0_13_1,0.00476,2065670692249,2065670692249,R4-R5 R0-R1 R7-R8 R2-R3 R3-R4 R6-R7 R10-R9 R10-R11 R8-R9 R11-R12 R5-R6 R1-R2,
0_13_10,0.0048,2856729415867,2856729415867,R7-R8 R2-R3 R5-R6 R0-R1 R10-R11 R10-R9 R6-R7 R11-R12 R8-R9 R3-R4 R1-R2 R4-R5,
0_13_2,0.0044,2077661822121,2077661822121,R7-R8 R0-R1 R2-R3 R1-R2 R11-R12 R6-R7 R8-R9 R4-R5 R5-R6 R3-R4 R10-R9 R10-R11,
0_13_3,0.01404,2200685102600,2200685102600,R7-R8 R0-R1 R10-R9 R2-R3 R4-R5 R6-R7 R8-R9 R3-R4 R11-R12 R10-R11 R5-R6 R1-R2,
0_13_4,0.00452,2001617300191,2001617300191,R2-R3 R7-R8 R10-R9 R4-R5 R0-R1 R3-R4 R5-R6 R11-R12 R6-R7 R8-R9 R1-R2 R10-R11,
0_13_5,0.00459,1352997541524,1352997541524,R2-R3 R7-R8 R4-R5 R5-R6 R11-R12 R10-R9 R8-R9 R0-R1 R6-R7 R1-R2 R3-R4 R10-R11,
0_13_6,0.00466,2852456056875,2852456056875,R5-R6 R3-R4 R4-R5 R8-R9 R1-R2 R10-R11 R7-R8 R6-R7 R2-R3 R0-R1 R10-R9 R11-R12,
0_13_7,0.00444,1403062374466,1403062374466,R7-R8 R3-R4 R11-R12 R10-R11 R1-R2 R2-R3 R4-R5 R5-R6 R6-R7 R0-R1 R8-R9 R10-R9,
0_13_8,0.00456,1452720901460,1452720901460,R5-R6 R1-R2 R3-R4 R2-R3 R4-R5 R10-R9 R0-R1 R6-R7 R7-R8 R8-R9 R10-R11 R11-R12,
0_13_9,0.00448,1673901730368,1673901730368,R6-R7 R0-R1 R3-R4 R4-R5 R10-R9 R10-R11 R8-R9 R2-R3 R11-R12 R7-R8 R5-R6 R1-R2,
0_14_1,0.0057,1725023664560,1725023664560,R7-R8 R4-R5 R0-R1 R5-R6 R11-R12 R10-R9 R3-R4 R2-R3 R6-R7 R8-R9 R1-R2 R10-R11 R12-R13,
0_14_10,0.00543,2221938275745,2221938275745,R11-R12 R8-R9 R7-R8 R0-R1 R10-R11 R2-R3 R3-R4 R5-R6 R1-R2 R12-R13 R10-R9 R4-R5 R6-R7,
0_14_2,0.0054,1660702682018,1660702682018,R3-R4 R4-R5 R5-R6 R6-R7 R2-R3 R10-R9 R10-R11 R12-R13 R0-R1 R1-R2 R7-R8 R8-R9 R11-R12,
0_14_3,0.0058,1382151414807,1382151414807,R7-R8 R12-R13 R10-R11 R5-R6 R6-R7 R3-R4 R4-R5 R2-R3 R8-R9 R1-R2 R10-R9 R0-R1 R11-R12,
0_14_4,0.0053,2388416310116,2388416310116,R8-R9 R12-R13 R2-R3 R0-R1 R5-R6 R4-R5 R10-R11 R10-R9 R11-R12 R7-R8 R6-R7 R3-R4 R1-R2,
0_14_5,0.00535,1643291129877,1643291129877,R5-R6 R2-R3 R10-R11 R8-R9 R3-R4 R4-R5 R0-R1 R10-R9 R11-R12 R12-R13 R7-R8 R6-R7 R1-R2,
0_14_6,0.00561,1982851157605,1982851157605,R1-R2 R5-R6 R8-R9 R3-R4 R2-R3 R12-R13 R10-R11 R6-R7 R4-R5 R10-R9 R0-R1 R11-R12 R7-R8,
0_14_7,0.00525,1598045434589,1598045434589,R6-R7 R0-R1 R3-R4 R12-R13 R10-R11 R4-R5 R5-R6 R2-R3 R7-R8 R1-R2 R8-R9 R10-R9 R11-R12,
0_14_8,0.00587,2190711777517,2190711777517,R5-R6 R10-R11 R11-R12 R8-R9 R0-R1 R3-R4 R4-R5 R10-R9 R2-R3 R6-R7 R7-R8 R1-R2 R12-R13,
0_14_9,0.00576,1558194957381,1558194957381,R5-R6 R8-R9 R3-R4 R2-R3 R11-R12 R0-R1 R10-R9 R7-R8 R4-R5 R6-R7 R12-R13 R10-R11 R1-R2,
