query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1,0.00023,2233538622513,2233538622513,R3-R4 R8-R9 R0-R1 R5-R6 R6-R7 R4-R5 R7-R8 R2-R3 R1-R2,
0_10_10,0.00019,2433188318536,2433188318536,R3-R4 R8-R9 R2-R3 R6-R7 R7-R8 R0-R1 R5-R6 R4-R5 R1-R2,
0_10_2,0.00023,1546853406632,1546853406632,R0-R1 R6-R7 R8-R9 R4-R5 R7-R8 R3-R4 R2-R3 R1-R2 R5-R6,
0_10_3,0.00025,2755857380883,2755857380883,R2-R3 R0-R1 R6-R7 R4-R5 R8-R9 R7-R8 R5-R6 R3-R4 R1-R2,
0_10_4,0.00023,1405679191635,1405679191635,R5-R6 R7-R8 R2-R3 R0-R1 R8-R9 R6-R7 R4-R5 R3-R4 R1-R2,
0_10_5,0.00021,1984354946522,1984354946522,R2-R3 R8-R9 R0-R1 R5-R6 R3-R4 R1-R2 R6-R7 R4-R5 R7-R8,
0_10_6,0.00026,1926389384598,1926389384598,R7-R8 R0-R1 R2-R3 R1-R2 R4-R5 R6-R7 R5-R6 R8-R9 R3-R4,
0_10_7,0.0003,3672764929286,3672764929286,R6-R7 R1-R2 R8-R9 R7-R8 R2-R3 R4-R5 R5-R6 R3-R4 R0-R1,
0_10_8,0.00025,2215276996731,2215276996731,R0-R1 R8-R9 R4-R5 R2-R3 R6-R7 R3-R4 R5-R6 R1-R2 R7-R8,
0_10_9,0.00027,1471505209814,1471505209814,R5-R6 R3-R4 R1-R2 R2-R3 R7-R8 R6-R7 R4-R5 R0-R1 R8-R9,
0_11_1,0.00027,1248747715551,1248747715551,R7-R8 R4-R5 R0-R1 R2-R3 R10-R9 R6-R7 R8-R9 R5-R6 R3-R4 R1-R2,
0_11_10,0.00024,1444514448518,1444514448518,R10-R9 R1-R2 R6-R7 R7-R8 R8-R9 R3-R4 R5-R6 R4-R5 R0-R1 R2-R3,
0_11_2,0.00026,2808118392532,2808118392532,R5-R6 R3-R4 R8-R9 R1-R2 R6-R7 R7-R8 R0-R1 R10-R9 R4-R5 R2-R3,
0_11_3,0.00027,1884944628292,1884944628292,R10-R9 R4-R5 R6-R7 R0-R1 R1-R2 R2-R3 R7-R8 R5-R6 R3-R4 R8-R9,
0_11_4,0.00023,513985603422,513985603422,R6-R7 R10-R9 R2-R3 R0-R1 R1-R2 R3-R4 R8-R9 R5-R6 R7-R8 R4-R5,
0_11_5,0.00024,1927889823460,1927889823460,R5-R6 R3-R4 R10-R9 R7-R8 R4-R5 R8-R9 R6-R7 R0-R1 R2-R3 R1-R2,
0_11_6,0.00028,1370873331736,1370873331736,R4-R5 R5-R6 R8-R9 R2-R3 R0-R1 R1-R2 R7-R8 R6-R7 R3-R4 R10-R9,
0_11_7,0.00028,2219354638418,2219354638418,R5-R6 R1-R2 R8-R9 R3-R4 R6-R7 R4-R5 R7-R8 R0-R1 R2-R3 R10-R9,
0_11_8,0.00029,1840890328232,1840890328232,R4-R5 R0-R1 R6-R7 R8-R9 R5-R6 R3-R4 R10-R9 R7-R8 R1-R2 R2-R3,
0_11_9,0.00028,2591708547112,2591708547112,R8-R9 R6-R7 R5-R6 R2-R3 R1-R2 R10-R9 R4-R5 R0-R1 R3-R4 R7-R8,
0_12_1,0.00029,2341622341826,2341622341826,R0-R1 R6-R7 R8-R9 R1-R2 R5-R6 R3-R4 R10-R11 R2-R3 R4-R5 R7-R8 R10-R9,
0_12_10,0.00034,2240431447080,2240431447080,R4-R5 R7-R8 R0-R1 R2-R3 R10-R9 R10-R11 R6-R7 R5-R6 R3-R4 R8-R9 R1-R2,
0_12_2,0.0003,2751087383297,2751087383297,R7-R8 R0-R1 R2-R3 R10-R9 R4-R5 R5-R6 R8-R9 R6-R7 R10-R11 R3-R4 R1-R2,
0_12_3,0.00031,1532260184436,1532260184436,R0-R1 R7-R8 R5-R6 R3-R4 R2-R3 R10-R9 R8-R9 R10-R11 R6-R7 R4-R5 R1-R2,
0_12_4,0.00032,1890371093448,1890371093448,R5-R6 R2-R3 R0-R1 R4-R5 R10-R9 R7-R8 R8-R9 R10-R11 R1-R2 R3-R4 R6-R7,
0_12_5,0.00033,1862971311742,1862971311742,R1-R2 R6-R7 R3-R4 R8-R9 R5-R6 R4-R5 R10-R11 R10-R9 R7-R8 R2-R3 R0-R1,
0_12_6,0.00031,1980984971051,1980984971051,R8-R9 R10-R11 R1-R2 R3-R4 R6-R7 R2-R3 R10-R9 R4-R5 R0-R1 R7-R8 R5-R6,
0_12_7,0.00032,1882891841036,1882891841036,R7-R8 R10-R9 R2-R3 R4-R5 R5-R6 R6-R7 R8-R9 R3-R4 R10-R11 R0-R1 R1-R2,
0_12_8,0.0003,1054494422297,1054494422297,R2-R3 R4-R5 R10-R11 R6-R7 R8-R9 R1-R2 R3-R4 R5-R6 R0-R1 R7-R8 R10-R9,
0_12_9,0.00029,1599504473023,1599504473023,R6-R7 R1-R2 R7-R8 R4-R5 R0-R1 R10-R11 R10-R9 R8-R9 R3-R4 R2-R3 R5-R6,
0_13_1,0.00037,2870709680829,2870709680829,R0-R1 R7-R8 R3-R4 R6-R7 R10-R9 R10-R11 R8-R9 R5-R6 R4-R5 R1-R2 R2-R3 R11-R12,
0_13_10,0.00035,2856729415867,2856729415867,R7-R8 R2-R3 R5-R6 R0-R1 R10-R11 R10-R9 R6-R7 R11-R12 R8-R9 R3-R4 R1-R2 R4-R5,
0_13_2,0.00034,2077661822121,2077661822121,R7-R8 R0-R1 R2-R3 R1-R2 R11-R12 R6-R7 R8-R9 R4-R5 R5-R6 R3-R4 R10-R9 R10-R11,
0_13_3,0.00036,2200685102600,2200685102600,R7-R8 R0-R1 R10-R9 R2-R3 R4-R5 R6-R7 R8-R9 R3-R4 R11-R12 R10-R11 R5-R6 R1-R2,
0_13_4,0.00033,3204244362579,3204244362579,R7-R8 R10-R9 R4-R5 R0-R1 R11-R12 R5-R6 R6-R7 R8-R9 R1-R2 R10-R11 R3-R4 R2-R3,
0_13_5,0.00033,2167311278850,2167311278850,R7-R8 R3-R4 R1-R2 R4-R5 R11-R12 R10-R9 R8-R9 R10-R11 R2-R3 R0-R1 R5-R6 R6-R7,
0_13_6,0.00034,3965908456950,3965908456950,R3-R4 R8-R9 R6-R7 R1-R2 R10-R11 R0-R1 R2-R3 R7-R8 R11-R12 R4-R5 R5-R6 R10-R9,
0_13_7,0.00032,1451142345632,1451142345632,R3-R4 R8-R9 R11-R12 R10-R9 R10-R11 R1-R2 R2-R3 R4-R5 R6-R7 R7-R8 R5-R6 R0-R1,
0_13_8,0.00034,3639614555745,3639614555745,R4-R5 R1-R2 R10-R9 R6-R7 R11-R12 R3-R4 R10-R11 R5-R6 R8-R9 R0-R1 R2-R3 R7-R8,
0_13_9,0.00034,1872007085767,1872007085767,R0-R1 R7-R8 R3-R4 R4-R5 R10-R9 R10-R11 R2-R3 R8-R9 R11-R12 R6-R7 R5-R6 R1-R2,
0_14_1,0.00044,2429298951862,2429298951862,R6-R7 R4-R5 R0-R1 R11-R12 R10-R9 R2-R3 R5-R6 R7-R8 R8-R9 R3-R4 R1-R2 R10-R11 R12-R13,
0_14_10,0.00035,2287777045073,2287777045073,R12-R13 R8-R9 R7-R8 R0-R1 R2-R3 R3-R4 R5-R6 R10-R11 R1-R2 R11-R12 R10-R9 R4-R5 R6-R7,
0_14_2,0.0004,1660702682018,1660702682018,R3-R4 R4-R5 R5-R6 R6-R7 R2-R3 R10-R9 R10-R11 R12-R13 R0-R1 R1-R2 R7-R8 R8-R9 R11-R12,
0_14_3,0.0004,1941520621084,1941520621084,R6-R7 R8-R9 R12-R13 R10-R11 R10-R9 R4-R5 R0-R1 R7-R8 R11-R12 R2-R3 R3-R4 R5-R6 R1-R2,
0_14_4,0.00036,2938108043889,2938108043889,R12-R13 R2-R3 R0-R1 R5-R6 R7-R8 R10-R9 R4-R5 R11-R12 R10-R11 R8-R9 R6-R7 R3-R4 R1-R2,
0_14_5,0.0004,1886199451618,1886199451618,R2-R3 R10-R11 R8-R9 R3-R4 R0-R1 R6-R7 R10-R9 R11-R12 R12-R13 R7-R8 R5-R6 R4-R5 R1-R2,
0_14_6,0.00037,2548650908962,2548650908962,R5-R6 R8-R9 R3-R4 R4-R5 R12-R13 R10-R11 R1-R2 R10-R9 R11-R12 R7-R8 R6-R7 R0-R1 R2-R3,
0_14_7,0.00036,1821226787356,1821226787356,R0-R1 R3-R4 R12-R13 R7-R8 R10-R11 R4-R5 R5-R6 R6-R7 R2-R3 R1-R2 R8-R9 R10-R9 R11-R12,
0_14_8,0.0004,2512617131857,2512617131857,R10-R11 R4-R5 R6-R7 R11-R12 R8-R9 R0-R1 R10-R9 R3-R4 R7-R8 R5-R6 R2-R3 R1-R2 R12-R13,
0_14_9,0.00038,2649807188113,2649807188113,R6-R7 R8-R9 R3-R4 R2-R3 R11-R12 R0-R1 R10-R9 R5-R6 R12-R13 R1-R2 R4-R5 R10-R11 R7-R8,
0_15_1,0.00041,3234447691264,3234447691264,R10-R9 R4-R5 R7-R8 R13-R14 R11-R12 R3-R4 R0-R1 R10-R11 R2-R3 R1-R2 R5-R6 R6-R7 R8-R9 R12-R13,
0_15_10,0.00039,2350398966338,2350398966338,R12-R13 R8-R9 R4-R5 R13-R14 R0-R1 R6-R7 R11-R12 R10-R11 R2-R3 R3-R4 R5-R6 R1-R2 R7-R8 R10-R9,
0_15_2,0.00046,2666024470165,2666024470165,R13-R14 R2-R3 R11-R12 R5-R6 R7-R8 R0-R1 R1-R2 R3-R4 R6-R7 R8-R9 R10-R9 R4-R5 R10-R11 R12-R13,
0_15_3,0.00051,2622515348374,2622515348374,R8-R9 R12-R13 R10-R11 R0-R1 R1-R2 R3-R4 R6-R7 R4-R5 R7-R8 R2-R3 R11-R12 R13-R14 R10-R9 R5-R6,
