query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1.enum_plan.txt,0.074,NA,1283415635655.0,NA,NA
0_10_10.enum_plan.txt,0.064,NA,2057754570419.0,NA,NA
0_10_2.enum_plan.txt,0.084,NA,1410956231576.0,NA,NA
0_10_3.enum_plan.txt,0.076,NA,2953160080182.0,NA,NA
0_10_4.enum_plan.txt,0.087,NA,1337010615746.0,NA,NA
0_10_5.enum_plan.txt,0.07,NA,1002674673757.0,NA,NA
0_10_6.enum_plan.txt,0.063,NA,2034499294364.0,NA,NA
0_10_7.enum_plan.txt,0.068,NA,2413610737201.0,NA,NA
0_10_8.enum_plan.txt,0.115,NA,1769894968156.0,NA,NA
0_10_9.enum_plan.txt,0.063,NA,1471505209814.0,NA,NA
0_11_1.enum_plan.txt,0.075,NA,1762812569762.0,NA,NA
0_11_10.enum_plan.txt,0.077,NA,1301133214882.0,NA,NA
0_11_2.enum_plan.txt,0.074,NA,1991968629086.0,NA,NA
0_11_3.enum_plan.txt,0.071,NA,2693725211053.0,NA,NA
0_11_4.enum_plan.txt,0.089,NA,513985603422.0,NA,NA
0_11_5.enum_plan.txt,0.09,NA,1612569119569.0,NA,NA
0_11_6.enum_plan.txt,0.076,NA,1471349484149.0,NA,NA
0_11_7.enum_plan.txt,0.072,NA,2616844985468.0,NA,NA
0_11_8.enum_plan.txt,0.094,NA,1684815492144.0,NA,NA
0_11_9.enum_plan.txt,0.106,NA,2169072702202.0,NA,NA
0_12_1.enum_plan.txt,0.157,NA,2159036855480.0,NA,NA
0_12_10.enum_plan.txt,0.119,NA,2106508923055.0,NA,NA
0_12_2.enum_plan.txt,0.1,NA,2056979368295.0,NA,NA
0_12_3.enum_plan.txt,0.12,NA,1532260184436.0,NA,NA
0_12_4.enum_plan.txt,0.123,NA,1436225818670.0,NA,NA
0_12_5.enum_plan.txt,0.098,NA,1778028035882.0,NA,NA
0_12_6.enum_plan.txt,0.098,NA,2405856617914.0,NA,NA
0_12_7.enum_plan.txt,0.109,NA,2478068554092.0,NA,NA
0_12_8.enum_plan.txt,0.101,NA,1468198537598.0,NA,NA
0_12_9.enum_plan.txt,0.113,NA,1396251558973.0,NA,NA
0_13_1.enum_plan.txt,0.142,NA,3109274134195.0,NA,NA
0_13_10.enum_plan.txt,0.121,NA,3179667235385.0,NA,NA
0_13_2.enum_plan.txt,0.161,NA,2077661822121.0,NA,NA
0_13_3.enum_plan.txt,0.17,NA,2002549962472.0,NA,NA
0_13_4.enum_plan.txt,0.161,NA,2001617300191.0,NA,NA
0_13_5.enum_plan.txt,0.136,NA,1847593527777.0,NA,NA
0_13_6.enum_plan.txt,0.168,NA,2427377723013.0,NA,NA
0_13_7.enum_plan.txt,0.135,NA,1794629159763.0,NA,NA
0_13_8.enum_plan.txt,0.159,NA,1272944985170.0,NA,NA
0_13_9.enum_plan.txt,0.138,NA,1875103983561.0,NA,NA
0_14_1.enum_plan.txt,0.154,NA,1988145183572.0,NA,NA
0_14_10.enum_plan.txt,0.174,NA,2221938275745.0,NA,NA
0_14_2.enum_plan.txt,0.156,NA,1808677877325.0,NA,NA
0_14_3.enum_plan.txt,0.162,NA,2346496792108.0,NA,NA
0_14_4.enum_plan.txt,0.174,NA,2481838871329.0,NA,NA
0_14_5.enum_plan.txt,0.201,NA,1594002464770.0,NA,NA
0_14_6.enum_plan.txt,0.162,NA,3094303491748.0,NA,NA
0_14_7.enum_plan.txt,0.164,NA,1836332303538.0,NA,NA
0_14_8.enum_plan.txt,0.171,NA,2078848710808.0,NA,NA
0_14_9.enum_plan.txt,0.162,NA,1863766871779.0,NA,NA
0_15_1.enum_plan.txt,0.196,NA,2845863286337.0,NA,NA
0_15_10.enum_plan.txt,0.222,NA,3450967695495.0,NA,NA
0_15_2.enum_plan.txt,0.245,NA,2072430434077.0,NA,NA
0_15_3.enum_plan.txt,0.242,NA,1427784655165.0,NA,NA
0_15_4.enum_plan.txt,0.211,NA,2101572540579.0,NA,NA
0_15_5.enum_plan.txt,0.27,NA,1950952550254.0,NA,NA
0_15_6.enum_plan.txt,0.251,NA,1857280235584.0,NA,NA
0_15_7.enum_plan.txt,0.252,NA,1885765569027.0,NA,NA
0_15_8.enum_plan.txt,0.241,NA,1859490612989.0,NA,NA
0_15_9.enum_plan.txt,0.243,NA,1981122944973.0,NA,NA
0_16_1.enum_plan.txt,0.529,NA,2577351014476.0,NA,NA
0_16_10.enum_plan.txt,0.527,NA,1915163939724.0,NA,NA
0_16_2.enum_plan.txt,0.422,NA,2048911533136.0,NA,NA
0_16_3.enum_plan.txt,0.526,NA,1780920749107.0,NA,NA
0_16_4.enum_plan.txt,0.384,NA,3488093622696.0,NA,NA
0_16_5.enum_plan.txt,0.443,NA,3132455846381.0,NA,NA
0_16_6.enum_plan.txt,0.403,NA,3340175952094.0,NA,NA
0_16_7.enum_plan.txt,0.37,NA,2057192289924.0,NA,NA
0_16_8.enum_plan.txt,0.43,NA,1939237727179.0,NA,NA
0_16_9.enum_plan.txt,0.393,NA,2844842061123.0,NA,NA
0_17_1.enum_plan.txt,0.506,NA,2599293316568.0,NA,NA
