query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1,0.00036,2440946200198,2440946200198,R3-R4 R2-R3 R5-R4 R1-R2 R0-R1 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_10,0.0004,3782338259363,3782338259363,R4-R5 R6-R5 R7-R6 R3-R4 R8-R7 R2-R3 R9-R8 R1-R2 R0-R1,
0_10_2,0.00039,1863442053941,1863442053941,R1-R2 R3-R2 R4-R3 R0-R1 R5-R4 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_3,0.00037,3394262885976,3394262885976,R6-R7 R5-R6 R8-R7 R4-R5 R9-R8 R3-R4 R2-R3 R1-R2 R0-R1,
0_10_4,0.00037,1540087024614,1540087024614,R7-R8 R9-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_10_5,0.00037,2590855164354,2590855164354,R4-R5 R3-R4 R6-R5 R7-R6 R2-R3 R1-R2 R8-R7 R0-R1 R9-R8,
0_10_6,0.00039,2552096074208,2552096074208,R3-R4 R5-R4 R6-R5 R7-R6 R2-R3 R1-R2 R0-R1 R8-R7 R9-R8,
0_10_7,0.00036,3306830536766,3306830536766,R2-R3 R4-R3 R5-R4 R6-R5 R7-R6 R1-R2 R8-R7 R0-R1 R9-R8,
0_10_8,0.00036,3688204454985,3688204454985,R4-R5 R3-R4 R6-R5 R7-R6 R8-R7 R9-R8 R2-R3 R1-R2 R0-R1,
0_10_9,0.00038,2131108494737,2131108494737,R1-R2 R3-R2 R4-R3 R5-R4 R0-R1 R6-R5 R7-R6 R8-R7 R9-R8,
0_11_1,0.00048,2286155121989,2286155121989,R7-R8 R6-R7 R5-R6 R9-R8 R4-R5 R3-R4 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_10,0.0004,2964311618502,2964311618502,R3-R4 R5-R4 R2-R3 R1-R2 R6-R5 R0-R1 R7-R6 R8-R7 R9-R8 R10-R9,
0_11_2,0.00044,2601793641644,2601793641644,R4-R5 R3-R4 R6-R5 R2-R3 R7-R6 R1-R2 R0-R1 R8-R7 R9-R8 R10-R9,
0_11_3,0.00041,3383808126913,3383808126913,R7-R8 R6-R7 R9-R8 R5-R6 R4-R5 R3-R4 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_4,0.00047,2659902602200,2659902602200,R7-R8 R6-R7 R9-R8 R5-R6 R10-R9 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_11_5,0.0004,3609337533838,3609337533838,R9-R10 R8-R9 R7-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_11_6,0.00043,1654728793888,1654728793888,R6-R7 R8-R7 R5-R6 R9-R8 R4-R5 R3-R4 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_7,0.00041,3287932299047,3287932299047,R5-R6 R4-R5 R3-R4 R7-R6 R8-R7 R9-R8 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_8,0.00045,3958074044022,3958074044022,R6-R7 R5-R6 R4-R5 R3-R4 R8-R7 R2-R3 R1-R2 R0-R1 R9-R8 R10-R9,
0_11_9,0.00041,3029018161712,3029018161712,R5-R6 R4-R5 R3-R4 R7-R6 R2-R3 R8-R7 R9-R8 R10-R9 R1-R2 R0-R1,
