query_name,optimization_time_(ms),est_cost,true_cost,plan,physical_plan
0_10_1,0.00011,2440946200198,2440946200198,R3-R4 R2-R3 R5-R4 R1-R2 R0-R1 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_10,0.00012,3983176314153,3983176314153,R3-R4 R2-R3 R5-R4 R6-R5 R1-R2 R0-R1 R7-R6 R8-R7 R9-R8,
0_10_2,8e-05,2765951534103,2765951534103,R0-R1 R2-R1 R3-R2 R4-R3 R5-R4 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_3,0.0001,3678795550581,3678795550581,R2-R3 R1-R2 R4-R3 R5-R4 R0-R1 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_4,0.00011,2774183169722,2774183169722,R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1 R7-R6 R8-R7 R9-R8,
0_10_5,9e-05,2757866353948,2757866353948,R2-R3 R4-R3 R5-R4 R6-R5 R7-R6 R1-R2 R8-R7 R0-R1 R9-R8,
0_10_6,9e-05,3043008994783,3043008994783,R7-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R9-R8 R1-R2 R0-R1,
0_10_7,8e-05,4540509762179,4540509762179,R6-R7 R8-R7 R9-R8 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_10_8,7e-05,4019734801391,4019734801391,R0-R1 R2-R1 R3-R2 R4-R3 R5-R4 R6-R5 R7-R6 R8-R7 R9-R8,
0_10_9,0.00023,2422416998711,2422416998711,R5-R6 R4-R5 R7-R6 R3-R4 R2-R3 R1-R2 R8-R7 R0-R1 R9-R8,
0_11_1,0.0001,2286155121989,2286155121989,R7-R8 R6-R7 R5-R6 R9-R8 R4-R5 R3-R4 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_10,0.00022,3772326246757,3772326246757,R9-R10 R8-R9 R7-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_11_2,0.00011,4211064114612,4211064114612,R5-R6 R7-R6 R8-R7 R9-R8 R4-R5 R10-R9 R3-R4 R2-R3 R1-R2 R0-R1,
0_11_3,9e-05,5144713508327,5144713508327,R9-R10 R8-R9 R7-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_11_4,0.00013,3076699442029,3076699442029,R6-R7 R5-R6 R4-R5 R3-R4 R8-R7 R2-R3 R1-R2 R9-R8 R10-R9 R0-R1,
0_11_5,0.0001,4099074775358,4099074775358,R5-R6 R4-R5 R7-R6 R8-R7 R9-R8 R3-R4 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_6,0.0001,2940257722840,2940257722840,R4-R5 R6-R5 R3-R4 R2-R3 R7-R6 R8-R7 R1-R2 R0-R1 R9-R8 R10-R9,
0_11_7,0.0001,3287932299047,3287932299047,R5-R6 R4-R5 R3-R4 R7-R6 R8-R7 R9-R8 R10-R9 R2-R3 R1-R2 R0-R1,
0_11_8,0.0001,4002443824136,4002443824136,R4-R5 R6-R5 R7-R6 R3-R4 R8-R7 R2-R3 R1-R2 R0-R1 R9-R8 R10-R9,
0_11_9,9e-05,5955253539239,5955253539239,R8-R9 R10-R9 R7-R8 R6-R7 R5-R6 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_12_1,9e-05,3437117927476,3437117927476,R0-R1 R2-R1 R3-R2 R4-R3 R5-R4 R6-R5 R7-R6 R8-R7 R9-R8 R10-R9 R11-R10,
0_12_10,0.00011,4493691309347,4493691309347,R4-R5 R3-R4 R6-R5 R7-R6 R8-R7 R2-R3 R1-R2 R0-R1 R9-R8 R10-R9 R11-R10,
0_12_2,0.00013,3937750032813,3937750032813,R7-R8 R6-R7 R9-R8 R10-R9 R5-R6 R11-R10 R4-R5 R3-R4 R2-R3 R1-R2 R0-R1,
0_12_3,9e-05,4798344026306,4798344026306,R0-R1 R2-R1 R3-R2 R4-R3 R5-R4 R6-R5 R7-R6 R8-R7 R9-R8 R10-R9 R11-R10,
